year,partial_year,equal_pool_return,swda_return,blend_50_50_return,control_75_25_return,m2_return,m2_minus_swda_compounded_difference,pilot_10_minus_control
2017,True,0.0788699547829,0.0526938442266,0.0462342304487,0.0399052560797,0.0427169803262,-0.00997686390036,-0.00150999516701
2018,False,-0.0898359008912,-0.0378224206349,-0.0615018006882,-0.0253249464259,-0.0835803208493,-0.0457579002144,-0.00515484876533
2019,False,0.244296952902,0.230313184689,0.195468557194,0.171015910549,0.161807012643,-0.0685061720454,-0.00699159893702
2020,False,0.149882531969,0.122459668971,0.20919954418,0.0963928967965,0.303832630539,0.181372961568,0.0159998958958
2021,False,0.235102291826,0.236397573495,0.227452852664,0.173322023111,0.21738395591,-0.0190136175854,-0.00182556782522
2022,False,-0.050374376685,-0.0833333333333,-0.112981870427,-0.0585452529106,-0.142277375231,-0.058944041898,-0.00622002196067
2023,False,0.0841016994771,0.175889328063,0.169540491348,0.142417797221,0.161022209454,-0.0148671186091,-0.00139440323045
2024,False,0.0973188206234,0.21106442577,0.140817776179,0.169601705277,0.074593086535,-0.136471339235,-0.014100008955
2025,False,0.281565662633,0.126402220423,0.297355149371,0.10554256737,0.48898265453,0.362580434107,0.0319504324786
2026,True,0.119325321292,0.112320328542,0.13177414595,0.0900135164561,0.146734399677,0.0344140711351,0.00413005395614
