rank_bucket,gross_market_pnl_return_units,share_of_gross_family_market_pnl,warning
RANK_1,0.481053791024,0.19979851768,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
RANK_2_3,0.414986820505,0.172358586796,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
RANK_4_5,0.89769272771,0.372843286292,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
RANK_6_10,0.637993287567,0.264980996978,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
UNATTRIBUTED_HELD_OUTSIDE_CURRENT_SELECTED_RANKS,-0.0240321323238,-0.0099813877462,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
