control_id,seed,simulation_count,diagnostic_first_execution_date,diagnostic_last_execution_date,candidate_diagnostic_cagr,candidate_diagnostic_maximum_drawdown,candidate_diagnostic_turnover,candidate_cagr_percentile,candidate_drawdown_percentile_less_severe,random_cagr_mean,random_cagr_median,random_cagr_5pct,random_cagr_95pct,random_mdd_mean,random_mdd_median,random_turnover_mean,invalid_selected_slots_allocated_to_cash,method,warning,candidate_id,eligibility_rule,evidence_class
RANDOM_SELECTION_SAME_RISKY_COUNT,20260824,10000,2017-03-01,2026-08-03,0.125996813494,-0.192796713352,5.52992583702,0.9936,0.9847,0.0754704230896,0.0751277153029,0.0425507807574,0.109143805221,-0.259085954049,-0.258321894389,11.7880899872,90595,VECTORIZED_MONTHLY_NEXT_XLON_SESSION; INVALID_INTERVAL_ENDPOINT_SLOT_TO_CASH; NO_FILLED_RETURN,E2 DEVELOPMENTAL; HISTORICAL UK RETAIL/SIPP ELIGIBILITY IS NOT FULLY RECONSTRUCTED,M2_TOP7_CASH0_100,ALL_POINT_IN_TIME_SIGNAL_ELIGIBLE_FAMILIES;NO_ABOVE_CASH_FILTER,E2_DEVELOPMENTAL_FALSIFICATION_DIAGNOSTIC
MONTHLY_RANK_SHUFFLE,20260825,10000,2017-03-01,2026-08-03,0.125996813494,-0.192796713352,5.52992583702,0.9948,0.983,0.0756355654049,0.0756073346853,0.0432329851911,0.108391716117,-0.258615644473,-0.258592083654,11.812777709,90945,VECTORIZED_MONTHLY_NEXT_XLON_SESSION; INVALID_INTERVAL_ENDPOINT_SLOT_TO_CASH; NO_FILLED_RETURN,E2 DEVELOPMENTAL; HISTORICAL UK RETAIL/SIPP ELIGIBILITY IS NOT FULLY RECONSTRUCTED,M2_TOP7_CASH0_100,ALL_POINT_IN_TIME_SIGNAL_ELIGIBLE_FAMILIES;NO_ABOVE_CASH_FILTER,E2_DEVELOPMENTAL_FALSIFICATION_DIAGNOSTIC
