test,comparator,sample_start,sample_end,observations,block_length_months,paths,estimate,lower_95,upper_95,probability_positive,adjustment_or_status
Six-month circular block bootstrap,GLOBAL_DEVELOPED_WORLD,2021-09-01,2026-08-21,59,6,5000,0.0187662195353,-0.0903667180842,0.162032608297,0.5986,Interval includes zero
Six-month circular block bootstrap,EQUAL_WEIGHT_OPPORTUNITY_POOL,2021-09-01,2026-08-21,59,6,5000,0.0293849824327,-0.0560884871736,0.127337974033,0.738,Interval includes zero
