frequency,full_gross_cagr,full_net_cagr,full_net_excess_vs_equal_pool,full_maximum_drawdown,full_ulcer_index,full_annual_turnover_traded_notional,full_cost_drag_cagr,full_average_holding_period_calendar_days,full_average_etf_replacement_rate,full_trade_legs,full_double_cost_net_cagr,full_double_cost_pool_excess,full_double_cost_mdd,latest5_gross_cagr,latest5_net_cagr,latest5_net_excess_vs_equal_pool,latest5_maximum_drawdown,latest5_ulcer_index,latest5_annual_turnover_traded_notional,latest5_cost_drag_cagr,latest5_average_holding_period_calendar_days,latest5_average_etf_replacement_rate,latest5_trade_legs,latest5_double_cost_net_cagr,latest5_double_cost_pool_excess,latest5_double_cost_mdd,decision
DAILY,0.180404983183,0.0963878374591,-0.027677215009,-0.280959147977,0.0900264969302,31.856156635,0.0840171457236,23.8521057786,0.15152420801,7699,0.00909242242571,-0.114972630042,-0.39349814436,0.215358556302,0.11914186537,0.00360404710758,-0.219452631184,0.0996941751227,36.2857136946,0.0962166909325,20.6136363636,0.155913978495,4523,0.0160274861277,-0.0995103321347,-0.328349315703,REJECTED
WEEKLY,0.167581139531,0.133926955481,0.0110449886748,-0.25981322477,0.0697975459714,13.1752126113,0.0336541840506,57.5390070922,0.174789915966,2800,0.100322979231,-0.0225589875743,-0.269363676609,0.190679625593,0.151343296659,0.038502158736,-0.191406459012,0.0815395011132,15.3741542158,0.0393363289341,48.358778626,0.182142857143,1663,0.111921552653,-0.000919585269677,-0.21009987894,REJECTED
MONTHLY,0.144805852293,0.131376260915,0.0160565753079,-0.235308335654,0.0819804013158,5.52306084467,0.0134295913781,134.377777778,0.252186588921,865,0.11798678444,0.00266709883287,-0.237317888652,0.152952792064,0.13620163503,0.0263019922455,-0.22335553365,0.101308500864,6.9259271147,0.0167511570344,103.292682927,0.285714285714,530,0.119519644553,0.00962000176825,-0.231907474662,SELECTED
