candidate_id,control_id,diagnostic,period_start,period_end,months,relative_return,m2_allocation,value,unit
GLOBAL_50_M2_25_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LONGEST_RELATIVE_UNDERPERFORMANCE_DAYS,,,,,0.25,1594,CALENDAR_DAYS
GLOBAL_50_M2_25_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,MAXIMUM_RELATIVE_DRAWDOWN,,,,-0.0737315943811,0.25,-0.0737315943811,RETURN
GLOBAL_60_M2_15_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LONGEST_RELATIVE_UNDERPERFORMANCE_DAYS,,,,,0.15,1595,CALENDAR_DAYS
GLOBAL_60_M2_15_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,MAXIMUM_RELATIVE_DRAWDOWN,,,,-0.0454096350657,0.15,-0.0454096350657,RETURN
GLOBAL_65_M2_10_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LONGEST_RELATIVE_UNDERPERFORMANCE_DAYS,,,,,0.1,1595,CALENDAR_DAYS
GLOBAL_65_M2_10_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,MAXIMUM_RELATIVE_DRAWDOWN,,,,-0.0310131425969,0.1,-0.0310131425969,RETURN
M2_100_DIAGNOSTIC,GLOBAL_100,LONGEST_RELATIVE_UNDERPERFORMANCE_DAYS,,,,,1,1595,CALENDAR_DAYS
M2_100_DIAGNOSTIC,GLOBAL_100,MAXIMUM_RELATIVE_DRAWDOWN,,,,-0.267786071593,1,-0.267786071593,RETURN
