test,exclusion_detail,net_cagr,maximum_drawdown,incremental_vs_control,outcome,evidence_type
Leave one family out (minimum),GLOBAL_SEMICONDUCTORS,0.116923693131,-0.251520732886,0.00091286083762,NONNEGATIVE_INCREMENTAL,FAMILY_EXCLUSION
Exclude top one family,GLOBAL_BATTERY_EV,0.118543486438,-0.23297130751,0.0025326541451,NONNEGATIVE_INCREMENTAL,FAMILY_EXCLUSION
Exclude top three families,GLOBAL_BATTERY_EV;GLOBAL_GOLD_MINERS;GLOBAL_SEMICONDUCTORS,0.072345346117,-0.279960752791,-0.0436654861763,SIGN_REVERSAL_DEPENDENCY,FAMILY_EXCLUSION
Exclude top five families,EUROPE_BANKS;GLOBAL_BATTERY_EV;GLOBAL_GOLD_MINERS;GLOBAL_SEMICONDUCTORS;GLOBAL_SILVER_MINERS,0.0653291080808,-0.261107400125,-0.0506817242125,SIGN_REVERSAL_DEPENDENCY,FAMILY_EXCLUSION
Delete top 1 holding spell(s),GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01,0.115973247921,-0.23530840175,-3.75843727207e-05,RIGHT_TAIL_SIGN_REVERSAL,HOLDING_SPELL_DELETION
Delete top 3 holding spell(s),GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02,0.0946895929506,-0.223412774677,-0.0213212393426,RIGHT_TAIL_SIGN_REVERSAL,HOLDING_SPELL_DELETION
Delete top 5 holding spell(s),GLOBAL_SILVER_MINERS:2025-02-28:2026-05-01;GLOBAL_BATTERY_EV:2019-10-31:2021-09-01;GLOBAL_SEMICONDUCTORS:2023-01-31:2024-09-02;GLOBAL_BATTERY_EV:2025-07-31:2026-07-01;GLOBAL_OIL_GAS:2021-09-30:2023-02-01,0.077655194187,-0.265083188623,-0.0383556381062,RIGHT_TAIL_SIGN_REVERSAL,HOLDING_SPELL_DELETION
