episode_id,regime,risk_score_start,leadership_state,start_decision_date,end_decision_date,start_execution_date,end_execution_date,months,strategy_id,switch_mode,episode_return,episode_maximum_drawdown,episode_excess_vs_global,episode_excess_vs_equal_pool,m2_minus_global,cash_minus_risky,sample_status
R1_BROAD_RISK_ON-001,R1_BROAD_RISK_ON,0.0,LEADERSHIP_WEAK,2017-02-28,2017-02-28,2017-03-01,2017-03-01,1,EQUAL_WEIGHT_OPPORTUNITY_POOL,STATIC_OR_NOT_APPLICABLE,-0.007162780658309109,0.0,0.009868530752669247,0.0,0.011560404934125468,0.017219051295952026,INSUFFICIENT_REGIME_SAMPLE
R1_BROAD_RISK_ON-001,R1_BROAD_RISK_ON,0.0,LEADERSHIP_WEAK,2017-02-28,2017-02-28,2017-03-01,2017-03-01,1,ACTUAL_GBP_CASH,STATIC_OR_NOT_APPLICABLE,0.00018773988497367,0.0,0.017219051295952026,0.007350520543282779,0.011560404934125468,0.017219051295952026,INSUFFICIENT_REGIME_SAMPLE
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_0_M2_100,STATIC_OR_NOT_APPLICABLE,-0.0220252186483465,-0.06993431656045235,-0.020314551283030946,-0.04221604435906556,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_100,STATIC_OR_NOT_APPLICABLE,-0.0017106673653155546,-0.06148948124102738,0.0,-0.021901493076034617,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_25_CASH75,STATIC_OR_NOT_APPLICABLE,0.0021382440690147497,-0.014712389336652865,0.0038489114343303044,-0.018052581641704313,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_50_CASH50,STATIC_OR_NOT_APPLICABLE,0.0010521136317140911,-0.030423960688434115,0.0027627809970296457,-0.01913871207900497,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_50_M2_25_CASH25,STATIC_OR_NOT_APPLICABLE,-0.006761911849108904,-0.047144258109700354,-0.005051244483793349,-0.026952737559827966,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_50_M2_50,STATIC_OR_NOT_APPLICABLE,-0.013433941790293336,-0.06396877498726627,-0.011723274424977781,-0.0336247675010124,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_75_CASH25,STATIC_OR_NOT_APPLICABLE,-0.00029335067439850704,-0.046030945088887165,0.0014173166909170476,-0.02048417638511757,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_75_M2_10_CASH15,STATIC_OR_NOT_APPLICABLE,-0.004318817981113443,-0.05263988745506465,-0.0026081506157978884,-0.024509643691832506,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_75_M2_25,STATIC_OR_NOT_APPLICABLE,-0.008357435503504096,-0.06223644777462545,-0.006646768138188541,-0.02854826121422316,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,GLOBAL_90_M2_10,STATIC_OR_NOT_APPLICABLE,-0.005315193795143114,-0.06192822186275038,-0.0036045264298275592,-0.025506019505862176,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,M2_TOP7_CASH0_100,STATIC_OR_NOT_APPLICABLE,-0.0220252186483465,-0.06993431656045235,-0.020314551283030946,-0.04221604435906556,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,M2_TOP7_CASH0_25_CASH75,STATIC_OR_NOT_APPLICABLE,-0.0042035994085928285,-0.0166937881589192,-0.002492932043277274,-0.02439442511931189,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,M2_TOP7_CASH0_50_CASH50,STATIC_OR_NOT_APPLICABLE,-0.010378326400179994,-0.034569107727738024,-0.008667659034864439,-0.030569152110899056,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,M2_TOP7_CASH0_75_CASH25,STATIC_OR_NOT_APPLICABLE,-0.016781493848693207,-0.05231534133737703,-0.015070826483377653,-0.03697231955941227,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,EQUAL_WEIGHT_OPPORTUNITY_POOL,STATIC_OR_NOT_APPLICABLE,0.020190825710719063,-0.05797287713217436,0.021901493076034617,0.0,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R2_LEADERSHIP_RISK_ON-002,R2_LEADERSHIP_RISK_ON,0.0,LEADERSHIP_STRONG,2017-03-31,2018-02-28,2017-04-03,2018-03-01,12,ACTUAL_GBP_CASH,STATIC_OR_NOT_APPLICABLE,0.0031587427044361682,0.0,0.004869410069751723,-0.017032083006282894,-0.020314551283030946,0.004869410069751723,REGIME_SAMPLE_SUFFICIENT
R4_CAPITAL_PRESERVATION-003,R4_CAPITAL_PRESERVATION,3.0,LEADERSHIP_WEAK,2018-03-29,2018-03-29,2018-04-03,2018-04-03,1,GLOBAL_0_M2_100,STATIC_OR_NOT_APPLICABLE,0.0431318300820267,0.0,-0.007952379043954183,0.0016854599245861301,-0.007952379043954183,-0.0507305164649654,INSUFFICIENT_REGIME_SAMPLE
R4_CAPITAL_PRESERVATION-003,R4_CAPITAL_PRESERVATION,3.0,LEADERSHIP_WEAK,2018-03-29,2018-03-29,2018-04-03,2018-04-03,1,GLOBAL_100,STATIC_OR_NOT_APPLICABLE,0.051084209125980884,0.0,0.0,0.009637838968540313,-0.007952379043954183,-0.0507305164649654,INSUFFICIENT_REGIME_SAMPLE
R4_CAPITAL_PRESERVATION-003,R4_CAPITAL_PRESERVATION,3.0,LEADERSHIP_WEAK,2018-03-29,2018-03-29,2018-04-03,2018-04-03,1,GLOBAL_25_CASH75,STATIC_OR_NOT_APPLICABLE,0.013001297432918113,0.0,-0.03808291169306277,-0.028445072724522458,-0.007952379043954183,-0.0507305164649654,INSUFFICIENT_REGIME_SAMPLE
R4_CAPITAL_PRESERVATION-003,R4_CAPITAL_PRESERVATION,3.0,LEADERSHIP_WEAK,2018-03-29,2018-03-29,2018-04-03,2018-04-03,1,GLOBAL_50_CASH50,STATIC_OR_NOT_APPLICABLE,0.025677490247574042,0.0,-0.025406718878406842,-0.01576887990986653,-0.007952379043954183,-0.0507305164649654,INSUFFICIENT_REGIME_SAMPLE
R4_CAPITAL_PRESERVATION-003,R4_CAPITAL_PRESERVATION,3.0,LEADERSHIP_WEAK,2018-03-29,2018-03-29,2018-04-03,2018-04-03,1,GLOBAL_50_M2_25_CASH25,STATIC_OR_NOT_APPLICABLE,0.03628569820305172,0.0,-0.014798510922929164,-0.005160671954388851,-0.007952379043954183,-0.0507305164649654,INSUFFICIENT_REGIME_SAMPLE
