policy_id,switch_mode,window_id,cost_scenario,gross_cagr,net_cagr,cost_drag,maximum_drawdown,ulcer_index,turnover,incremental_cagr_vs_base_cost,viability_status
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,BASE,0.08102168131457832,0.07892536049309773,0.0020963208214805906,-0.1752895191558438,0.05894638775001018,1.0429250034378006,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,BASE,0.041376103249738394,0.03914658618961386,0.0022295170601245307,-0.14952004517221917,0.05139969779347525,1.396044711307994,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,BASE,0.09669117473677202,0.09465722962540979,0.002033945111362234,-0.1752895191558438,0.06188610941076988,0.892948508333065,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,BASE,0.0937021224710739,0.09168323943506151,0.0020188830360123866,-0.13888681857179197,0.05586338521913966,0.8936193793365107,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,BASE,0.1655763460933657,0.16401256950522902,0.0015637765881366672,-0.13888681857179197,0.037184217312862214,0.6587295019936402,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,DOUBLE,0.08102168131457854,0.07683006972049222,0.00419161159408632,-0.17612761529644028,0.06039133896767365,1.0429250034378008,-0.002095290772605507,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,DOUBLE,0.04137610324974039,0.036919396732763454,0.004456706516976938,-0.14952004517221884,0.05223502189444892,1.396044711307994,-0.002227189456850409,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,DOUBLE,0.09669117473677113,0.09262375980480986,0.004067414931961277,-0.17612761529644028,0.06355304544100389,0.8929485083330652,-0.0020334698205999313,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,DOUBLE,0.09370212247107346,0.08966485525994394,0.004037267211129514,-0.13975741619725734,0.057741168711679634,0.8936193793365109,-0.0020183841751175713,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,DOUBLE,0.1655763460933648,0.16244885461879033,0.003127491474574473,-0.13975741619725734,0.037703683077137375,0.6587295019936402,-0.001563714886438694,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,BASE,0.0752953077642804,0.07327671492912091,0.002018592835159483,-0.17528991808858485,0.058245043663012926,1.008279512621922,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,BASE,0.02978577763848622,0.02755074479399333,0.00223503284449289,-0.1495200451722194,0.053905763421732526,1.4076271020926587,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,BASE,0.09362083604353977,0.09170311723677993,0.0019177188067598383,-0.17528991808858474,0.059999443521593906,0.8385278840305194,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,BASE,0.09134528323249591,0.08949838870607252,0.0018468945264233927,-0.13888704947827735,0.051757706881756745,0.8137074633516389,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,BASE,0.1569255471059412,0.15535167391362603,0.0015738731923151672,-0.13888704947827746,0.03827808510818936,0.6662875984472224,0.0,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,DOUBLE,0.07529530776428128,0.07125863003975152,0.004036677724529758,-0.17612842183140676,0.059444074986677774,1.008279512621922,-0.002018084889369387,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,DOUBLE,0.029785777638486444,0.025317732680890437,0.004468044957596007,-0.14952004517221917,0.05477157743342351,1.4076271020926587,-0.0022330121131028946,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,DOUBLE,0.09362083604353955,0.0897852792892706,0.003835556754268943,-0.17612842183140676,0.061327977948896106,0.8385278840305193,-0.0019178379475093266,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,DOUBLE,0.0913452832324968,0.08765124907479449,0.0036940341577023084,-0.13975787445058097,0.053153440794453034,0.8137074633516389,-0.0018471396312780275,FAILS_DOUBLE_COST_GATE
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,DOUBLE,0.15692554710594098,0.15377760992659528,0.0031479371793456945,-0.13975787445058097,0.03880715573185954,0.6662875984472223,-0.0015740639870307493,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,BASE,0.12279025145563827,0.11659430939178739,0.006195942063850879,-0.24503327939915098,0.05278971226074617,2.281776538194094,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,BASE,0.07048526494375174,0.06433093217510866,0.006154332768643078,-0.14628390343414843,0.042524467102116326,2.487019185252865,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,BASE,0.1439491757955298,0.1378151250645554,0.006134050730974394,-0.24503327939915098,0.05630650559138459,2.196895939477643,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,BASE,0.1260992757879289,0.11982151259839058,0.006277763189538321,-0.176620042588576,0.05497543693636156,2.3396588319455596,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,BASE,0.21957040021916718,0.2137446714648461,0.00582572875432108,-0.1766200425885759,0.034182110532920924,1.9357279105970715,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,DOUBLE,0.12279025145563938,0.1103613086219637,0.012428942833675682,-0.24525066609260682,0.055156774053002525,2.281776538194094,-0.006233000769823693,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,DOUBLE,0.07048526494375351,0.05817802809792494,0.012307236845828573,-0.14840275865224783,0.04393921803303136,2.487019185252865,-0.0061529040771837185,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,DOUBLE,0.14394917579552957,0.1316266207187129,0.012322555076816677,-0.24525066609260682,0.058976087879746696,2.196895939477643,-0.006188504345842505,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,DOUBLE,0.12609927578792912,0.11348734710622121,0.012611928681707907,-0.17717200501683816,0.058361267790761444,2.33965883194556,-0.0063341654921693635,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,DOUBLE,0.21957040021916852,0.20783823539692836,0.011732164822240154,-0.17717200501683816,0.03450249696396463,1.9357279105970715,-0.005906436067917742,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,BASE,0.1222428501198467,0.11711261379145799,0.005130236328388715,-0.24503287963988363,0.05188056157853023,1.8846251927152857,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,BASE,0.07077036402184045,0.0659044429482798,0.004865921073560653,-0.15336435413144922,0.04332084290625907,2.023171487185568,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,BASE,0.14302244260940933,0.13785105539165854,0.005171387217750789,-0.24503287963988363,0.054932706086464375,1.8277542021295738,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,BASE,0.1265801316570101,0.12149095160745871,0.0050891800495513895,-0.17661951912200657,0.05291819180482394,1.86446780328473,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,BASE,0.21957040021916674,0.21374954252696354,0.005820857692203196,-0.17661951912200657,0.034181827755490446,1.9357279105970715,0.0,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,DOUBLE,0.12224285011984715,0.11195355985644562,0.01028929026340153,-0.2452491791924173,0.05326592287280553,1.8846251927152862,-0.00515905393501237,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,DOUBLE,0.07077036402183978,0.061037177953492616,0.009733186068347166,-0.1545153101883575,0.04414397365856172,2.0231714871855684,-0.004867264994787179,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,DOUBLE,0.14302244260940933,0.1326384166078156,0.010384026001593716,-0.2452491791924173,0.056504349552560985,1.8277542021295738,-0.005212638783842927,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,DOUBLE,0.12658013165701054,0.11635836500830976,0.01022176664870078,-0.1771686352256724,0.05488750808738882,1.86446780328473,-0.005132586599148947,FAILS_DOUBLE_COST_GATE
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,DOUBLE,0.21957040021916807,0.2078694259258418,0.011700974293326283,-0.17716863522567228,0.03450064727266791,1.9357279105970717,-0.005880116601121754,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,BASE,0.08704522008875282,0.08031004112104712,0.006735178967705702,-0.1687668671790422,0.0616727764885476,2.5163753143288528,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,BASE,0.03331159443124143,0.02679763721213746,0.006513957219103972,-0.146301328855712,0.05415373661366208,2.732744195882765,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,BASE,0.10890192772489948,0.10214774925425618,0.006754178470643302,-0.16876686717904232,0.06438175277895822,2.4270306956396244,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,BASE,0.10651800834669278,0.09948347977686378,0.007034528569829002,-0.14172640052825025,0.06292160878237871,2.593578156569383,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,BASE,0.19714724430926522,0.19013508156838044,0.007012162740884786,-0.12702238049842052,0.034115372689530604,2.3364908578593053,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,DOUBLE,0.08704522008875393,0.07352313959235945,0.013522080496394473,-0.16978025512226935,0.06512558580577825,2.5163753143288523,-0.006786901528687661,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,DOUBLE,0.03331159443124365,0.0202874223795928,0.01302417205165085,-0.1484385225349466,0.05663575826953854,2.732744195882765,-0.0065102148325446585,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,DOUBLE,0.10890192772490015,0.0953166297765431,0.013585297948357056,-0.16978025512226946,0.06816663050305613,2.4270306956396244,-0.006831119477713088,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,DOUBLE,0.10651800834669367,0.09236627497196048,0.014151733374733189,-0.1492707970110514,0.06743049036532231,2.593578156569383,-0.007117204804903299,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,DOUBLE,0.1971472443092659,0.1830104651293365,0.014136779179929393,-0.12835080223913597,0.03489704267453345,2.3364908578593058,-0.00712461643904394,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,BASE,0.07993131255978114,0.07392510023507937,0.006006212324701776,-0.1687704707594745,0.060528981853551905,2.2601492867331823,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,BASE,0.021510816882769568,0.015842265549133483,0.005668551333636085,-0.154235938900547,0.05920180478829708,2.4829303340677873,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,BASE,0.10395476398636472,0.09787560975407517,0.006079154232289552,-0.1687704707594745,0.0610493893979901,2.167747166117528,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,BASE,0.10301242151166834,0.09684846045356688,0.006163961058101464,-0.12702712726782484,0.057290040197938076,2.249504752590904,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,BASE,0.18614216096753822,0.17924425160247037,0.006897909365067845,-0.12702712726782484,0.0349356126660127,2.2946895701276473,0.0,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,DOUBLE,0.07993131255978114,0.06787421759379075,0.01205709496599039,-0.16978708406603515,0.0637035711548833,2.2601492867331823,-0.006050882641288613,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,DOUBLE,0.021510816882769568,0.010176616748847511,0.011334200133922057,-0.15869297471293986,0.06357288767516328,2.4829303340677873,-0.005665648800285972,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,DOUBLE,0.1039547639863645,0.09173002158927956,0.012224742397084931,-0.16978708406603504,0.06374096299234286,2.167747166117528,-0.006145588164795601,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_FIVE_YEARS,DOUBLE,0.10301242151166834,0.09061256891728897,0.012399852594379368,-0.1292110232185999,0.060409987372225867,2.2495047525909047,-0.006235891536277904,FAILS_DOUBLE_COST_GATE
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,LATEST_THREE_YEARS,DOUBLE,0.18614216096753866,0.17224755533558178,0.01389460563195688,-0.12835868156635966,0.03573834730091545,2.2946895701276473,-0.006996696266888591,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,BASE,0.0747179806385041,0.06751142002754729,0.007206560610956814,-0.1475839711241138,0.06833962011782331,2.738432795761084,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,BASE,0.020842746045131255,0.01370397295034187,0.007138773094789386,-0.14695859395894617,0.061490809035517034,3.066495509041714,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,BASE,0.09665590226951415,0.08950163177850867,0.007154270491005477,-0.1475839711241137,0.070840295604806,2.601632791690825,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,BASE,0.09972621342815358,0.09223477512050238,0.007491438307651199,-0.14758397112411392,0.06715503519166738,2.767036341697654,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,BASE,0.18971453288653728,0.18226501331649891,0.007449519570038365,-0.11019863205063074,0.03500261802291254,2.484837592097382,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,DOUBLE,0.07471798063850432,0.06024523640336099,0.014472744235143331,-0.15602593541118226,0.07327331205830763,2.738432795761084,-0.007266183624186295,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,DOUBLE,0.02084274604513192,0.0065730032545778805,0.01426974279055404,-0.1534930764324861,0.06783020690735918,3.0664955090417148,-0.007130969695763989,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,DOUBLE,0.09665590226951415,0.08225711179812589,0.014398790471388256,-0.15602593541118226,0.07525091208827034,2.601632791690825,-0.00724451998038278,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,DOUBLE,0.09972621342815291,0.08464432710870873,0.015081886319444182,-0.15602593541118226,0.07234287151932942,2.7670363416976542,-0.007590448011793649,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,DOUBLE,0.18971453288653728,0.1746817620572334,0.015032770829303876,-0.11183213841684214,0.03600663034817725,2.484837592097382,-0.007583251259265511,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,FULL_COMMON_HISTORY,BASE,0.06556437794284031,0.059120462604620005,0.006443915338220307,-0.1729117944796833,0.07504739376599444,2.475703569627225,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,PRE_2020,BASE,0.005210749774773316,-0.001045814037998971,0.006256563812772287,-0.1729117944796833,0.08069294865275124,2.8140273028382023,0.0,FAILS_DOUBLE_COST_GATE
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,POST_2020,BASE,0.09050423990791812,0.08405812532934087,0.0064461145785772445,-0.14287858688255917,0.06741500242588135,2.3341932669168712,0.0,FAILS_DOUBLE_COST_GATE
