strategy_id,policy_id,switch_mode,year,partial_year,net_return,excess_vs_global,excess_vs_equal_pool,maximum_drawdown,ulcer_index,worst_month,best_month,realised_volatility,turnover,cost_drag,average_swda_weight,average_m2_weight,average_cash_weight,portfolio_changes,regime_changes,maximum_time_underwater_calendar_days,strategy_switches,months_risk_score_0,months_risk_score_1,months_risk_score_2,months_risk_score_3,months_R1_BROAD_RISK_ON,months_R2_LEADERSHIP_RISK_ON,months_R3_ISOLATED_LEADERSHIP,months_R4_CAPITAL_PRESERVATION
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2017,True,0.052693844226563646,0.0,-0.02336742293541083,-0.051222048881955695,0.019579261746686696,-0.01926910299003337,0.03124183006535919,0.09717478299225267,1.0,0.0020159600000000002,1.0,0.0,0.0,10,2,106,0,11,0,0,0,1,10,0,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2018,False,-0.03782242063492147,0.0,0.05201348025630759,-0.1495200451722185,0.04996564807134564,-0.06955270416117021,0.03981080015766625,0.1498415866261917,0.0,0.0,1.0,0.0,0.0,12,6,131,0,7,2,1,2,1,8,1,2
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2019,False,0.23031318468874895,0.0,-0.013983768213688741,-0.057495079249974435,0.0232656463964276,-0.027841501564129345,0.05407781930094524,0.12595530978393388,0.0,0.0,1.0,0.0,0.0,12,4,140,0,9,1,2,0,1,9,2,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2020,False,0.12245966897129645,0.0,-0.027422862997998676,-0.25581855996830716,0.08380163349993372,-0.0856502242152467,0.08981288981288982,0.23910262345595934,0.0,0.0,1.0,0.0,0.0,12,4,195,0,2,4,4,2,0,6,5,1
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2021,False,0.23639757349509427,0.0,0.0012952816691498281,-0.05174887892376678,0.01520300454056576,-0.01694106418515884,0.04398169763750048,0.11824697595521927,0.0,0.0,1.0,0.0,0.0,12,0,49,0,12,0,0,0,0,12,0,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2022,False,-0.08333333333333581,0.0,-0.03295895664830384,-0.14895220865370196,0.0701228897553944,-0.055555555555555136,0.07373823781009392,0.17430821019356188,0.0,0.0,1.0,0.0,0.0,12,10,359,0,0,6,5,1,2,4,4,2
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2023,False,0.1758893280632421,0.0,0.09178762858615186,-0.0721633888048413,0.026523537457777115,-0.02912186379928372,0.04830421377183969,0.11696526237484746,0.0,0.0,1.0,0.0,0.0,12,2,144,0,7,5,0,0,2,10,0,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2024,False,0.2110644257703067,0.0,0.11374560514689613,-0.060819146311374195,0.013902726724384327,-0.021883798310723734,0.05776940833434585,0.10254080641308529,0.0,0.0,1.0,0.0,0.0,12,0,78,0,12,0,0,0,0,12,0,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2025,False,0.1264022204232682,0.0,-0.15516344220955558,-0.1849685465180445,0.057513109195992326,-0.06746213859568573,0.05683671092476095,0.14804494228110668,0.0,0.0,1.0,0.0,0.0,12,2,189,0,7,1,3,1,0,8,4,0
GLOBAL_100,GLOBAL_100,STATIC_MONTHLY,2026,True,0.11232032854209373,0.0,-0.007004992750377248,-0.06548992077023397,0.01871619529916336,-0.054357637147728566,0.07158765510658616,0.10831537198543235,0.0,0.0,1.0,0.0,0.0,8,0,45,0,7,1,0,0,0,8,0,0
