strategy_id,evidence_window,cost_scenario,first_formation_date,first_executable_date,last_date,global_weight,cash_weight,net_cagr,terminal_wealth_per_100k,maximum_drawdown,ulcer_index,calmar_mar,annualised_volatility,maximum_time_underwater_calendar_days,annual_turnover_traded_notional,comparison_status
LONG_CORE_GLOBAL_25_CASH_75,LONGER_CORE_ONLY_WINDOW,BASE,2010-01-29,2010-03-01,2010-03-09,0.25,0.75,0.406388334766302,100749.7523608083,-0.0014292299971019329,0.0007235127183986675,284.34075382572473,0.02995472628758221,2,11.413828125,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_25_CASH_75,LONGER_CORE_ONLY_WINDOW,DOUBLE,2010-01-29,2010-03-01,2010-03-09,0.25,0.75,0.4063883347663162,100749.75236080831,-0.0014292299971017108,0.000723512718398605,284.34075382577885,0.029954726287581883,2,11.413828125,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_50_CASH_50,LONGER_CORE_ONLY_WINDOW,BASE,2010-01-29,2010-03-01,2010-03-09,0.5,0.5,0.9638027289179096,101489.1925951746,-0.0028630751613930583,0.0014529144254911996,336.63200390763114,0.059815907221757815,2,22.82765625,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_50_CASH_50,LONGER_CORE_ONLY_WINDOW,DOUBLE,2010-01-29,2010-03-01,2010-03-09,0.5,0.5,0.9638027289179096,101489.1925951746,-0.0028630751613928362,0.001452914425491081,336.63200390765724,0.05981590722175678,2,22.82765625,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_75_CASH_25,LONGER_CORE_ONLY_WINDOW,BASE,2010-01-29,2010-03-01,2010-03-09,0.75,0.25,1.7355073515281791,102228.63282954089,-0.004288635853973322,0.0021781053872979325,404.6758481301862,0.08953772879374186,2,34.241484375,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_75_CASH_25,LONGER_CORE_ONLY_WINDOW,DOUBLE,2010-01-29,2010-03-01,2010-03-09,0.75,0.25,1.7355073515282062,102228.6328295409,-0.004288635853973322,0.0021781053872979047,404.6758481301925,0.08953772879373936,2,34.241484375,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_100_CASH_0,LONGER_CORE_ONLY_WINDOW,BASE,2010-01-29,2010-03-01,2010-03-09,1.0,0.0,2.801373203939504,102968.0730639072,-0.005705983667060988,0.0028991192960859005,490.9535966797505,0.11912193738411953,2,45.6553125,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
LONG_CORE_GLOBAL_100_CASH_0,LONGER_CORE_ONLY_WINDOW,DOUBLE,2010-01-29,2010-03-01,2010-03-09,1.0,0.0,2.801373203939504,102968.0730639072,-0.005705983667060988,0.002899119296085957,490.9535966797505,0.11912193738411993,2,45.6553125,CORE_ONLY_CONTEXT_NOT_DIRECTLY_RANKED_AGAINST_2017_ROTATION
