policy_id,window_id,cost_scenario,immediate_cagr,hysteresis_cagr,immediate_mdd,hysteresis_mdd,immediate_ulcer,hysteresis_ulcer,immediate_switches,hysteresis_switches,false_switches_avoided,reentry_delay_cost,status
POLICY_0_STATIC_DEFENSIVE_CONTROL,FULL_COMMON_HISTORY,BASE,0.0926320318380296,0.0926320318380296,-0.19551631373842515,-0.19551631373842515,0.0359925415591835,0.0359925415591835,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,FULL_COMMON_HISTORY,DOUBLE,0.0923436136852247,0.0923436136852247,-0.19554553262908514,-0.19554553262908514,0.036055247743733566,0.036055247743733566,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,PRE_2020,BASE,0.062333574722056584,0.062333574722056584,-0.11225530170625142,-0.11225530170625142,0.03042065402250737,0.03042065402250737,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,PRE_2020,DOUBLE,0.06202592396067219,0.06202592396067219,-0.11235345725705581,-0.11235345725705581,0.030473354115629937,0.030473354115629937,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,POST_2020,BASE,0.10455889357223369,0.10455889357223369,-0.19551631373842504,-0.19551631373842504,0.03812175462497305,0.03812175462497305,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,POST_2020,DOUBLE,0.10428292018395613,0.10428292018395613,-0.19554553262908503,-0.19554553262908503,0.038188266881018104,0.038188266881018104,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,LATEST_FIVE_YEARS,BASE,0.09557838132948948,0.09557838132948948,-0.13900740592582195,-0.13900740592582195,0.03355829469452311,0.03355829469452311,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,LATEST_FIVE_YEARS,DOUBLE,0.09533184869276634,0.09533184869276634,-0.13906197516942886,-0.13906197516942886,0.03363708500961407,0.03363708500961407,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,LATEST_THREE_YEARS,BASE,0.1504183687354954,0.1504183687354954,-0.13900740592582184,-0.13900740592582184,0.026220169471842435,0.026220169471842435,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_0_STATIC_DEFENSIVE_CONTROL,LATEST_THREE_YEARS,DOUBLE,0.15017771970463345,0.15017771970463345,-0.13906197516942875,-0.13906197516942875,0.026241466506169056,0.026241466506169056,0.0,0.0,,0.0,HYSTERESIS_RETAINS_95PCT
POLICY_1_RISK_TIMING_ONLY,FULL_COMMON_HISTORY,BASE,0.07892536049309773,0.07327671492912091,-0.1752895191558438,-0.17528991808858485,0.05894638775001018,0.058245043663012926,3.166842485549133,2.6390354046242774,,-0.005648645563976817,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
POLICY_1_RISK_TIMING_ONLY,FULL_COMMON_HISTORY,DOUBLE,0.07683006972049222,0.07125863003975152,-0.17612761529644028,-0.17612842183140676,0.06039133896767365,0.059444074986677774,3.166842485549133,2.6390354046242774,,-0.005571439680740697,HYSTERESIS_DESTRUCTIVE_UNLESS_INDEPENDENT_GATE_PASS
