strategy_id,net_cagr,terminal_wealth_per_100k,maximum_drawdown,ulcer_index,longest_underwater_days,turnover,pareto_efficient,candidate_role
GLOBAL_25_CASH75,0.044686851005110606,151306.85331990602,-0.06745408342990167,0.010968701551722183,248,0.08866231434467495,True,PARETO_FRONTIER
GLOBAL_50_CASH50,0.06888489593246283,187960.8390527814,-0.1327498682023922,0.02330862667676019,419,0.13566677035622013,True,PARETO_FRONTIER
GLOBAL_75_CASH25,0.0926320318380296,231456.6219732292,-0.19551631373842515,0.0359925415591835,550,0.14125588705592645,True,PARETO_FRONTIER
GLOBAL_100,0.11601083229325537,282859.2536793278,-0.2558185599683075,0.04890992072479278,586,0.1055614161849711,True,PARETO_FRONTIER
M2_TOP7_CASH0_25_CASH75,0.048118945484299624,156081.91006529736,-0.06155782490733974,0.01606896261994151,681,1.4160000177513345,True,PARETO_FRONTIER
M2_TOP7_CASH0_50_CASH50,0.07678574432353602,201542.16388555666,-0.12161642500933112,0.03741947930234603,764,2.806087305315251,True,PARETO_FRONTIER
M2_TOP7_CASH0_75_CASH25,0.10461144001433209,256643.8011816487,-0.17951615330305348,0.0595162750687192,816,4.182444187261814,True,PARETO_FRONTIER
M2_TOP7_CASH0_100,0.13137626091488874,321979.4695780882,-0.23530833565375164,0.08198040131578595,857,5.523060844665003,True,PARETO_FRONTIER
GLOBAL_90_M2_10,0.1167037465715306,284527.34156470356,-0.251563536819147,0.04851419228376569,621,0.6741617891969873,True,PARETO_FRONTIER
GLOBAL_75_M2_25,0.11961058776410716,291621.4231881681,-0.2450321989238512,0.051243435894984694,751,1.5160024767867764,True,PARETO_FRONTIER
GLOBAL_50_M2_50,0.12404609277719603,302751.29410708626,-0.23615256304303933,0.05890806125051354,763,2.8916440962229357,True,PARETO_FRONTIER
GLOBAL_0_M2_100,0.13137626091488874,321979.4695780882,-0.23530833565375164,0.08198040131578595,857,5.523060844665003,True,PARETO_FRONTIER
GLOBAL_50_M2_25_CASH25,0.09624396908519528,238807.18156046607,-0.18438255487213062,0.038865954731738886,735,1.5024903667854268,True,PARETO_FRONTIER
GLOBAL_75_M2_10_CASH15,0.10277297503078286,252625.79114448483,-0.2155891803995832,0.04097419887682809,609,0.6796874924742347,True,PARETO_FRONTIER
