winner_class,holding_spells,distinct_families,total_normalised_arithmetic_return_contribution,mean_normalised_arithmetic_return_contribution,median_normalised_arithmetic_return_contribution,total_gross_market_pnl_return_units,mean_gross_market_pnl_return_units,median_gross_market_pnl_return_units,mean_days_held,median_days_held,share_of_positive_spell_pnl,mean_pre_entry_126_return,mean_held_family_total_return,selected_before_majority_frequency,scientific_ranking_basis,raw_currency_pnl_status,interpretation
FALSE_OR_LOSING_LEADER,74,22,-0.6327665036983791,-0.008550898698626744,-0.005766832010042284,-1.1101982388771243,-0.015002678903744923,-0.009564149065020539,83.22972972972973,57.0,0.0,0.10874262492568797,-0.06340987355740503,0.0,NORMALISED_ARITHMETIC_RETURN_CONTRIBUTION,AUDIT_ONLY_NOT_USED_FOR_RANKING_OR_CLASSIFICATION,E2_DEVELOPMENTAL_HOLDING_SPELL_MECHANISM_DIAGNOSTIC
WINNER,106,23,2.0644757748977116,0.019476186555638788,0.011063641331806855,3.517892733359661,0.03318766729584586,0.01790263172603747,166.61320754716982,117.5,0.9999999999999999,0.11420793665441142,0.14471486170071382,0.4339622641509434,NORMALISED_ARITHMETIC_RETURN_CONTRIBUTION,AUDIT_ONLY_NOT_USED_FOR_RANKING_OR_CLASSIFICATION,E2_DEVELOPMENTAL_HOLDING_SPELL_MECHANISM_DIAGNOSTIC
