policy_id,switch_mode,window_id,cost_scenario,gross_cagr,net_cagr,cost_drag,terminal_wealth_per_100k,excess_vs_global,maximum_drawdown,ulcer_index,calmar,sortino,annualised_volatility,longest_underwater_days,turnover,trade_legs,average_global_weight,average_m2_weight,average_cash_weight,annual_strategy_changes,annual_rebalance_events,return_retention,promotion_status,return_gate,drawdown_gate,matched_risk_gate,regime_gate,exclude_2025_gate,double_cost_gate,family_gate,threshold_gate,hysteresis_gate,all_mandatory_gates,positive_regimes,positive_episodes,largest_positive_episode_share,eligible_for_selection
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,BASE,0.08102168131457832,0.07892536049309773,0.0020963208214805906,205367.99666242805,-0.03708547180015764,-0.1752895191558438,0.05894638775001018,0.4502571566924543,0.9066381170655784,0.11447262094134102,733,1.0429250034378006,48,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.6803275085001376,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,BASE,0.041376103249738394,0.03914658618961386,0.0022295170601245307,111495.58078380315,-0.04160748106338774,-0.14952004517221917,0.05139969779347525,0.2618149703240412,0.43793456018618415,0.11544499770401646,321,1.396044711307994,11,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.4847630283062776,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,BASE,0.09669117473677202,0.09465722962540979,0.002033945111362234,182208.75018992383,-0.035018003316063195,-0.1752895191558438,0.06188610941076988,0.5400050732140657,1.1000007248727646,0.11403659297310767,733,0.892948508333065,37,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.7299561178974858,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,BASE,0.0937021224710739,0.09168323943506151,0.0020188830360123866,154637.09864927028,-0.02348130877785226,-0.13888681857179197,0.05586338521913966,0.6601291640046427,1.1689867639058393,0.10825019602033473,733,0.8936193793365107,26,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.7961064481888948,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,BASE,0.1655763460933657,0.16401256950522902,0.0015637765881366672,157732.87518226486,-0.02281085411714634,-0.13888681857179197,0.037184217312862214,1.1809081033881506,2.1479886695831265,0.10413626997003816,253,0.6587295019936402,8,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.8779015303602736,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,FULL_COMMON_HISTORY,DOUBLE,0.08102168131457854,0.07683006972049222,0.00419161159408632,201620.77062570024,-0.03918076257276315,-0.17612761529644028,0.06039133896767365,0.4362181909473968,0.8825476427261456,0.11446034111928742,735,1.0429250034378008,48,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.6622663435969415,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,PRE_2020,DOUBLE,0.04137610324974039,0.036919396732763454,0.004456706516976938,110819.74173992565,-0.04383467052023815,-0.14952004517221884,0.05223502189444892,0.24691937920590704,0.412937472158073,0.11547846681934,321,1.396044711307994,11,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.4571831238802547,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,POST_2020,DOUBLE,0.09669117473677113,0.09262375980480986,0.004067414931961277,179975.02945523453,-0.03705147313666313,-0.17612761529644028,0.06355304544100389,0.5258900465376475,1.0764837756034358,0.11400428924748694,735,0.8929485083330652,37,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.7142748673265483,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_FIVE_YEARS,DOUBLE,0.09370212247107346,0.08966485525994394,0.004037267211129514,153221.5571295604,-0.025499692952969832,-0.13975741619725734,0.057741168711679634,0.6415749353393067,1.1434866792186305,0.1082317298118881,735,0.8936193793365109,26,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.7785803587244007,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LATEST_THREE_YEARS,DOUBLE,0.1655763460933648,0.16244885461879033,0.003127491474574473,157097.8841446711,-0.024374569003585034,-0.13975741619725734,0.037703683077137375,1.162363036173377,2.12766640410922,0.10407487025175147,258,0.6587295019936402,8,0.8521739130434782,0.0,0.14782608695652175,3.166842485549133,5.0669479768786125,0.8695315152084294,FAILS_ONE_OR_MORE_MANDATORY_GATES,False,True,False,False,False,False,True,False,False,False,2.0,12.0,0.3547603001874565,True
