candidate_id,comparator_id,window_id,cost_scenario,incremental_cagr,incremental_terminal_wealth,incremental_mdd,incremental_ulcer,incremental_turnover,incremental_cost,exclude_2025_incremental_cagr,double_cost_incremental_cagr,family_exclusion_status,leave_one_family_minimum_incremental_cagr,leave_one_family_sign_reversal_count,exclude_top_1_family_incremental_cagr,exclude_top_3_family_incremental_cagr,exclude_top_5_family_incremental_cagr
GLOBAL_90_M2_10,GLOBAL_100,FULL_COMMON_HISTORY,BASE,0.0006929142782752251,1668.087885375775,0.004255023149160486,-0.0003957284410270878,0.5686003730120163,0.0026235670618139917,0.007965616676302911,-0.0019562225040405945,STATIC_FAMILY_GATE_FAIL,-0.0007149993891839568,3,-0.0006072819524216566,-0.005271604947319597,-0.005914948408392684
GLOBAL_90_M2_10,GLOBAL_100,PRE_2020,BASE,-0.005827655639030649,-1894.7408676115883,0.0009258285296174229,6.466763723797508e-05,0.32260901783260976,0.002335414238753497,0.007965616676302911,-0.008174548370545098,STATIC_FAMILY_GATE_FAIL,-0.0007149993891839568,3,-0.0006072819524216566,-0.005271604947319597,-0.005914948408392684
GLOBAL_90_M2_10,GLOBAL_100,POST_2020,BASE,0.003402455094894119,4446.346352457331,0.004255023149160597,-0.0008246411465793468,0.6744248378054607,0.0027084974493976066,0.007965616676302911,0.0006622682212729103,STATIC_FAMILY_GATE_FAIL,-0.0007149993891839568,3,-0.0006072819524216566,-0.005271604947319597,-0.005914948408392684
GLOBAL_90_M2_10,GLOBAL_100,LATEST_FIVE_YEARS,BASE,0.0016849457269894064,1294.452492792363,0.004592067389681209,0.001325516700632745,0.7229990136487857,0.0026979422735056158,0.007965616676302911,-0.0010464986445437585,STATIC_FAMILY_GATE_FAIL,-0.0007149993891839568,3,-0.0006072819524216566,-0.005271604947319597,-0.005914948408392684
GLOBAL_90_M2_10,GLOBAL_100,LATEST_THREE_YEARS,BASE,0.010194607781426335,4346.643787880195,0.004592067389681209,-0.0013066403013282102,0.78088096330937,0.002938934014459438,0.007965616676302911,0.007218196397160037,STATIC_FAMILY_GATE_FAIL,-0.0007149993891839568,3,-0.0006072819524216566,-0.005271604947319597,-0.005914948408392684
GLOBAL_75_M2_25,GLOBAL_100,FULL_COMMON_HISTORY,BASE,0.0035997554708517843,8762.169508840307,0.010786361044456294,0.0023335151701919174,1.4104410606018052,0.004526878689009584,0.005338138819640292,-0.0009567550350459975,STATIC_FAMILY_GATE_PASS,3.263281313370392e-05,0,0.00033982779778840566,-0.01134449920945313,-0.013057772927654865
GLOBAL_75_M2_25,GLOBAL_100,PRE_2020,BASE,-0.012107342946839683,-3915.4724813790817,0.0029147016445404406,0.000187702441745409,0.8020507190001191,0.003359925185807633,0.005338138819640292,-0.015477143567532936,STATIC_FAMILY_GATE_PASS,3.263281313370392e-05,0,0.00033982779778840566,-0.01134449920945313,-0.013057772927654865
GLOBAL_75_M2_25,GLOBAL_100,POST_2020,BASE,0.010559518829971859,14209.852374268521,0.010786361044456516,0.0027043131925731795,1.6721732351433207,0.004980549349820285,0.005338138819640292,0.005540843935889939,STATIC_FAMILY_GATE_PASS,3.263281313370392e-05,0,0.00033982779778840566,-0.01134449920945313,-0.013057772927654865
GLOBAL_75_M2_25,GLOBAL_100,LATEST_FIVE_YEARS,BASE,0.0056331690785387245,4358.173766284803,0.008351501956640361,0.007322110742273437,1.7936313174800427,0.0050989565231591705,0.005338138819640292,0.000493344777385385,STATIC_FAMILY_GATE_PASS,3.263281313370392e-05,0,0.00033982779778840566,-0.01134449920945313,-0.013057772927654865
GLOBAL_75_M2_25,GLOBAL_100,LATEST_THREE_YEARS,BASE,0.02694914601891374,11652.78778064248,0.00835150195664025,-0.0017821952778546632,1.9357279105970715,0.005797830577881191,0.005338138819640292,0.021104922813605542,STATIC_FAMILY_GATE_PASS,3.263281313370392e-05,0,0.00033982779778840566,-0.01134449920945313,-0.013057772927654865
