policy_id,switch_mode,control_type,control_id,window_id,candidate_cagr,control_cagr,incremental_cagr,candidate_terminal_wealth,control_terminal_wealth,incremental_terminal_wealth,candidate_mdd,control_mdd,incremental_mdd,candidate_ulcer,control_ulcer,incremental_ulcer,candidate_turnover,control_turnover,candidate_cost,control_cost,matched_risk_gate_status
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_VOLATILITY,STATIC_SWDA_CASH_NO_LEVERAGE_APPROX_VOL_MATCH,PRE_2020,0.062333574722056584,0.062108816402582256,0.00022475831947432745,118690.62582437434,118619.48054598614,71.14527838819777,-0.11225530170625142,-0.11179858348823613,-0.0004567182180152951,0.03042065402250737,0.030293149199655672,0.000127504822851697,0.32156704252370544,0.3209526685917634,0.0023874147146472425,0.002384033488707851,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_VOLATILITY,STATIC_SWDA_CASH_NO_LEVERAGE_APPROX_VOL_MATCH,POST_2020,0.10455889357223369,0.10425128172284559,0.0003076118493881008,193425.08315635956,193068.00902432456,357.07413203499164,-0.19551631373842504,-0.19476746960039937,-0.0007488441380256727,0.03812175462497305,0.03795419717664172,0.00016755744833133607,0.06435141568364448,0.06487125255046505,0.0025916849695185908,0.0026004193554040565,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_VOLATILITY,STATIC_SWDA_CASH_NO_LEVERAGE_APPROX_VOL_MATCH,LATEST_FIVE_YEARS,0.09557838132948948,0.09533931629603232,0.00023906503345716423,157398.38200123698,157227.7815748741,170.60042636288563,-0.13900740592582195,-0.13843758147903962,-0.0005698244467823299,0.03355829469452311,0.03340295569347085,0.00015533900105225984,0.05758570046757368,0.058051822222197624,0.001939393487617621,0.001945629340997371,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_VOLATILITY,STATIC_SWDA_CASH_NO_LEVERAGE_APPROX_VOL_MATCH,LATEST_THREE_YEARS,0.1504183687354954,0.14998010981566767,0.0004382589198277387,152269.46635577624,152095.4654495176,174.00090625864686,-0.13900740592582184,-0.13843758147903973,-0.0005698244467821079,0.026220169471842435,0.026100728669624842,0.00011944080221759287,0.0534048652772138,0.05383782212746923,0.0011863080531031391,0.00119005715405267,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_MDD_FRONTIER,GLOBAL_75_CASH25,FULL_COMMON_HISTORY,0.0926320318380296,0.0926320318380296,0.0,231456.6219732292,231456.6219732292,0.0,-0.19551631373842515,-0.19551631373842515,0.0,0.0359925415591835,0.0359925415591835,0.0,0.14125588705592645,0.14125588705592645,0.004979099684165832,0.004979099684165832,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_MDD_FRONTIER,GLOBAL_75_CASH25,PRE_2020,0.062333574722056584,0.062333574722056584,0.0,118690.62582437434,118690.62582437434,0.0,-0.11225530170625142,-0.11225530170625142,0.0,0.03042065402250737,0.03042065402250737,0.0,0.32156704252370544,0.32156704252370544,0.0023874147146472425,0.0023874147146472425,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_MDD_FRONTIER,GLOBAL_75_CASH25,POST_2020,0.10455889357223369,0.10455889357223369,0.0,193425.08315635956,193425.08315635956,0.0,-0.19551631373842504,-0.19551631373842504,0.0,0.03812175462497305,0.03812175462497305,0.0,0.06435141568364448,0.06435141568364448,0.0025916849695185908,0.0025916849695185908,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_MDD_FRONTIER,GLOBAL_75_CASH25,LATEST_FIVE_YEARS,0.09557838132948948,0.09557838132948948,0.0,157398.38200123698,157398.38200123698,0.0,-0.13900740592582195,-0.13900740592582195,0.0,0.03355829469452311,0.03355829469452311,0.0,0.05758570046757368,0.05758570046757368,0.001939393487617621,0.001939393487617621,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_IMMEDIATE_MONTHLY,MATCHED_MDD_FRONTIER,GLOBAL_75_CASH25,LATEST_THREE_YEARS,0.1504183687354954,0.1504183687354954,0.0,152269.46635577624,152269.46635577624,0.0,-0.13900740592582184,-0.13900740592582184,0.0,0.026220169471842435,0.026220169471842435,0.0,0.0534048652772138,0.0534048652772138,0.0011863080531031391,0.0011863080531031391,DIAGNOSTIC_CONTROL_NOT_PRIMARY_GATE
POLICY_0_STATIC_DEFENSIVE_CONTROL,SWITCH_ASYMMETRIC_HYSTERESIS,MATCHED_AVERAGE_EXPOSURE,STATIC_SWDA_CASH_SAME_MEAN_RISKY_TARGET,FULL_COMMON_HISTORY,0.0926320318380296,0.0926320318380296,0.0,231456.6219732292,231456.6219732292,0.0,-0.19551631373842515,-0.19551631373842515,0.0,0.0359925415591835,0.0359925415591835,0.0,0.14125588705592645,0.14125588705592645,0.004979099684165832,0.004979099684165832,MATCHED_RISK_GATE_FAIL
