control_id,seed,simulation_count,diagnostic_first_execution_date,diagnostic_last_execution_date,candidate_diagnostic_cagr,candidate_diagnostic_maximum_drawdown,candidate_diagnostic_turnover,candidate_cagr_percentile,candidate_drawdown_percentile_less_severe,random_cagr_mean,random_cagr_median,random_cagr_5pct,random_cagr_95pct,random_mdd_mean,random_mdd_median,random_turnover_mean,invalid_selected_slots_allocated_to_cash,method,warning,candidate_id,eligibility_rule,evidence_class
RANDOM_SELECTION_SAME_RISKY_COUNT,20260824,10000,2017-03-01,2026-08-03,0.1259968134941245,-0.1927967133516455,5.529925837015453,0.9936,0.9847,0.07547042308960772,0.07512771530289575,0.04255078075743209,0.10914380522061562,-0.25908595404920415,-0.25832189438857206,11.788089987151922,90595,VECTORIZED_MONTHLY_NEXT_XLON_SESSION; INVALID_INTERVAL_ENDPOINT_SLOT_TO_CASH; NO_FILLED_RETURN,E2 DEVELOPMENTAL; HISTORICAL UK RETAIL/SIPP ELIGIBILITY IS NOT FULLY RECONSTRUCTED,M2_TOP7_CASH0_100,ALL_POINT_IN_TIME_SIGNAL_ELIGIBLE_FAMILIES;NO_ABOVE_CASH_FILTER,E2_DEVELOPMENTAL_FALSIFICATION_DIAGNOSTIC
MONTHLY_RANK_SHUFFLE,20260825,10000,2017-03-01,2026-08-03,0.1259968134941245,-0.1927967133516455,5.529925837015453,0.9948,0.983,0.07563556540485065,0.07560733468529979,0.04323298519110044,0.10839171611722448,-0.2586156444725392,-0.25859208365385583,11.81277770897761,90945,VECTORIZED_MONTHLY_NEXT_XLON_SESSION; INVALID_INTERVAL_ENDPOINT_SLOT_TO_CASH; NO_FILLED_RETURN,E2 DEVELOPMENTAL; HISTORICAL UK RETAIL/SIPP ELIGIBILITY IS NOT FULLY RECONSTRUCTED,M2_TOP7_CASH0_100,ALL_POINT_IN_TIME_SIGNAL_ELIGIBLE_FAMILIES;NO_ABOVE_CASH_FILTER,E2_DEVELOPMENTAL_FALSIFICATION_DIAGNOSTIC
