strategy_id,regime,months,episodes,average_episode_months,mean_monthly_return,median_monthly_return,annualised_return,realised_volatility,sharpe,sortino,positive_month_frequency,worst_month,average_episode_return,worst_episode_return,episode_mdd,forward_1m_return,forward_3m_return,forward_6m_return,excess_vs_global,excess_vs_equal_pool,sample_status,warning,risk_score_substate,summary_level,m2_minus_global,cash_minus_risky,differential_basis
GLOBAL_0_M2_100,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.010821880025311545,-0.005470906476852888,0.1308044144194338,0.12325197291522819,1.0536347389185978,6.334894168513382,0.42857142857142855,-0.01971727110479804,0.012672828345982934,-0.033827435768195246,-0.014393974562113998,0.010821880025311545,0.026139690704517844,0.04283672707116632,0.0029651847105742757,0.005234425138859538,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_0_M2_100,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.008562197358683766,0.006570075268278797,0.09772077022055381,0.13714444638286719,0.7491835871892862,1.4646647932929444,0.5813953488372093,-0.08721534686166921,0.07753178204216142,-0.060978645153352606,-0.09774737295100921,0.008562197358683766,0.025696081395010954,0.055130577656747864,0.0016865789404283055,0.0017901119138719935,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_0_M2_100,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.009925406684238046,0.02095607193241822,0.10236596979649093,0.2112862385071913,0.5637133826243147,0.6969261736891943,0.6875,-0.11979721551947498,0.021750131460755148,-0.11979721551947498,-0.10017960216791388,0.009925406684238046,0.06423356852801901,0.15228472146543123,-0.0008432694752092129,-0.0033788049059168407,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_0_M2_100,R4_CAPITAL_PRESERVATION,5,5,1.0,0.06264294077417976,0.04770741512196475,1.0518339986685743,0.17273422735826516,4.351860663555908,,1.0,0.008042376907867466,0.06264294077417976,0.008042376907867466,0.0,0.06264294077417976,0.1014542037080423,0.14440923259906352,0.0028176308621566727,0.002716023432248571,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_100,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.00785669531473727,0.0022324988040187677,0.09261284025942018,0.1133250454358909,0.831946225251527,2.3150814609296115,0.5714285714285714,-0.029608404966571245,0.0091614880508847,-0.029608404966571245,-0.0061157283989341504,0.00785669531473727,0.01949438827362669,0.04724524562482398,0.0,0.0022692404282852623,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_100,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.006875618418255459,0.009979420875116607,0.07967275593851153,0.1063969716390908,0.77546775766268,1.130833843255732,0.627906976744186,-0.07844522968197887,0.057787058680985375,-0.07844522968197887,-0.08231569425599239,0.006875618418255459,0.023279406891065325,0.047352385768064574,0.0,0.0001035329734436879,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_100,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.010768676159447259,0.023914685541097658,0.11870759362571781,0.1827424181992341,0.7071380316992472,0.5828990374208426,0.75,-0.14975423265974874,0.022663952004302074,-0.14975423265974874,-0.04532211071544212,0.010768676159447259,0.05254766661141126,0.1029747897341409,0.0,-0.0025355354307076278,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_100,R4_CAPITAL_PRESERVATION,5,5,1.0,0.05982530991202308,0.051084209125980884,1.0016963135677694,0.09634372202755788,7.4514841635340785,,1.0,0.03586848223181671,0.05982530991202308,0.03586848223181671,0.0,0.05982530991202308,0.0901713738445327,0.1460164448687808,0.0,-0.00010160742990810157,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_25_CASH75,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.00327074492403082,0.001581996441976985,0.03964566503379019,0.0268044750321607,1.4642681507948934,14.063567419776389,0.7142857142857143,-0.005278797379761224,0.003816436879765961,-0.005278797379761224,0.0,0.00327074492403082,0.00913203868885564,0.02110605808199395,-0.004585950390706449,-0.0023167099624211867,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_25_CASH75,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.003038801915364568,0.0029998698631231724,0.036690649339029324,0.027666740238834253,1.3180310607460022,1.986955936365861,0.7209302325581395,-0.019224447463036087,0.02482472449193852,-0.019224447463036087,-0.02060093981181399,0.003038801915364568,0.00979642673846665,0.019893767633496408,-0.0038368165028908915,-0.003733283529447204,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_25_CASH75,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.0036224865909948445,0.0061738024483593,0.04329971948834066,0.04604738204439651,0.9440241152043507,0.7518085416386319,0.75,-0.03732248388669146,0.007338913567499522,-0.03732248388669146,-0.010708925243346767,0.0036224865909948445,0.01620151758956498,0.031627289425523314,-0.007146189568452414,-0.009681724999160042,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_25_CASH75,R4_CAPITAL_PRESERVATION,5,5,1.0,0.015475728349471618,0.013001297432918113,0.2021153531900517,0.022957468168569237,8.089251777681248,,1.0,0.010229938664717553,0.015475728349471618,0.010229938664717553,0.0,0.015475728349471618,0.024002954360589523,0.039901792169727335,-0.04434958156255146,-0.04445118899245957,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_CASH50,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.004789800504920965,0.0017955965343161573,0.057640400420132076,0.055538651984206704,1.0349117957597573,2.7626268806669296,0.5714285714285714,-0.013399804019759265,0.0055871239427879305,-0.013399804019759265,-0.0014460639367124273,0.004789800504920965,0.012699454312620397,0.02993465454710087,-0.003066894809816304,-0.0007976543815310417,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_CASH50,R2_LEADERSHIP_RISK_ON,86,11,7.818181818181818,0.004308354361726053,0.00567840481853743,0.05144718259119374,0.0537547635604128,0.9617799226780864,1.3910072462304426,0.6511627906976745,-0.03898925197455039,0.03555511934280023,-0.03898925197455039,-0.04141272422087605,0.004308354361726053,0.014274179041801267,0.029162218606116976,-0.002567264056529406,-0.002463731083085718,REGIME_SAMPLE_SUFFICIENT,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.01804801428204228,-0.05799728144379457,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_CASH50,R3_ISOLATED_LEADERSHIP,16,8,2.0,0.0059913848180575685,0.012076973953674686,0.07001621715796857,0.09155909097561278,0.7852482702765238,0.6392961637950005,0.75,-0.07484164254937609,0.012290093895437976,-0.07484164254937609,-0.022261283035992285,0.0059913848180575685,0.028425796171383702,0.055235557266491916,-0.00477729134138969,-0.007312826772097318,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,-0.01634162382922688,-0.10327265645248196,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_CASH50,R4_CAPITAL_PRESERVATION,5,5,1.0,0.03023970036097614,0.025677490247574042,0.42854841510977226,0.0473784706947014,7.659099143786761,,1.0,0.01876440346219832,0.03023970036097614,0.01876440346219832,0.0,0.03023970036097614,0.04565077228172294,0.07418873131485552,-0.029585609551046943,-0.029687216980955045,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.05013768510080485,-0.9927561463321675,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
GLOBAL_50_M2_25_CASH25,R1_BROAD_RISK_ON,7,6,1.1666666666666667,0.006966818856811592,-0.0018397806938240668,0.0836634830060381,0.0843540211762138,0.9910828804129753,3.539406136979464,0.42857142857142855,-0.017829270982573697,0.008129778675292168,-0.017829270982573697,-0.00594639029998667,0.006966818856811592,0.01770906486771435,0.037301378577983275,-0.0008898764579256773,0.0013793639703595848,INSUFFICIENT_REGIME_SAMPLE,E2 DEVELOPMENTAL; A4F THRESHOLDS ARE PRIOR-ONLY; NO E3 CONFIRMATION,ALL_SUBSTATES,FOUR_STATE_REGIME,0.03819157416001362,-0.07113999430349116,STATE_CONDITIONAL_ANNUALISED_COMPOUNDED_RETURN_DIFFERENCE
