policy_id,switch_mode,volatility_percentile,leadership_quantile,candidate_threshold,net_cagr,maximum_drawdown,ulcer_index,incremental_vs_matched_control,directionally_coherent
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.4,False,0.059120462604620005,-0.1729117944796833,0.07504739376599444,-0.0344022084776856,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.5,True,0.07892536049309773,-0.1752895191558438,0.05894638775001018,-0.02326804854612874,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.5,True,0.07327671492912091,-0.17528991808858485,0.058245043663012926,-0.025874757050513342,False
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.5,True,0.11659430939178739,-0.24503327939915098,0.05278971226074617,0.0005834770985320148,True
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.5,True,0.11711261379145799,-0.24503287963988363,0.05188056157853023,0.0011017814982026142,True
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.5,True,0.08031004112104712,-0.1687668671790422,0.0616727764885476,-0.021883367918179353,False
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.5,True,0.07392510023507937,-0.1687704707594745,0.060528981853551905,-0.025226371744554887,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.5,True,0.06751142002754729,-0.1475839711241138,0.06833962011782331,-0.030095351080827948,False
POLICY_4_DEFENSIVE_REGIME_STRATEGY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.5,True,0.059120462604620005,-0.1729117944796833,0.07504739376599444,-0.0344022084776856,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.6,False,0.07892536049309773,-0.1752895191558438,0.05894638775001018,-0.02326804854612874,False
POLICY_1_RISK_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.6,False,0.07327671492912091,-0.17528991808858485,0.058245043663012926,-0.025874757050513342,False
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.6,False,0.11684055267711257,-0.24503309249615224,0.0512015351040664,0.000829720383857202,True
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_ASYMMETRIC_HYSTERESIS,0.75,0.6,False,0.11559175432641222,-0.24503286113932354,0.051939429856981,-0.000419077966843151,True
POLICY_3_BALANCED_REGIME_STRATEGY,SWITCH_IMMEDIATE_MONTHLY,0.75,0.6,False,0.07972569222538195,-0.16876685503076727,0.060734996799876276,-0.022467716813844518,False
