regime,strategy_id,sample_status,annualised_return,maximum_drawdown,ulcer_index,rank_by_return,rank_by_drawdown,rank_by_balanced_score,interpretation,summary_level,risk_score_substate
R2_LEADERSHIP_RISK_ON,GLOBAL_100,REGIME_SAMPLE_SUFFICIENT,0.07967275593851153,-0.08231569425599239,,6.0,13.0,15.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_25_CASH75,REGIME_SAMPLE_SUFFICIENT,0.036690649339029324,-0.02060093981181399,,15.0,2.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_CASH50,REGIME_SAMPLE_SUFFICIENT,0.05144718259119374,-0.04141272422087605,,13.0,4.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_M2_25_CASH25,REGIME_SAMPLE_SUFFICIENT,0.07003711617969488,-0.06047738573422923,,10.0,6.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_50_M2_50,REGIME_SAMPLE_SUFFICIENT,0.0890574601380083,-0.07999476470025912,,3.0,10.0,1.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_CASH25,REGIME_SAMPLE_SUFFICIENT,0.06573755658662561,-0.06199018762049224,,11.0,7.0,14.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_M2_10_CASH15,REGIME_SAMPLE_SUFFICIENT,0.07241625196033818,-0.06966345681204711,,9.0,8.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_75_M2_25,REGIME_SAMPLE_SUFFICIENT,0.08399377168611322,-0.08082333467910607,,4.0,11.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,GLOBAL_90_M2_10,REGIME_SAMPLE_SUFFICIENT,0.08070803648643365,-0.08183411816882102,,5.0,12.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_100,REGIME_SAMPLE_SUFFICIENT,0.09772077022055381,-0.09774737295100921,,1.0,15.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_25_CASH75,REGIME_SAMPLE_SUFFICIENT,0.040787119552917694,-0.022696860367024896,,14.0,3.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_50_CASH50,REGIME_SAMPLE_SUFFICIENT,0.060646743932235125,-0.04651875348268253,,12.0,5.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,M2_TOP7_CASH0_75_CASH25,REGIME_SAMPLE_SUFFICIENT,0.07964874482138251,-0.07230615889975023,,7.0,9.0,3.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,EQUAL_WEIGHT_OPPORTUNITY_POOL,REGIME_SAMPLE_SUFFICIENT,0.07701967161580003,-0.08651168631156125,,8.0,14.0,16.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R2_LEADERSHIP_RISK_ON,ACTUAL_GBP_CASH,REGIME_SAMPLE_SUFFICIENT,0.021675474494716962,0.0,,16.0,1.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_0_M2_100,INSUFFICIENT_REGIME_SAMPLE,0.10236596979649093,-0.10017960216791388,,7.0,15.0,13.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_100,INSUFFICIENT_REGIME_SAMPLE,0.11870759362571781,-0.04532211071544212,,2.0,7.0,1.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_25_CASH75,INSUFFICIENT_REGIME_SAMPLE,0.04329971948834066,-0.010708925243346767,,14.0,2.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_50_CASH50,INSUFFICIENT_REGIME_SAMPLE,0.07001621715796857,-0.022261283035992285,,12.0,3.0,6.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_50_M2_25_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.0917316951913072,-0.046666773735598466,,10.0,8.0,10.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_50_M2_50,INSUFFICIENT_REGIME_SAMPLE,0.11138826531185542,-0.07194793455057791,,5.0,13.0,10.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_75_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.09518016980917032,-0.03380233251059772,,9.0,5.0,5.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_75_M2_10_CASH15,INSUFFICIENT_REGIME_SAMPLE,0.10348998225029948,-0.04262297396810055,,6.0,6.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_75_M2_25,INSUFFICIENT_REGIME_SAMPLE,0.11532990131522003,-0.05779966196038322,,4.0,12.0,7.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,GLOBAL_90_M2_10,INSUFFICIENT_REGIME_SAMPLE,0.1174752294947139,-0.04930115493645737,,3.0,9.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,M2_TOP7_CASH0_100,INSUFFICIENT_REGIME_SAMPLE,0.10236596979649093,-0.10017960216791388,,7.0,15.0,13.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,M2_TOP7_CASH0_25_CASH75,INSUFFICIENT_REGIME_SAMPLE,0.039443036260115694,-0.02442869963043759,,15.0,4.0,12.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,M2_TOP7_CASH0_50_CASH50,INSUFFICIENT_REGIME_SAMPLE,0.06285354917176367,-0.04968382935614746,,13.0,10.0,15.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,M2_TOP7_CASH0_75_CASH25,INSUFFICIENT_REGIME_SAMPLE,0.08387477797902632,-0.07493397650229094,,11.0,14.0,16.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,EQUAL_WEIGHT_OPPORTUNITY_POOL,INSUFFICIENT_REGIME_SAMPLE,0.14508740600532777,-0.054223464061141535,,1.0,11.0,2.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
R3_ISOLATED_LEADERSHIP,ACTUAL_GBP_CASH,INSUFFICIENT_REGIME_SAMPLE,0.015434937173235852,0.0,,16.0,1.0,9.0,DESCRIPTIVE_CAUSAL_STATE;NOT_A_POLICY_SELECTION_BY_ITSELF,FOUR_STATE_REGIME,ALL_SUBSTATES
