oracle_type,period_id,best_static_candidate,oracle_return,best_causal_policy_return,captured_fraction,status
MONTHLY_ORACLE,2020-01,GLOBAL_25_CASH75,0.0002702281028863496,-0.00044854910045288854,-1.6598906466864989,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-02,M2_TOP7_CASH0_25_CASH75,-0.01427917798570466,-0.04824684364395815,,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-03,M2_TOP7_CASH0_25_CASH75,-0.014419342578501637,-0.008873169535204117,,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-04,GLOBAL_0_M2_100,0.15039970914796852,0.07789900733526722,0.5179465291294376,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-05,GLOBAL_0_M2_100,0.0633382190137659,0.0689064694322099,1.0879129616390666,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-06,GLOBAL_0_M2_100,0.0637897032635153,0.0347993961231019,0.5455331243562237,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-07,GLOBAL_0_M2_100,0.03565667859187638,0.01645877494130743,0.46159024315453806,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-08,GLOBAL_100,0.05175327418673503,0.03864693184202528,0.7467533687352855,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-09,GLOBAL_0_M2_100,0.014293959892109465,0.005575060927240472,0.3900291430311072,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-10,M2_TOP7_CASH0_25_CASH75,-0.003768072759976371,-0.020989854676402686,,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-11,GLOBAL_100,0.08981288981288982,0.08953028586354717,0.9968534143603284,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2020-12,GLOBAL_0_M2_100,0.03393981966721227,0.02490122186169419,0.7336875123632475,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-01,GLOBAL_0_M2_100,0.019983963487384848,-0.0009054977502259698,-0.04531121920822052,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-02,GLOBAL_0_M2_100,0.05843719808426817,0.02029579346418986,0.3473094900087907,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-03,GLOBAL_100,0.043981697637500705,0.04398169763750048,0.999999999999995,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-04,GLOBAL_100,0.04302325581395339,0.04302325581395361,1.000000000000005,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-05,GLOBAL_0_M2_100,0.006823770272724072,-0.005064066813445511,-0.7421215268174494,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-06,GLOBAL_100,0.03859132992991232,0.03859132992991321,1.000000000000023,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-07,GLOBAL_100,0.013246688327917644,0.013246688327918088,1.0000000000000335,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-08,GLOBAL_0_M2_100,0.044067179764795794,0.036218434092764484,0.8218913551100113,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-09,M2_TOP7_CASH0_25_CASH75,-0.0012695285140837953,-0.012694370809877342,,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-10,GLOBAL_0_M2_100,0.03735863249372362,0.03448828468504517,0.9231677495379232,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-11,GLOBAL_100,0.01581089542892955,0.015810895428930438,1.0000000000000562,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2021-12,GLOBAL_100,0.020804438280166426,0.02080443828016687,1.0000000000000213,NONCAUSAL_DIAGNOSTIC_ONLY
MONTHLY_ORACLE,2022-01,M2_TOP7_CASH0_25_CASH75,-0.013438198568664461,-0.041622864839895524,,NONCAUSAL_DIAGNOSTIC_ONLY
