strategy_id,window_id,cost_scenario,global_weight,m2_weight,cash_weight,net_cagr,terminal_wealth_per_100k,maximum_drawdown,ulcer_index,longest_underwater_days,annualised_volatility,turnover,cost_drag,pareto_efficient
GLOBAL_25_CASH75,FULL_COMMON_HISTORY,BASE,0.25,0.0,0.75,0.044686851005110606,151306.85331990602,-0.06745408342990167,0.010968701551722183,248,0.03607202977881213,0.08866231434467495,0.0003020186193161134,True
GLOBAL_25_CASH75,PRE_2020,BASE,0.25,0.0,0.75,0.024536950543201153,107110.60921067146,-0.03635376016073777,0.009492672167052416,219,0.031736381756022135,0.145213418232565,0.00030261755745319974,False
GLOBAL_25_CASH75,POST_2020,BASE,0.25,0.0,0.75,0.053015393283297296,140873.9786046624,-0.06745408342990156,0.011540697623414,248,0.03776457366724826,0.06457933130906748,0.00029804319983783856,False
GLOBAL_25_CASH75,LATEST_FIVE_YEARS,BASE,0.25,0.0,0.75,0.055668044476953504,130892.45567669072,-0.042892069898607055,0.009395958593836073,248,0.03327067774765154,0.057906761174827605,0.00027674586993975403,False
GLOBAL_25_CASH75,LATEST_THREE_YEARS,BASE,0.25,0.0,0.75,0.07951968716507651,125810.38562460346,-0.042892069898606944,0.006910950957311039,140,0.02966561679776875,0.05381091973671181,0.0002687844219269042,False
GLOBAL_25_CASH75,FULL_COMMON_HISTORY,DOUBLE,0.25,0.0,0.75,0.04438427287565405,150892.2126019635,-0.0674884079431356,0.011010249563263491,248,0.03607119512246521,0.08866231434467492,0.0006045967487728898,False
GLOBAL_25_CASH75,PRE_2020,DOUBLE,0.25,0.0,0.75,0.024234080417450343,107020.90710737542,-0.03646268796225094,0.00954405424119732,219,0.03173354253038183,0.145213418232565,0.0006054876832035649,False
GLOBAL_25_CASH75,POST_2020,DOUBLE,0.25,0.0,0.75,0.052716660035071694,140609.0647492865,-0.0674884079431356,0.011578980172883651,248,0.0377646772807342,0.06457933130906746,0.0005967764480634408,False
GLOBAL_25_CASH75,LATEST_FIVE_YEARS,DOUBLE,0.25,0.0,0.75,0.05539054775854191,130721.56677990603,-0.04294483716673403,0.009435162945758937,248,0.03326876663093243,0.057906761174827605,0.0005542425883524604,False
GLOBAL_25_CASH75,LATEST_THREE_YEARS,DOUBLE,0.25,0.0,0.75,0.07925008753011742,125716.12594310856,-0.04294483716673381,0.006925284970971927,141,0.029661864379716813,0.05381091973671179,0.000538384056887331,False
