policy_id,switch_mode,exclusion_type,excluded_families,window_id,net_cagr,excess_vs_global,maximum_drawdown,ulcer_index,delta_cagr,delta_mdd,dependency_status,incremental_vs_replacement_control
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_SEMICONDUCTORS,FULL_COMMON_HISTORY,0.11255581406965987,-0.0034550182235955074,-0.252823910008508,0.05224524383008458,-0.004038495322127522,-0.00779063060935703,SIGN_REVERSAL_DEPENDENCY,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_SILVER_MINERS,FULL_COMMON_HISTORY,0.11492083076435478,-0.001090001528900597,-0.24503327939915098,0.05313110877705989,-0.0016734786274326119,0.0,SIGN_REVERSAL_DEPENDENCY,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_SOFTWARE,FULL_COMMON_HISTORY,0.1163876362880023,0.0003768039947469326,-0.24884474319852123,0.05177943483165203,-0.0002066731037850822,-0.0038114637993702516,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_SOLAR,FULL_COMMON_HISTORY,0.11658547237052441,0.0005746400772690397,-0.24503327939915098,0.05273064463088305,-8.837021262975142e-06,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_TRANSPORTATION,FULL_COMMON_HISTORY,0.1161229449513499,0.00011211265809452087,-0.2450332869199524,0.052671449815509336,-0.0004713644404374939,-7.520801426075252e-09,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_URANIUM_NUCLEAR,FULL_COMMON_HISTORY,0.11794674261966098,0.00193591032640561,-0.24503327939915098,0.052880480996912824,0.001352433227873595,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,GLOBAL_WATER,FULL_COMMON_HISTORY,0.11872848696960481,0.0027176546763494347,-0.2457404427456681,0.05099746497071185,0.00213417757781742,-0.0007071633465171034,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,US_AEROSPACE_DEFENCE,FULL_COMMON_HISTORY,0.11659430939178739,0.0005834770985320148,-0.24503327939915098,0.05278971226074617,0.0,0.0,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,LEAVE_ONE_FAMILY_OUT,US_BANKS,FULL_COMMON_HISTORY,0.1173989828174673,0.0013881505242119285,-0.24503293630981904,0.0519718969867938,0.0008046734256799137,3.4308933194449054e-07,NONNEGATIVE_INCREMENTAL,
POLICY_2_ALPHA_TIMING_ONLY,SWITCH_IMMEDIATE_MONTHLY,EXCLUDE_TOP_1_FAMILY_CONTRIBUTORS,GLOBAL_SEMICONDUCTORS,FULL_COMMON_HISTORY,0.11255581406965987,-0.0034550182235955074,-0.252823910008508,0.05224524383008458,-0.004038495322127522,-0.00779063060935703,ROBUSTNESS_DIAGNOSTIC,
