strategy_id,withdrawal_rate,stress_method,worst_3y_terminal_wealth,worst_5y_terminal_wealth,negative_real_3y_probability,negative_nominal_3y_probability,maximum_recovery_days,drawdown_start_withdrawal_effect,inflation_status,evidence_level
BALANCED_SIPP_SELECTED,0.0,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,106810.49520347937,138231.02605654128,,0.0168,550,6810.495203479368,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
BALANCED_SIPP_SELECTED,0.03,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,97935.1732749785,120686.3636613362,,0.0702,550,-2064.8267250214994,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
BALANCED_SIPP_SELECTED,0.04,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,94976.73263214501,114838.1428629348,,0.1116,550,-5023.267367854991,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
CORE_0_GLOBAL,0.0,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,107998.45421590038,150595.23809523723,,0.0262,586,7998.454215900376,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
CORE_0_GLOBAL,0.03,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,99220.24156107068,132266.7316484333,,0.0664,586,-779.7584389293188,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
CORE_0_GLOBAL,0.04,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,96294.17067612769,126157.22949949883,,0.1084,586,-3705.8293238723127,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
M2_BASE_TOP7_CASH1,0.0,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,82339.10389046127,113580.45202986749,,0.1136,992,-17660.896109538735,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
M2_BASE_TOP7_CASH1,0.03,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,74763.56313928482,97339.86080542687,,0.2262,992,-25236.436860715185,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
M2_BASE_TOP7_CASH1,0.04,ROLLING_HISTORICAL_AND_6M_MONTHLY_BLOCK_RESAMPLING_5000,72238.38288889278,91926.33039728025,,0.2776,992,-27761.617111107218,NO_ACCEPTED_POINT_IN_TIME_UK_INFLATION_SERIES_IN_PROGRAMME; NOMINAL DIAGNOSTIC ONLY,E1_RISK_DIAGNOSTIC
