evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,bh_fdr_q_value,headline_predeclared_test,multiple_testing_family,fdr_survives_q_0_10,spread_mean,spread_median,spread_hac_t_statistic,spread_hac_p_value,mean_monotonicity_score,strict_monotonicity_frequency,benchmark_id,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_hit_rate,deepvue_used
A3EVAL-38134F3074F9F753,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,63,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,101,0.009811683693913841,-0.010989010989010999,0.49092583463575035,0.01998608140309781,0.48514851485148514,2,0.04536609245415447,0.21627791072879413,0.8287711262875753,-0.07910422363554323,0.09872759102337092,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0035390694344861525,0.005330456434486305,0.8405590290919479,0.40059501942712283,0.5333333333333333,0.26666666666666666,GLOBAL_ALL_WORLD,0.391705069124424,0.4470046082949309,0.4731182795698925,False
A3EVAL-E54570A6C77FCD88,MOM_21,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,126,15,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,68,0.04195827103273803,0.0690691076422601,0.49776718359753164,0.08429296348845544,0.5441176470588235,5,0.07146912373622816,0.587082488762474,0.5571483076899437,-0.09811863749690586,0.1820351795623819,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.005691179390705428,0.01440371342000634,0.5470505402197205,0.5843440105989488,0.55859375,0.328125,GLOBAL_ALL_WORLD,0.4022346368715084,0.4245810055865922,0.47692307692307695,False
A3EVAL-31BD55BED0879AB3,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,1,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,483,-0.01868129591628325,-0.027081864088027003,0.4570174393333531,-0.04087654935779579,0.4824016563146998,1,0.02071356021550985,-0.9018872526942576,0.36711676354638967,-0.059279127930284274,0.02191653609771777,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.00017936078625123222,-0.00036833501296881316,-0.6161595372892569,0.5377892307693546,0.4802955665024631,0.18472906403940886,GLOBAL_ALL_WORLD,0.39599236641221375,0.4437022900763359,0.5,False
A3EVAL-77E69134EA1614B8,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,5,15,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,467,0.01104546556409948,1.587257100053217e-17,0.4799279221293918,0.023014842551964603,0.5010706638115632,1,0.023164935011176346,0.47681832730246787,0.6334914939226972,-0.034356972762017116,0.056447903890216075,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-6.29282785452486e-05,-0.0003355354068623152,-0.09069585717942347,0.9277342625575671,0.49362244897959184,0.1989795918367347,GLOBAL_ALL_WORLD,0.4139941690962099,0.4868804664723032,0.5099337748344371,False
A3EVAL-C69CF4FCEBF2B9F5,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,21,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,413,0.049584012619543615,0.022568514811147546,0.4878681536900099,0.10163404240369656,0.5205811138014528,4,0.039684433352133376,1.2494574933089742,0.21149779123615953,-0.028196047497517925,0.12736407273660516,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.00019717977939789303,-0.0015800030041257514,-0.09713790072345373,0.9226168827401426,0.4892241379310345,0.21551724137931033,GLOBAL_ALL_WORLD,0.43078512396694213,0.47417355371900827,0.51,False
A3EVAL-18DBD01476F32C4E,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,42,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,366,0.03872462293636031,0.009740259740259691,0.4812373168692096,0.08046886968012264,0.5081967213114754,8,0.05109623563718202,0.7578762398727655,0.4485250755643745,-0.06142215865808846,0.1388714045308091,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.00099954075495677,0.0015560204085966617,0.24544353753124823,0.8061130216555129,0.5023885350318471,0.21656050955414013,GLOBAL_ALL_WORLD,0.44359255202628695,0.49069003285870755,0.5280898876404494,False
A3EVAL-DE29348930F7E411,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,63,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,322,0.0789252227794893,0.09340659340659342,0.4649321720678657,0.1697564236702653,0.5559006211180124,12,0.059331452647966715,1.3302425485480518,0.18343836943225234,-0.037362287560969085,0.1952127331199477,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0039572065473063205,0.004688292893103338,0.6123195258967211,0.540326373394519,0.5293594306049823,0.2526690391459075,GLOBAL_ALL_WORLD,0.4508670520231214,0.49710982658959535,0.5723270440251572,False
A3EVAL-F1BA1FC507944515,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,WEEKLY_WEDNESDAY,126,15,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,235,0.13959589900825808,0.20879120879120885,0.43801523259746106,0.3187010145296651,0.6340425531914894,25,0.07218290106378689,1.9339192101035036,0.053123061823298484,-0.001879987376382175,0.28107178539289834,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.015498313311814135,0.02330615926077596,1.5880681934537173,0.1122709196519334,0.59375,0.34134615384615385,GLOBAL_ALL_WORLD,0.45663956639566394,0.5149051490514905,0.6077586206896551,False
A3EVAL-F09AF10466469920,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,1,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,115,-0.029544130783772642,-4.1633363423443364e-17,0.4567315913088826,-0.06468598044445818,0.4956521739130435,1,0.041718088726373816,-0.708185146677036,0.4788302888323219,-0.11131008219131178,0.052221820623766485,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,-0.0004302883268001791,-0.0001793296203057215,-0.711524889934049,0.47675903264258235,0.4739583333333333,0.15625,GLOBAL_ALL_WORLD,0.4057377049180328,0.45901639344262296,0.5178571428571429,False
A3EVAL-EE6F441762C8E380,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GEOGRAPHY,WITHIN_COHORT,MONTH_END,5,15,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,109,0.07159471853811614,0.09999999999999998,0.5060308578003229,0.1414829104480562,0.5504587155963303,1,0.049938962614241356,1.4336444889966355,0.15167374082107712,-0.02628384961108915,0.16947328668732142,,False,DIAGNOSTIC_NOT_IN_HEADLINE_FDR_FAMILY,False,0.0005347989703021075,0.001000758986495979,0.3558639641501702,0.7219424439238333,0.5444444444444444,0.3111111111111111,GLOBAL_ALL_WORLD,0.42436974789915966,0.4789915966386555,0.5,False
