economic_exposure_family_id,economic_exposure_name,universe_tier,valid_return_observations,first_valid_date,last_valid_date,has_1_year,has_3_years,has_5_years,has_10_years,usable_history,validated_actual_implementation_history,requires_proxy_for_504_day_research,historical_eligibility_unresolved,a3_ready,a3_scope,selected_listing_count_through_time,validation_statuses
EMERGING_MARKETS,Broad emerging-market equities,CORE,3534,2012-06-01,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
EUROPE_AEROSPACE_DEFENCE,Aerospace and defence businesses,EXTENDED,916,2019-07-08,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
EUROPE_BANKS,Europe banking industry,EXTENDED,2953,2014-10-29,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_BROAD,Broad developed European equities,CORE,3392,2010-06-01,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_CONSUMER_STAPLES,Broad consumer-staples sector,CORE,2852,2014-12-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_ENERGY,Broad global energy sector,CORE,1088,2022-04-07,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_EX_UK,Developed Europe excluding the UK,CORE,2231,2017-08-16,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_FINANCIALS,Broad global financials sector,CORE,2915,2014-12-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_HEALTHCARE,Broad global healthcare sector,CORE,2915,2014-12-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_INDUSTRIALS,Broad global industrials sector,CORE,2546,2016-05-09,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_INFRASTRUCTURE,Europe listed infrastructure,EXTENDED,131,2026-02-12,2026-08-21,False,False,False,False,True,True,True,True,False,NOT_READY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_MATERIALS,Broad global materials sector,CORE,2550,2016-05-09,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_TECHNOLOGY,Broad global technology sector,CORE,2568,2016-05-09,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROPE_UTILITIES,Broad global utilities sector,CORE,2545,2016-05-09,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
EUROZONE,Eurozone equities,CORE,3415,2011-03-16,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
EUROZONE_USD_HEDGED,Eurozone equities hedged to USD,EXTENDED,2525,2015-07-22,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_WITH_OPEN_EVENT_ALIGNMENT_ITEMS
EUR_OVERNIGHT_CASH,Euro overnight-rate exposure,EXTENDED,2863,2015-03-04,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GBP_CORPORATE_IG,Sterling investment-grade corporate bonds,CORE,5620,2004-04-14,2026-08-20,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
GBP_OVERNIGHT_CASH,Sterling overnight-rate exposure,CORE,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
GLOBAL_AEROSPACE_DEFENCE,Aerospace and defence businesses,EXTENDED,484,2024-09-17,2026-08-21,True,False,False,False,True,True,True,True,False,NOT_READY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_AGGREGATE_BONDS_GBP_HEDGED,Global aggregate bonds hedged to sterling,CORE,2177,2017-11-28,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
GLOBAL_AGRIBUSINESS,Agricultural inputs and food value chain,EXPERIMENTAL,3620,2011-10-12,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
GLOBAL_AI,Artificial-intelligence value chain,EXPERIMENTAL,979,2022-09-16,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
