economic_exposure_family_id,economic_exposure_name,universe_tier,valid_return_observations,first_valid_date,last_valid_date,has_1_year,has_3_years,has_5_years,has_10_years,usable_history,validated_actual_implementation_history,requires_proxy_for_504_day_research,historical_eligibility_unresolved,a3_ready,a3_scope,selected_listing_count_through_time,validation_statuses
GLOBAL_QUANTUM_COMPUTING,Quantum-computing ecosystem,EXPERIMENTAL,312,2025-05-28,2026-08-21,True,False,False,False,True,True,True,True,False,NOT_READY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS;PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_REAL_ESTATE,Global listed property and REITs,EXTENDED,1869,2019-01-23,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION
GLOBAL_RETAIL,Retail and e-commerce businesses,EXPERIMENTAL,1183,2021-11-19,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_ROBOTICS_AUTOMATION,Robotics and industrial automation,EXTENDED,2480,2016-09-15,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,EXTENDED,3181,2013-09-17,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,3,PASS_EXPLICIT_DISTRIBUTION_RECONCILIATION;PASS_VENDOR_SEMANTICS_AND_ZERO_REPORTED_DISTRIBUTIONS
GLOBAL_SILVER_MINERS,Global silver-mining equities,EXPERIMENTAL,1072,2022-05-11,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_SMALL_CAP,Global small-cap equities,EXTENDED,3176,2013-12-10,2026-08-21,True,True,True,True,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,2,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_SOFTWARE,Software and cloud businesses,EXTENDED,1904,2019-01-03,2026-08-21,True,True,True,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,1,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_SOLAR,Solar-energy value chain,EXPERIMENTAL,1181,2021-10-07,2026-08-21,True,True,False,False,True,True,False,True,True,RESEARCH_ONLY_WITH_VISIBLE_ELIGIBILITY_UNCERTAINTY,4,PASS_VENDOR_SEMANTICS_NO_EVENT_AVAILABLE
GLOBAL_SPACE,Commercial space economy,EXPERIMENTAL,0,NOT_AVAILABLE,NOT_AVAILABLE,False,False,False,False,False,False,True,True,False,NOT_READY,0,NO_SELECTED_HISTORY
