analysis_context_id,analysis_context_type,signal_id,forward_horizon_sessions,mean_contemporaneous_count,ic_observation_count,mean_spearman_ic,median_spearman_ic,ic_positive_frequency,ic_hac_t_statistic,ic_hac_p_value,ic_ci_low,ic_ci_high,top_bottom_observation_count,top_bottom_mean,top_bottom_median,top_bottom_positive_frequency,top_bottom_hac_t_statistic,top_bottom_hac_p_value,bucket_date_count,warning,bucket_count,bucket_1_mean_forward_return,bucket_2_mean_forward_return,bucket_3_mean_forward_return,bucket_4_mean_forward_return,bucket_5_mean_forward_return,bucket_monotonicity_fraction
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,5,53.701183431952664,676,-0.011751135314053024,0.0025644964253806555,0.5059171597633136,-1.091711875206388,0.2749597638800605,-0.032848095524957155,0.009345824896851108,676,0.00034878712838304034,0.0003443130698566055,0.5044378698224852,0.2984379837254967,0.7653689022941684,676,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.002360122170413285,0.0022284747716653196,0.0023574548527288664,0.002229136400348643,0.0023710415546647776,0.5
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,10,53.64296296296296,675,-0.010671676442436601,-0.004926108374384227,0.49037037037037035,-0.8681922320002858,0.3852891060361816,-0.03476323210361808,0.013419879218744877,675,0.0006757497907047061,0.000357739635781229,0.5022222222222222,0.3649630071571748,0.7151390203693445,675,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.004982274070086031,0.004118284399763938,0.004260657983742321,0.004463582078168545,0.004725198768455365,0.75
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,21,53.495535714285715,672,-0.005536176311678747,-0.014266838166147728,0.4806547619047619,-0.36786423769095644,0.7129744674391705,-0.03503267276662863,0.023960320143271138,672,0.0025956174850658162,-0.0010824775825768462,0.4836309523809524,0.8144124841741133,0.4154086891483493,672,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.009726893903872377,0.008589681339478069,0.00844627172374915,0.008461503607965385,0.009543594438780124,0.5
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,42,53.22604790419162,668,-0.012630475632637228,-0.03008573441001529,0.47155688622754494,-0.6956758349707611,0.4866318622709015,-0.04821497649232308,0.02295402522704862,668,-0.0009018543314985361,-0.0005639562277626742,0.49850299401197606,-0.1697732053354183,0.865188500035841,668,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.020693935641375283,0.018406558837852645,0.01813173236102431,0.01787998044627635,0.017131536713045112,0.0
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,63,52.88403614457831,664,-0.00835576980465435,-0.005709615204569541,0.49096385542168675,-0.45985250461564325,0.645622093414733,-0.04396938007283836,0.027257840463529664,664,-0.0033349056929701877,-0.0022739857708384825,0.4954819277108434,-0.5925411442186655,0.5534882776527187,664,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.029760398894549477,0.027441202343422164,0.027942926858859726,0.026533575819819237,0.023987670978079977,0.25
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,ACCEL_FAST_COMPOSITE,126,52.105990783410135,651,-0.021886944026680247,-0.03283302063789869,0.45161290322580644,-1.1974653796588135,0.23112521376722173,-0.057710628579598106,0.013936740526237612,651,-0.0009455867532603343,-0.0038687103233029374,0.4838709677419355,-0.12230581429281129,0.9026568274314053,651,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.05579638097196834,0.05397659313463969,0.05191707660877596,0.051383624323344874,0.04800992944538355,0.0
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,DISCRETE_RECENT_CONSISTENCY,5,57.0126404494382,712,0.0006430396256553709,-0.004708355535054857,0.4943820224719101,0.06085333237426358,0.9514760158929548,-0.020067979109773374,0.021354058361084113,712,-0.00023140335232751147,-0.00035442411024094733,0.4845505617977528,-0.1964812832906784,0.8442334809185501,712,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.002296231191152087,0.002009980679657941,0.002392867887496858,0.001939396590604165,0.0021654070858295443,0.5
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,DISCRETE_RECENT_CONSISTENCY,10,56.94092827004219,711,0.004026716257136146,0.021241258741258727,0.5175808720112518,0.32347443970675993,0.7463359620628252,-0.020371560302530598,0.02842499281680289,711,-0.00047516588354916156,-0.0014333848412126926,0.4781997187060478,-0.257549951075699,0.7967542600210712,711,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.0042862885823929005,0.0042641325645240745,0.004457627225484707,0.004150901472359978,0.004164423248318583,0.5
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,DISCRETE_RECENT_CONSISTENCY,21,56.86581920903955,708,0.005540480079347417,0.025168688901083258,0.53954802259887,0.3189772555729416,0.7497437600184672,-0.028503142852568372,0.03958410301126321,708,0.0009232877974585839,1.1033959731121534e-05,0.5,0.2763441301362735,0.7822837640644467,708,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.008031896611687036,0.008276499679740649,0.00895173475051132,0.008962663993006511,0.008510637713747389,0.75
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,DISCRETE_RECENT_CONSISTENCY,42,56.53977272727273,704,0.0005409092147880217,0.0054197120028205165,0.5042613636363636,0.02540959292648067,0.9797282595306092,-0.04118201735699156,0.0422638357865676,704,0.004499407610696082,-0.001441380896848088,0.484375,0.8424451587837636,0.3995388245991732,704,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",5,0.01670806963303825,0.016547422478730416,0.016634088227449058,0.01603274249175136,0.018836852866064305,0.5
