module_id,counterfactual_event_id,review_date,execution_date,counterfactual_end_date,family,action_type,allocation_reduced,position_return_at_reduction,realised_profit_locked_return_equivalent,profit_remaining_invested_return_equivalent,family_counterfactual_return,actual_cash_return,avoided_downside_return_equivalent,foregone_upside_return_equivalent,incremental_cost_return_equivalent,net_monetisation_value,warning
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-CF-048,2025-07-31,2025-08-01,2025-09-01,GLOBAL_SOLAR,STARTER_FAILED,0.25,,0.0,0.0,0.10466877840517852,0.003349318542075652,0.0,0.025329864965775717,0.00051596,-0.025845824965775716,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,SCALE_IN_STARTER_A_WEEKLY-CF-061,2026-07-31,2026-08-03,2026-08-21,GLOBAL_CYBERSECURITY,STARTER_FAILED,0.5,,0.0,0.0,-0.007441860465116301,0.0018082614807555242,0.004625060972935913,0.0,0.00101596,0.003609100972935913,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,SCALE_IN_STARTER_B_WEEKLY-CF-003,2022-11-25,2022-11-28,2022-12-01,GLOBAL_GOLD_MINERS,STARTER_FAILED,0.25,,0.0,0.0,0.06390977443609014,0.0002372111031032631,0.0,0.01591814083324672,0.00051596,-0.016434100833246718,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,SCALE_IN_STARTER_B_WEEKLY-CF-006,2023-08-04,2023-08-07,2023-10-02,CHINA_INTERNET,STARTER_FAILED,0.25,,0.0,0.0,-0.042685890166855645,0.007785683937695298,0.012617893526137736,0.0,0.00051596,0.012101933526137736,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,SCALE_IN_STARTER_B_WEEKLY-CF-010,2025-06-06,2025-06-09,2025-06-16,GLOBAL_URANIUM_NUCLEAR,STARTER_FAILED,0.25,,0.0,0.0,0.04250453964624379,0.0007916767117774892,0.0,0.010428215733616575,0.00051596,-0.010944175733616574,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,SCALE_IN_STARTER_A_MONTHLY-CF-004,2023-02-28,2023-03-01,2023-04-03,GLOBAL_GOLD_MINERS,STARTER_FAILED,0.75,,0.0,0.0,0.17017250973845277,0.0035612782436786894,0.0,0.12495842362108056,0.00151596,-0.12647438362108057,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,SCALE_IN_STARTER_A_MONTHLY-CF-006,2023-08-31,2023-09-01,2023-10-02,CHINA_INTERNET,STARTER_FAILED,0.25,,0.0,0.0,-0.050225008036001384,0.004302945801578861,0.013631988459395061,0.0,0.00051596,0.013116028459395062,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_MONTHLY,SCALE_IN_STARTER_A_MONTHLY-CF-008,2024-08-30,2024-09-02,2024-12-02,GLOBAL_GENOMICS,STARTER_FAILED,0.25,,0.0,0.0,-0.008988396796862141,0.01195289377113462,0.0052353226419991905,0.0,0.00051596,0.00471936264199919,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_MONTHLY,SCALE_IN_STARTER_B_MONTHLY-CF-002,2023-08-31,2023-09-01,2023-10-02,CHINA_INTERNET,STARTER_FAILED,0.25,,0.0,0.0,-0.050225008036001384,0.004302945801578861,0.013631988459395061,0.0,0.00051596,0.013116028459395062,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_FAST_TAPER_WEEKLY,EXIT_FAST_TAPER_WEEKLY-CF-001,2021-09-24,2021-09-27,2021-10-01,GLOBAL_CYBERSECURITY,FIRST_WEAKENING_75,0.25,-0.00592700426328252,0.0,0.0,-0.01660321489001715,5.376777172827474e-06,0.004152147916797494,0.0,0.00051596,0.0036361879167974938,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
