listing_id,share_class_id,fund_entity_id,economic_exposure_family_id,duplicate_group_id,isin,provider_issuer,ticker,mic,listing_currency,price_unit,accumulating_distributing,hedged_unhedged,ter_ocf_percent,current_investability_state,broker_status,implementation_evidence_confidence,implementation_selection_status,warning,implementation_evidence_order
LIST-9D315FB3B59B9019,SC-A3E4A6263EFDF9EE,FUND-E42479B2B86DA0C7,AUSTRALIA,DUP-AUSTRALIA,IE00BXDZNQ90,UBS,AUGA,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-6846F2BB8AE69B59,SC-BFAE59DDA3E335ED,FUND-E42479B2B86DA0C7,AUSTRALIA,DUP-AUSTRALIA,IE00BD4TY451,UBS,AUST,XLON,USD,USD,ACCUMULATING,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-6F6650592322498F,SC-254040107C84B292,FUND-B987074B21334B3F,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,IE00B4WPHX27,LEGAL AND GENERAL ASSET MANAGEMENT,CMFP,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
LIST-998898C37A54D882,SC-C292687DE8684621,FUND-D9311B5E45A51304,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,GB00B15KY989,WISDOMTREE,AGCP,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,2
LIST-CAFE004210285EA8,SC-66508D772027A9F5,FUND-B987074B21334B3F,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,IE00BF0BCP69,LEGAL AND GENERAL ASSET MANAGEMENT,BCOG,XLON,GBP,GBX,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,3
LIST-225823B6B1E77BCE,SC-11002317FA1836EA,FUND-D9311B5E45A51304,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,JE00B24DMC49,WISDOMTREE,FAIG,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,4
LIST-2B57489521C17B52,SC-C292687DE8684621,FUND-D9311B5E45A51304,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,GB00B15KY989,WISDOMTREE,AIGC,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,5
LIST-48CFC440342C7B51,SC-254040107C84B292,FUND-B987074B21334B3F,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,IE00B4WPHX27,LEGAL AND GENERAL ASSET MANAGEMENT,COMF,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,6
LIST-A73DC78D7074C210,SC-66508D772027A9F5,FUND-B987074B21334B3F,BROAD_COMMODITIES,DUP-BROAD_COMMODITIES,IE00BF0BCP69,LEGAL AND GENERAL ASSET MANAGEMENT,BCOM,XLON,USD,USD,NOT_DETERMINED,UNHEDGED,NOT_AVAILABLE,CURRENT_CANDIDATE_UNVERIFIED,NOT_CHECKED,MEDIUM,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,7
LIST-F34996A28FCA5B34,SC-E4A748FC4DF81B4A,FUND-BB6B7E7B9401E72D,CANADA,DUP-CANADA,IE00B52SF786,ISHARES,CSCA,XLON,GBP,GBX,ACCUMULATING,UNHEDGED,0.4800,CURRENTLY_INVESTABLE,NOT_CHECKED,HIGH,CANDIDATE_ONLY_NO_TRADE_OR_PORTFOLIO_SELECTION,CURRENT ELIGIBILITY MUST NOT BE BACK-PROJECTED HISTORICALLY,1
