signal_id,frequency_id,forward_horizon_sessions,regime_id,regime_state,ic_observation_count,ic_mean,ic_median,ic_standard_deviation,ic_information_ratio,ic_positive_frequency,ic_hac_lag,ic_hac_standard_error,ic_hac_t_statistic,ic_hac_p_value,ic_confidence_interval_low,ic_confidence_interval_high,spread_observation_count,spread_mean,spread_median,spread_standard_deviation,spread_information_ratio,spread_positive_frequency,spread_hac_lag,spread_hac_standard_error,spread_hac_t_statistic,spread_hac_p_value,spread_confidence_interval_low,spread_confidence_interval_high,descriptive_only_no_filter_optimisation,historical_eligibility_warning
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,EQUITY_TREND,BEAR_NONPOSITIVE_252,24,-0.07229242633124484,-0.09136202103057649,0.3457676026416036,-0.20907807955095686,0.4583333333333333,4,0.08872390711228022,-0.8148021055898573,0.41518559549318934,-0.24618808883899124,0.10160323617650154,24,-0.00717947143534886,-0.008730571130259041,0.029960553480107004,-0.23963080121720162,0.4166666666666667,4,0.009302332405513484,-0.7717926131185759,0.44023726750312164,-0.025411707922375133,0.011052765051677411,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,EQUITY_TREND,BULL_POSITIVE_252,171,0.05392798656578397,0.042021887643178206,0.3645801721332213,0.14791804570786735,0.5672514619883041,4,0.04549776998217171,1.185288566602619,0.2359033724832127,-0.035246003976160165,0.1431019771077281,171,0.007766249305014525,0.004174192047614614,0.049863679797517935,0.15574962250180954,0.5380116959064327,4,0.006329464601037282,1.2269994058805196,0.2198228142204347,-0.00463927335443973,0.02017177196446878,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,MARKET_VOLATILITY,HIGH,98,0.0375294938979908,0.04860526779744953,0.35693626410988816,0.10514340421974266,0.5816326530612245,4,0.05566993243685253,0.6741429754843195,0.5002204195309945,-0.0715815687000183,0.14664055649599989,100,0.005302356166059677,0.004133704303788744,0.03887027341551042,0.13641159940860811,0.53,4,0.006108543420029004,0.8680229968856472,0.38538174336606423,-0.006670168935196299,0.01727488126731565,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,MARKET_VOLATILITY,LOW,84,0.040305571191574886,0.007887978957240424,0.32331841846556875,0.12466215622005203,0.5357142857142857,4,0.06111007732276307,0.6595568678254862,0.5095382410720695,-0.07946797945349862,0.1600791218366484,84,0.004353268753263868,0.0018742796935112436,0.04800013109655692,0.09069285132798588,0.5238095238095238,4,0.009287054394152778,0.4687459089293942,0.6392512676204996,-0.013849023381740027,0.022555560888267764,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,RATES,FALLING,154,0.03982283388487244,0.01197141210891189,0.42587370113251627,0.09350855377773383,0.512987012987013,4,0.05560130768297052,0.7162211743640216,0.4738547904505369,-0.06915372666707999,0.14879939443682488,190,0.004186455951189302,0.004193618829557991,0.047124176299373745,0.0888388143825219,0.5210526315789473,4,0.005634717852019542,0.7429752582356599,0.45749665998244915,-0.006857388101813894,0.0152303000041925,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,RATES,RISING,132,0.08946152193380534,0.07463155732919904,0.39708383854152157,0.22529630584411378,0.6060606060606061,4,0.0510074489234579,1.7538913202275979,0.0794491311567195,-0.010511240899438487,0.18943428476704915,222,0.010411491293987827,0.007586715707156204,0.0405614267768893,0.25668454295892734,0.5900900900900901,4,0.004015177628025502,2.5930337978864877,0.009513342108016624,0.0025418877515268803,0.018281094836448776,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,RATES,UNCHANGED,1,0.13203207230629757,0.13203207230629757,,,1.0,0,0.0,,,0.13203207230629757,0.13203207230629757,1,0.03524014745991225,0.03524014745991225,,,1.0,0,0.0,,,0.03524014745991225,0.03524014745991225,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,CROSS_SECTIONAL_DISPERSION,HIGH,117,0.06809091837010166,0.047982568175047674,0.3884932976395437,0.17526922287673172,0.5555555555555556,4,0.050209922495400405,1.356124745588669,0.17505948070329458,-0.03031872138743061,0.16650055812763392,117,0.006536564134055104,0.0038347069822800006,0.04568331241527166,0.14308428589057323,0.5128205128205128,4,0.006746872997935777,0.968828690869827,0.33263066904246785,-0.006687063950164801,0.01976019221827501,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,CROSS_SECTIONAL_DISPERSION,LOW,129,0.06417433704519025,0.0469879566277098,0.4126036312261646,0.15553507576867087,0.5736434108527132,4,0.058078010503298264,1.1049678955780653,0.26917350051505706,-0.049656471835013316,0.17800514592539382,131,0.012710454800504407,0.005768180227936962,0.049473818460368496,0.256912750946973,0.5725190839694656,4,0.0067354853838973465,1.8870881719811217,0.05914846732488039,-0.0004908539703303311,0.025911763571339147,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
ABOVE_GBP_CASH_252,WEEKLY_WEDNESDAY,21,US_LEADERSHIP,BROADER_LEADERSHIP,97,0.16015472270024947,0.243781407332034,0.4225546306876105,0.3790154244425969,0.6494845360824743,4,0.06711918922015027,2.3861242151621287,0.01702699888828623,0.028603529157225915,0.291705916243273,196,0.014099236607843011,0.011735678417353838,0.04263654038635868,0.33068434915404116,0.6530612244897959,4,0.004867075311441494,2.896860168713355,0.0037691771332070334,0.004559944287373616,0.023638528928312405,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
