crossover_variant,observation_count,unique_family_count,probability_slow_top5_4w,probability_slow_top3_4w,probability_slow_top1_4w,probability_slow_top5_8w,probability_slow_top3_8w,probability_slow_top1_8w,mean_forward_return_4w,median_forward_return_4w,mean_forward_return_8w,warning
PRIMARY,150,20,0.7,0.4266666666666667,0.14,0.78,0.56,0.20666666666666667,0.0075716635730900695,0.01189931350114426,0.0011897974318895465,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
LOOSER,417,24,0.6546762589928058,0.42206235011990406,0.14388489208633093,0.750599520383693,0.5203836930455635,0.2278177458033573,0.009563326574855166,0.010884422558278706,0.010036059616990278,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
TIGHTER,66,15,0.7424242424242424,0.4696969696969697,0.12121212121212122,0.8181818181818182,0.5757575757575758,0.18181818181818182,-0.008155900034799034,-0.005353557885344196,-0.02453689473627251,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
