signal_id,from_breadth,to_breadth,marginal_change_latest5_net_cagr,marginal_change_latest5_net_excess_vs_equal_pool,marginal_change_latest5_maximum_drawdown,marginal_change_latest5_calmar_mar,marginal_change_latest5_ulcer_index,marginal_change_latest5_annualised_volatility,marginal_change_latest5_annual_turnover_traded_notional,warning
M1_EQUAL_5H,3,4,0.014869057875765312,0.014869057875765312,-0.00420400188683967,0.052154207699853516,-0.005504332501498316,-0.025197920180253186,-1.3443290923657223,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,4,5,0.0063732032019563345,0.0063732032019563345,0.012152194569375885,0.04068764728504132,-0.004903630627226874,-0.018060343818117996,-1.5499159868245744,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,5,6,0.008492605773167794,0.008492605773167794,-0.014056252437057104,0.013006428465315356,0.001974755907488135,-0.016194729971760025,-0.5967508196520583,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,6,7,0.012042256237936533,0.012042256237936533,0.016076043598969192,0.07219320717684369,-0.004915251091830025,-0.006242901183780264,-0.7022636780987259,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,7,8,0.013572905406203484,0.013572905406203484,0.025775128221033783,0.11176913516967063,-0.014423289942869053,-0.00824269113142545,-1.0379645467083964,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,8,9,-0.0034891737536475453,-0.0034891737536475453,0.014714130419818838,0.02240381237954603,-0.007562540890263494,-0.003429642300591368,-0.4300242011180435,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,9,10,-0.01763714071910427,-0.01763714071910427,0.003455947808260973,-0.07608161507683531,-0.002755443639973279,-0.0011818210457676115,-0.32521938716404275,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,3,4,0.013532984140311566,0.013532984140311566,-0.015417089590143762,0.03296475126008419,0.01676873626422716,-0.026415214518076907,-0.9572855878794719,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,4,5,0.03059783065668742,0.03059783065668742,-0.0042709620874751275,0.10334733939041718,0.0015885269404828095,-0.016763032453033955,-1.7121150205996791,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,5,6,0.008072100684145544,0.008072100684145544,0.041966858427950116,0.10623765090230664,-0.030057871209450027,-0.011727577423498281,-1.1776539033391948,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,6,7,0.009812034586049956,0.009812034586049956,0.01774262673444349,0.08557279369287674,-0.011800853251992455,-0.011311247832299226,-0.5588207727508276,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,7,8,0.01126205545418446,0.01126205545418446,0.022310876539374136,0.12368978837472233,-0.013102765202819264,-0.005275487007034063,-0.6346751871701022,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,8,9,-0.022875941074816497,-0.022875941074816497,-0.015480162397145225,-0.158090156733674,0.012954407345988198,-0.0030456335535202217,-0.08191715611161854,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,9,10,-0.018939230091439718,-0.018939230091439718,0.017971540703850986,-0.04330554527338171,-0.005561863380945789,-0.002143698731701449,-0.5878416367256039,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
