analysis_context_id,analysis_context_type,signal_id,weekly_date_count,mean_weekly_rank_autocorrelation,median_weekly_rank_autocorrelation,probability_top3_remains_top10_percent,probability_top5_remains_above_median,mean_absolute_percentile_rank_change,median_top3_duration_weeks,mean_top3_duration_weeks,top3_duration_run_count,warning
COUNTRY,ROLE_GROUP,DISCRETE_RECENT_CONSISTENCY,1373,0.7573696145124716,0.8285714285714287,,0.7251184834123223,0.12686945500633712,2.0,5.554285714285714,175,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,PAIRWISE_MAJORITY_5H,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RRG_TRANSPARENT_LEVEL,1373,0.878159633516747,0.942857142857143,,0.8,0.0835421888053467,4.0,11.133333333333333,45,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RRG_TRANSPARENT_MOMENTUM,1373,0.6322589441152454,0.6617647058823529,,0.7555555555555555,0.17070217917675545,2.0,10.461538461538462,39,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RS_21,1373,0.651581975071908,0.7714285714285715,,0.7083599234205488,0.16226908866995074,3.0,3.9432624113475176,423,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RS_42,1373,0.796746817538897,0.8928571428571429,,0.7331378299120235,0.10988341282458931,3.0,5.608695652173913,230,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RS_63,1373,0.8609410430839003,0.9285714285714288,,0.7472353870458136,0.08363208401231216,3.0,7.094890510948905,137,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RS_126,1373,0.8834693877551022,0.942857142857143,,0.7828571428571428,0.07644110275689224,5.0,11.928571428571429,42,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,ROLE_GROUP,RS_252,1373,,,,,,85.0,85.0,3,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,MH_LEVEL_EQ,1373,0.868562957123316,0.895490090834935,0.5366795366795367,0.9745075318655851,0.10247567065146794,2.0,3.7285714285714286,140,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,MH_LEVEL_RECENCY_TILT,1373,0.828106739257631,0.8637362637362638,0.5038610038610039,0.9606481481481481,0.11933580434860198,2.0,3.182926829268293,164,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,MH_LEVEL_60D_CENTERED,1373,0.8732645740892704,0.9032967032967033,0.5463320463320464,0.9803012746234068,0.10067198636336577,2.0,4.046511627906977,129,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,MH_LEVEL_3_6_12_REFERENCE,1373,0.9175815274187951,0.9422084623323013,0.5984555984555985,0.9802784222737819,0.07792786684516435,2.0,4.461538461538462,117,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,ACCEL_FAST_COMPOSITE,1373,0.6960098986569055,0.7452197377587869,0.46366782006920415,0.8898128898128899,0.1641587155101892,2.0,2.261421319796954,394,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,SHORT_MINUS_LONG_RS,1373,0.8173902016708207,0.8370663960514075,0.4912959381044487,0.9455388180764774,0.12441566975884634,2.0,2.9491525423728815,177,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,DISCRETE_RECENT_CONSISTENCY,1373,0.7724667117542772,0.8058823529411765,0.551270815074496,0.9400945874934314,0.13907847092858597,2.0,2.627450980392157,459,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,PAIRWISE_MAJORITY_5H,1373,0.8568076020000377,0.8852544132917965,0.5386100386100386,0.9664351851851852,0.10590163848665982,2.0,3.456953642384106,151,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RRG_TRANSPARENT_LEVEL,1373,0.889335302300533,0.9137696435753615,0.5772787318361955,0.9825673534072901,0.09172021488600282,2.0,3.4210526315789473,228,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RRG_TRANSPARENT_MOMENTUM,1373,0.6158864898715729,0.6697626418988648,0.3901345291479821,0.8538116591928251,0.1844999203605082,1.0,2.005813953488372,344,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RS_21,1373,0.67509779599255,0.7430830039525692,0.476361460203471,0.8885327635327636,0.1683141054305942,1.0,2.0638051044083525,862,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RS_42,1373,0.8229039906188064,0.85742518351214,0.5807142857142857,0.9489927132447492,0.11925316088116435,2.0,2.7476635514018692,535,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RS_63,1373,0.8591184133316319,0.8974025974025974,0.5950920245398773,0.9684376643871646,0.10336928804965527,2.0,3.0,402,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RS_126,1373,0.9212761399834201,0.9441176470588234,0.6108179419525066,0.9881329113924051,0.07411623036105763,2.0,3.979591836734694,196,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GEOGRAPHY,ROLE_GROUP,RS_252,1373,0.9601831444026188,0.9711042311661506,0.6274131274131274,0.9988425925925926,0.0489317952374693,3.0,7.352112676056338,71,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,ROLE_GROUP,MH_LEVEL_EQ,1373,,,,,,13.0,41.142857142857146,7,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
INDUSTRY,ROLE_GROUP,MH_LEVEL_RECENCY_TILT,1373,,,,,,13.0,41.142857142857146,7,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
