window_end_year,window_end_month,selected,pool,global,window_months,selected_minus_pool,selected_minus_global,warning
2023,9,0.49019217150254035,-0.015373433593182106,0.08349514563106664,24,0.5055656050957225,0.4066970258714737,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023,10,0.4126228380447745,-0.1015736013777443,0.017689417658107942,24,0.5141964394225188,0.39493342038666657,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023,11,0.4483676847129834,-0.045595863785373614,0.04962243797195076,24,0.493963548498357,0.3987452467410326,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023,12,0.5168943959747219,0.029490752102748097,0.07789855072463592,24,0.48740364387197377,0.43899584525008595,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,1,0.6500067714069433,0.05841003238096065,0.15952685421994617,24,0.5915967390259826,0.4904799171869971,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,2,0.7449844098215981,0.07974679887061642,0.22388059701492202,24,0.6652376109509817,0.5211038128066761,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,3,0.6113114790682483,0.07623032036262356,0.20012286899093512,24,0.5350811587056248,0.4111886100773132,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,4,0.5164100275918464,0.11129115803764855,0.2149101891591132,24,0.40511886955419785,0.3014998384327332,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,5,0.327084512238228,0.13758997857600797,0.25377006648289013,24,0.18949453366222002,0.07331444575533785,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,6,0.4757345216280593,0.2070152563888552,0.3810094097519219,24,0.2687192652392041,0.09472511187613741,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,7,0.3027982648428187,0.1573580512019157,0.2813894200127449,24,0.14544021364090298,0.02140884483007377,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,8,0.15022881308936142,0.07678538452928962,0.2621374527112208,24,0.0734434285600718,-0.11190863962185937,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,9,0.2874453050667294,0.16829907619102924,0.31625615763546433,24,0.11914622887570014,-0.028810852568734946,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,10,0.23218108034265272,0.19324356479820226,0.3224614395886851,24,0.03893751554445046,-0.0902803592460324,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,11,0.21392354046269824,0.18998188895590218,0.38726896112173015,24,0.023941651506796058,-0.1733454206590319,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,12,0.12579605599445398,0.18960519830603628,0.4240777338603394,24,-0.0638091423115823,-0.29828167786588544,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,1,0.06470516977938989,0.19213112104167407,0.4273086029992068,24,-0.12742595126228418,-0.3626034332198169,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,2,-0.10997648633576163,0.15935081644499371,0.3771527887501942,24,-0.26932730278075534,-0.4871292750859558,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,3,0.04285844824181462,0.10946498754925527,0.27919420837267594,24,-0.06660653930744065,-0.23633576013086133,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,4,0.18132311051524863,0.12875342665237133,0.24372253609541583,24,0.0525696838628773,-0.0623994255801672,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,5,-0.003916623377227868,0.19972156028434984,0.30742767787333736,24,-0.2036381836615777,-0.3113443012505652,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,6,-0.014939330569176179,0.22519021986120058,0.2954133977066984,24,-0.24012955043037676,-0.31035272827587457,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,7,0.0718597860423773,0.2492510046328289,0.3399291199054921,24,-0.1773912185904516,-0.2680693338631148,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,8,0.10212283175638226,0.3371978397038604,0.34661710037174664,24,-0.23507500794747815,-0.24449426861536439,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,9,0.3687164964529308,0.4417238355763944,0.39680406212664265,24,-0.07300733912346358,-0.028087565673711845,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,10,0.30507772116177434,0.6086796731357358,0.510229195508384,24,-0.30360195197396145,-0.20515147434660963,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,11,0.5261337395766319,0.504714788949598,0.43268242548818203,24,0.021418950627033917,0.09345131408844987,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,12,0.5860803024230481,0.4062861214717093,0.3641456582633056,24,0.1797941809513388,0.2219346441597425,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,1,0.954030819045564,0.5267015801597068,0.33912324234904934,24,0.42732923888585717,0.6149075766965146,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,2,1.1286960229672345,0.5222414470252195,0.3217126193001074,24,0.606454575942015,0.8069834036671271,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,3,0.5282779686997239,0.36267259110242533,0.2066803173790639,24,0.16560537759729854,0.32159765132066,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,4,0.694380753070418,0.4528274097759619,0.3219939814209083,24,0.2415533432944561,0.37238677164950973,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,5,1.0036355349561972,0.47932068332729627,0.3828246249353333,24,0.5243148516289009,0.6208109100208639,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,6,1.4653259991989689,0.4575563291374254,0.33411793855302263,24,1.0077696700615435,1.1312080606459463,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,7,1.0973993354388956,0.4049061546966959,0.31994528724197857,24,0.6924931807421997,0.777454048196917,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,8,1.1645051587789061,0.5299027532907767,0.3530660671912067,24,0.6346024054881294,0.8114390915876994,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
