calendar_year,market_pnl_contribution,transaction_cost_allocation,net_portfolio_pnl_contribution,excess_pnl_contribution_vs_global,excess_pnl_contribution_vs_equal_pool,share_of_total_net_portfolio_gain,partial_year,warning
2021,-0.0020929830058304955,0.007979441354200402,-0.010072424360030897,-0.06129678624057851,-0.049445397414551166,-0.005010678434029829,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022,0.25393787647380905,0.017318756234228256,0.23661912023958082,0.3476549656086292,0.3156100475891547,0.11770972712074469,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023,0.28510457270605793,0.011077715103005235,0.2740268576030527,0.04978919503820807,0.1585626180993673,0.13631876663031767,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024,-0.08475266746428733,0.03523305312113159,-0.11998572058541893,-0.39774893299765174,-0.2912912210850666,-0.05968869470140585,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025,1.0215701061854796,0.023309298013422065,0.9982608081720575,0.7674366329136144,0.5666873024283261,0.4965997980479818,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026,0.6528296608009696,0.021486569823624582,0.631343090977345,0.3470543098157428,0.3655035694914054,0.31407108133639144,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
