economic_exposure_family_id,rotation_role,rotation_pool,signal_horizon_sessions,old_valid_observations,old_first_valid_date,old_last_valid_date,a2r2_valid_observations,a2r2_first_valid_date,a2r2_last_valid_date,modern_coverage_restored,affected_by_old_defect,root_cause_family_code
CHINA_BROAD,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,63,1872,2013-07-29,2026-08-21,3444,2011-10-20,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_BROAD,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,126,1255,2013-10-25,2026-05-01,3319,2013-07-04,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_BROAD,COUNTRY_ROTATION,POOL_COUNTRY_CHINA_IMPLEMENTATIONS,252,844,2014-04-28,2017-08-25,3193,2014-01-02,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_INTERNET,THEME_ROTATION,POOL_CHINA_THEMES,21,1096,2020-11-03,2026-08-21,1461,2020-11-04,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_INTERNET,THEME_ROTATION,POOL_CHINA_THEMES,42,802,2020-12-02,2026-08-21,1440,2020-12-03,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_INTERNET,THEME_ROTATION,POOL_CHINA_THEMES,63,512,2021-03-29,2026-08-21,1419,2021-01-06,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_INTERNET,THEME_ROTATION,POOL_CHINA_THEMES,126,182,2022-07-06,2026-05-01,1356,2021-04-07,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
CHINA_INTERNET,THEME_ROTATION,POOL_CHINA_THEMES,252,0,,,1230,2021-10-05,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
DEVELOPED_ASIA_PACIFIC,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,21,2783,2011-08-19,2026-08-21,3616,2010-11-02,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
DEVELOPED_ASIA_PACIFIC,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,42,2270,2013-06-28,2026-08-21,3508,2011-05-04,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
DEVELOPED_ASIA_PACIFIC,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,63,1820,2013-07-29,2026-08-21,3439,2011-10-20,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
DEVELOPED_ASIA_PACIFIC,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,126,1213,2013-10-25,2026-05-01,3316,2013-07-04,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
DEVELOPED_ASIA_PACIFIC,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,252,844,2014-04-28,2017-08-25,3190,2014-01-02,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_ASIA,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,21,2742,2013-06-12,2026-08-21,3332,2013-06-13,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_ASIA,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,42,2262,2013-07-11,2026-08-21,3311,2013-07-12,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_ASIA,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,63,1821,2013-08-09,2026-08-21,3290,2013-08-12,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_ASIA,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,126,1204,2013-11-07,2026-05-01,3227,2013-11-08,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_ASIA,BROAD_GEOGRAPHY_ROTATION,POOL_REGIONAL_SATELLITES,252,835,2014-05-12,2017-08-25,3101,2014-05-13,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_MARKETS,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,21,2794,2013-01-31,2026-08-21,3445,2012-10-01,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_MARKETS,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,42,2321,2013-06-28,2026-08-21,3408,2012-12-05,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_MARKETS,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,63,1871,2013-07-29,2026-08-21,3378,2013-04-04,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_MARKETS,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,126,1255,2013-10-25,2026-05-01,3318,2013-07-04,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EMERGING_MARKETS,BROAD_GEOGRAPHY_ROTATION,POOL_BROAD_GEOGRAPHY_PRIMARY,252,844,2014-04-28,2017-08-25,3192,2014-01-02,2026-08-21,True,True,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
EUROPE_AEROSPACE_DEFENCE,THEME_ROTATION,POOL_EUROPE_THEMES,21,263,2022-02-02,2026-08-21,433,2021-10-18,2026-08-21,True,False,MASTER_CALENDAR_PLUS_STRICT_CONSECUTIVE_DAILY_RETURN_CHAIN
