grouping_dimension,grouping_value,observation_count,unique_family_count,probability_slow_top5_4w,probability_slow_top3_4w,probability_slow_top1_4w,probability_slow_top5_8w,probability_slow_top3_8w,probability_slow_top1_8w,mean_forward_return_4w,mean_forward_return_8w,warning
FAST_RANK_BAND,REMAINDER,7946,26,0.35112006040775234,0.20966524037251447,0.06166624716838661,0.41719103951673797,0.2762396174175686,0.09539390888497357,0.010971688470665927,0.021315371259567624,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_BAND,TOP_10PCT,353,24,0.7903682719546742,0.7138810198300283,0.3937677053824363,0.8243626062322946,0.7592067988668555,0.46458923512747874,0.01233255285042608,0.02046237913704824,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_BAND,TOP_20PCT,949,25,0.7112750263435195,0.5489989462592202,0.22655426765015807,0.7639620653319283,0.6195995785036881,0.291886195995785,0.010798668451709764,0.01832482045113198,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_RANK_BAND,TOP_5PCT,449,23,0.8307349665924276,0.755011135857461,0.5055679287305123,0.8530066815144766,0.7951002227171492,0.5634743875278396,0.004184747225669976,0.0056960503054329465,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_CHANGE_BAND,DETERIORATING,4623,26,0.40601341120484535,0.26865671641791045,0.09928617780661908,0.463768115942029,0.3287908284663638,0.13584252649794507,0.008912967577156658,0.020943623008772175,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_CHANGE_BAND,IMPROVING_10_TO_20PT,1229,26,0.43612693246541906,0.30349877949552484,0.11716842961757526,0.49877949552481693,0.38161106590724164,0.15378356387306755,0.008196707577598359,0.01830905438728352,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_CHANGE_BAND,IMPROVING_GT20PT,1840,26,0.4701086956521739,0.31521739130434784,0.12554347826086956,0.5532608695652174,0.39456521739130435,0.1766304347826087,0.014681750464379603,0.0202037110548231,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_CHANGE_BAND,STABLE_0_TO_10PT,2005,26,0.41845386533665835,0.2907730673316708,0.11820448877805487,0.4683291770573566,0.3456359102244389,0.1546134663341646,0.012674485044562873,0.019914802932572456,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_SLOW_GAP_BAND,APPROXIMATELY_ALIGNED,6359,26,0.41107092310111654,0.27866016669287624,0.11228180531530114,0.4681553703412486,0.3373171882371442,0.14389054882843214,0.00929997009254967,0.018152221118491185,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
FAST_SLOW_GAP_BAND,FAST_SUBSTANTIALLY_AHEAD,1657,24,0.3095956547978274,0.15992757996378998,0.04164152082076041,0.39891369945684974,0.24381412190706095,0.08569704284852142,0.012155514415998887,0.01912613773620701,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
