signal_id,mean_advantage_across_primary_cells,positive_cell_fraction,raw_p_le_0_10_count,fdr_q_le_0_10_count,bootstrap_positive_count,cell_count,support_sort_score
MH_LEVEL_60D_CENTERED,-0.0058717309153415624,0.15789473684210525,7,3,1,19,0.894736842105263
MH_LEVEL_EQ,-0.00636369722406969,0.15789473684210525,7,3,1,19,0.894736842105263
MH_LEVEL_3_6_12_REFERENCE,-0.0064101127253473646,0.15789473684210525,7,3,1,19,0.894736842105263
PAIRWISE_MAJORITY_5H,-0.006572311302371765,0.15789473684210525,7,3,1,19,0.894736842105263
SHORT_MINUS_LONG_RS,-0.005611564970827476,0.21052631578947367,7,2,1,19,0.8421052631578947
MH_LEVEL_RECENCY_TILT,-0.006263038728150425,0.15789473684210525,7,2,1,19,0.7894736842105263
ACCEL_FAST_COMPOSITE,-0.00298164469104206,0.45,3,0,0,20,0.6
DISCRETE_RECENT_CONSISTENCY,-6.202238720880262e-05,0.4,1,0,0,20,0.45
RRG_TRANSPARENT_LEVEL,-0.006641479757172469,0.0,3,0,0,20,0.15
