audit_scope,compared_observations,exact_matches,expected_differences,unexplained_differences,maximum_absolute_difference,audit_result
RETAINED_RAW_DAILY_PANEL_ROWS,704688,704688,0,0,0.0,PASS
EXTRANEOUS_NON_XLON_ROWS_REMOVED,29,0,29,0,,PASS
PRE_DEFECT_FORMATION_RETURN_21,61511,61496,15,0,0.022012152054401025,PASS
PRE_DEFECT_FORMATION_RETURN_42,57472,57446,26,0,0.030732517672848764,PASS
PRE_DEFECT_FORMATION_RETURN_63,54558,54543,15,0,0.031054475341474604,PASS
PRE_DEFECT_FORMATION_RETURN_126,47739,47739,0,0,2.5222879340702775e-15,PASS
PRE_DEFECT_FORMATION_RETURN_252,38289,38289,0,0,3.3306690738754696e-15,PASS
