analysis_context_id,baseline_signal_id,quality_feature,quality_tercile,forward_horizon_sessions,date_observation_count,mean_forward_return,median_forward_return,hac_t_statistic,hac_p_value,trend_quality_in_primary_signal,warning,tercile_3_mean,tercile_1_mean,tercile_3_minus_tercile_1
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LARGEST_3_DAY_MOVE_SHARE_63,2,63,595,0.02989762708378326,0.03111643351695692,3.881191693054936,0.00010394586658991667,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.027771148340250233,0.02963757125610195,-0.001866422915851717
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LARGEST_3_DAY_MOVE_SHARE_63,3,21,603,0.011012501821492849,0.011166954701430832,3.3869203384178777,0.0007068190814506024,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.011012501821492849,0.007819771962010278,0.0031927298594825702
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LARGEST_3_DAY_MOVE_SHARE_63,3,42,599,0.02070026108273013,0.020185820306500513,3.4802659118732007,0.0005009163469050016,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.02070026108273013,0.01677872844701966,0.003921532635710469
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LARGEST_3_DAY_MOVE_SHARE_63,3,63,595,0.027771148340250233,0.03182519395353974,3.3378754607594505,0.0008442157874370482,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.027771148340250233,0.02963757125610195,-0.001866422915851717
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,1,21,603,0.012199949084638203,0.012392080527450925,3.6464951516244444,0.00026584149147042236,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.005219073505018698,0.012199949084638203,-0.006980875579619504
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,1,42,599,0.021255681056353077,0.01922821997183627,3.6467820807917226,0.0002655449423858649,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.014511887999245174,0.021255681056353077,-0.006743793057107903
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,1,63,595,0.03028054036442779,0.030406889827790218,3.6160741951761777,0.0002991046786675341,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.025150693554050946,0.03028054036442779,-0.005129846810376846
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,2,21,603,0.01019252074748816,0.01414900841190773,3.2746208146412576,0.0010580388637682855,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.005219073505018698,0.012199949084638203,-0.006980875579619504
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,2,42,599,0.020093248261449943,0.017466015287482112,3.763899577083956,0.00016728408431380815,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.014511887999245174,0.021255681056353077,-0.006743793057107903
ALL_EQUITY_OPPORTUNITIES,MH_LEVEL_EQ,LOG_PRICE_R2_63,2,63,595,0.032040482035443144,0.03802206782064458,4.117240763207761,3.8343544908707425e-05,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.025150693554050946,0.03028054036442779,-0.005129846810376846
