module_id,exit_event_id,family,review_date,execution_date,action_type,from_weight,to_weight,risky_weight_reduced,counterfactual_end_date,reentry_review_date,xlon_sessions_until_reentry_or_cutoff,frozen_baseline_switch_review_date,frozen_baseline_switch_execution_proxy_date,selected_asset_return_if_held,actual_cash_return_on_reduced_capital,avoided_downside,foregone_upside,incremental_cost,net_exit_value,whipsaw_within_42_sessions,same_close_execution,warning
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_001,GLOBAL_CYBERSECURITY,2021-08-31,2021-09-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2021-10-01,,22,2021-09-30,2021-10-01,-0.033066444837266507,4.111110870108625e-05,0.0,0.0,0.0020159600000000002,-0.0020159600000000002,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_002,GLOBAL_OIL_GAS,2021-09-30,2021-10-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2021-12-01,2022-01-31,43,2021-11-30,2021-12-01,0.054962128568654345,8.1079479504087e-05,0.0,0.0,0.0040330782598870215,-0.0040330782598870215,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_003,GLOBAL_OIL_GAS,2021-11-19,2021-11-22,ABS_BELOW_EMA50,1.0,0.0,1.0,2021-12-01,2022-01-31,7,2021-11-30,2021-12-01,0.014000373343288963,1.140290728729454e-05,0.0,0.013988970436001669,0.0020159613268137043,-0.016004931762815373,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_004,GLOBAL_SEMICONDUCTORS,2021-11-30,2021-12-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-02-01,2023-03-31,41,2022-01-31,2022-02-01,-0.1295286535384509,0.0002680310887452908,0.0,0.0,0.002015993386859644,-0.002015993386859644,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_005,GLOBAL_SEMICONDUCTORS,2022-01-07,2022-01-10,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-02-01,2023-03-31,16,2022-01-31,2022-02-01,-0.05117287408959148,0.00011804473417331707,0.0512909188237648,0.0,0.0020174682529943005,0.0492734505707705,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_006,GLOBAL_OIL_GAS,2022-01-31,2022-02-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-08-01,2022-07-29,124,2022-08-31,2022-09-01,0.19776589049716642,0.00402061538273335,0.0,0.0,0.0020175014999228775,-0.0020175014999228775,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_007,GLOBAL_OIL_GAS,2022-06-17,2022-06-20,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-08-01,2022-07-29,30,2022-08-31,2022-09-01,0.02864477773273899,0.0013623619380036533,0.0,0.027282415794735337,0.002015060723298269,-0.029297476518033605,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_008,GLOBAL_OIL_GAS,2022-07-29,2022-08-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-09-01,2022-10-31,22,2022-08-31,2022-09-01,0.12741363457244126,0.0013839415398630983,0.0,0.0,0.0020150706012338356,-0.0020150706012338356,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_009,GLOBAL_OIL_GAS,2022-08-05,2022-08-08,ABS_BELOW_EMA50,1.0,0.0,1.0,2022-09-01,2022-10-31,17,2022-08-31,2022-09-01,0.13321890678637405,0.0011026303160823758,0.0,0.13211627647029167,0.002015178789024051,-0.13413145525931572,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_A_50EMA,EXIT_A_50EMA_EXIT_010,GLOBAL_INFRASTRUCTURE,2022-08-31,2022-09-01,MONTHLY_REENTRY_OR_SELECTION,0.0,1.0,0.0,2022-10-03,,21,2022-09-30,2022-10-03,-0.07661078372924779,0.001618652171676782,0.0,0.0,0.0020151926868453396,-0.0020151926868453396,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
