signal_id,forward_horizon_sessions,window_id,metric,observation_count,hac_maximum_lag_weeks,estimate,hac_standard_error,hac_z_statistic,raw_two_sided_p_value,warning,bh_q_value_within_window_metric
M1_EQUAL_5H,42,LATEST_5Y,top_quintile_advantage,251,9,-0.00015439346363286307,0.005580253449144192,-0.027667822804095292,0.9779270875562227,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9779270875562227
M1_EQUAL_5H,42,LATEST_5Y,rank1_advantage,251,9,0.002955409017075003,0.012376981878060555,0.23878268920420434,0.8112740940182681,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.99006917693114
M1_EQUAL_5H,42,LATEST_3Y,ic,148,9,0.09165780144257128,0.05501435725254568,1.6660705681211971,0.09569935982619482,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.12532790224822193
M1_EQUAL_5H,42,LATEST_3Y,top_quintile_advantage,148,9,0.0035969173962973806,0.0077689495099909555,0.46298632674490997,0.6433741679531206,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.6433741679531206
M1_EQUAL_5H,42,LATEST_3Y,rank1_advantage,148,9,0.00015410132804984512,0.015578155781517581,0.009892141933300977,0.9921073414003485,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9921073414003485
M1_EQUAL_5H,63,FULL_HISTORY,ic,617,13,0.03947880224530886,0.03192503374570903,1.236609569774225,0.21623206539451423,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5144777280777408
M1_EQUAL_5H,63,FULL_HISTORY,top_quintile_advantage,617,13,-0.0013616808174816406,0.00472428413351532,-0.28823008502420866,0.7731706209854252,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9585258752656376
M1_EQUAL_5H,63,FULL_HISTORY,rank1_advantage,617,13,0.003365514425391776,0.008284632172113667,0.4062358298441063,0.6845693300254918,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9540368020583583
M1_EQUAL_5H,63,POST_2020,ic,334,13,0.061568075722753905,0.04104017632350139,1.500190331480066,0.13356510702385926,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.2003476605357889
M1_EQUAL_5H,63,POST_2020,top_quintile_advantage,334,13,0.00528903853036023,0.00697986046380025,0.7577570580086588,0.44859643404573757,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.8149905825958204
M1_EQUAL_5H,63,POST_2020,rank1_advantage,334,13,0.012674507222110065,0.013845932319474286,0.9153957227050278,0.35998392304865723,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.938447166646006
M1_EQUAL_5H,63,LATEST_5Y,ic,247,13,0.06001905005343619,0.048352743500968666,1.2412749661709228,0.21450418929863968,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.34108297656467035
M1_EQUAL_5H,63,LATEST_5Y,top_quintile_advantage,247,13,0.005719755699485065,0.008786503615137409,0.6509706192610057,0.5150654530597452,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9148387489082973
M1_EQUAL_5H,63,LATEST_5Y,rank1_advantage,247,13,0.01123894743658763,0.01799411345075445,0.6245902287626406,0.5322400343840339,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.99006917693114
M1_EQUAL_5H,63,LATEST_3Y,ic,144,13,0.1013147537110633,0.06186264309388107,1.6377372295152468,0.10147652078532343,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.12532790224822193
M1_EQUAL_5H,63,LATEST_3Y,top_quintile_advantage,144,13,0.008148109257541454,0.013083737783784055,0.6227661691325086,0.5334381930074683,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.6001179671334018
M1_EQUAL_5H,63,LATEST_3Y,rank1_advantage,144,13,0.012863825668229224,0.025615978366288896,0.5021797521955381,0.6155410844120963,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9921073414003485
M2_INTERMEDIATE_5H,21,FULL_HISTORY,ic,628,5,0.024005529602035065,0.024422000538579684,0.982946895120786,0.3256335758425344,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5144777280777408
M2_INTERMEDIATE_5H,21,FULL_HISTORY,top_quintile_advantage,628,5,0.0007108974966446191,0.0021819638980864926,0.32580625979561434,0.7445709423077815,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9585258752656376
M2_INTERMEDIATE_5H,21,FULL_HISTORY,rank1_advantage,628,5,-0.0006181811917573729,0.004097597020635498,-0.150864320879826,0.8800827461021756,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9540368020583583
M2_INTERMEDIATE_5H,21,POST_2020,ic,342,5,0.05625114051365344,0.03100143660889029,1.8144688332773031,0.06960557682280144,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.2003476605357889
M2_INTERMEDIATE_5H,21,POST_2020,top_quintile_advantage,342,5,0.0027274375334305372,0.003355177556514522,0.812904082567808,0.416273053639461,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.8149905825958204
M2_INTERMEDIATE_5H,21,POST_2020,rank1_advantage,342,5,-0.0005160007212612946,0.006682067563540899,-0.07722171563734688,0.9384471666460061,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.938447166646006
M2_INTERMEDIATE_5H,21,LATEST_5Y,ic,255,5,0.0569575481810199,0.034246964416561484,1.6631415119956092,0.09628411201861442,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.34108297656467035
M2_INTERMEDIATE_5H,21,LATEST_5Y,top_quintile_advantage,255,5,0.0031101804432495136,0.0038187952161365087,0.8144402271447528,0.4153928014360231,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9148387489082973
M2_INTERMEDIATE_5H,21,LATEST_5Y,rank1_advantage,255,5,0.00010030700566264913,0.008058883353752676,0.012446762319241222,0.99006917693114,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.99006917693114
M2_INTERMEDIATE_5H,21,LATEST_3Y,ic,152,5,0.09975089032387484,0.044837086214340585,2.2247406945005888,0.026098650702612636,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.10889239843160792
M2_INTERMEDIATE_5H,21,LATEST_3Y,top_quintile_advantage,152,5,0.007270390272762894,0.005268367425985732,1.3800082046104776,0.1675841186728766,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5994172833460463
M2_INTERMEDIATE_5H,21,LATEST_3Y,rank1_advantage,152,5,-0.003861814593282578,0.01103450095792146,-0.34997637029613504,0.7263564313586441,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9921073414003485
M2_INTERMEDIATE_5H,42,FULL_HISTORY,ic,622,9,0.021993639531939408,0.031014990840083072,0.7091293254072262,0.4782442262551725,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.5641038604021074
M2_INTERMEDIATE_5H,42,FULL_HISTORY,top_quintile_advantage,622,9,-0.0005098965887657697,0.0035085540817942416,-0.14532955082881702,0.8844506842083366,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9585258752656376
M2_INTERMEDIATE_5H,42,FULL_HISTORY,rank1_advantage,622,9,0.0042895182460216804,0.006165937995357706,0.6956797569568864,0.4866294055609428,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.9540368020583583
M2_INTERMEDIATE_5H,42,POST_2020,ic,338,9,0.04421631145597831,0.038029533023222144,1.1626835235914759,0.2449579289367021,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.2918261105047919
M2_INTERMEDIATE_5H,42,POST_2020,top_quintile_advantage,338,9,0.0023360359254001864,0.005013351031817725,0.4659629677982461,0.6412420080385595,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.8244540103352908
M2_INTERMEDIATE_5H,42,POST_2020,rank1_advantage,338,9,0.0072610245466082374,0.010022043905963594,0.7245053618541405,0.4687555365818099,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.938447166646006
M2_INTERMEDIATE_5H,42,LATEST_5Y,ic,251,9,0.04276380882008101,0.04451325093040685,0.9606983971343508,0.33670383739452237,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",0.41383912750592433
