analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
ALL_EQUITY_OPPORTUNITIES,RS63_CENTRAL_63,RANK_RS_63,21,676,-0.0035206536899181273,-0.0035169960730694894,0.4541420118343195,-1.2057803534446723,0.22790219273197976,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_CENTRAL_63,RANK_RS_63,42,658,-0.004051596700725421,-0.006490568503971728,0.43465045592705165,-0.8174647215243634,0.4136629020818191,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_CENTRAL_63,RANK_RS_63,63,655,-0.0036069681488265248,-0.008953311305519684,0.44122137404580153,-0.45740491615838136,0.6473800314298741,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,10,685,-0.0004956385453639179,-0.0016188638685484813,0.46715328467153283,-0.3219038644450769,0.7475255254899025,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,21,680,0.0006292578692580663,-0.002442027292626825,0.4764705882352941,0.209683908070349,0.8339143858354522,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,42,665,-0.0005505995355126055,-0.005681897511077616,0.44511278195488724,-0.10568215700139008,0.9158345377109572,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,63,659,0.0011237140689858802,-0.009995702750504543,0.4324734446130501,0.1357481502096872,0.8920203816398597,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,10,642,-0.0010192919107737748,-0.0017301641433504211,0.45950155763239875,-0.6772164999339947,0.49826860042653764,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,21,638,-0.0023084069492883682,-0.004547865483381874,0.445141065830721,-0.7944334220523649,0.42694315363423396,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,42,623,-0.005506695588680879,-0.009068200790580017,0.4044943820224719,-1.1980277849933256,0.23090620033964737,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,63,617,-0.005564431173498763,-0.009806005688017483,0.42625607779578606,-0.8366027219905842,0.40281591505697956,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,10,641,-0.00012162637630909171,-0.0013436695150678135,0.46489859594383776,-0.08024710776687458,0.9360407243592771,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,21,636,-0.0022869550551972337,-0.004357070072207703,0.4481132075471698,-0.7774907887254789,0.4368692668896226,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,42,623,-0.005016831442806342,-0.005773487273837641,0.4317817014446228,-1.100455216011314,0.2711338319512041,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,63,621,-0.00464968630429478,-0.008953311305519684,0.43800322061191627,-0.7143521268055393,0.4750094667611203,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,10,643,-0.0013929112908732976,-0.0019565988210162866,0.4618973561430793,-0.886101380343546,0.37556289929316855,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,21,635,-0.002725930494554193,-0.00426491577801702,0.44251968503937006,-0.9136566042252762,0.3608973132909954,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,42,626,-0.0029331253296491517,-0.007844707851086319,0.42012779552715657,-0.6247386758407808,0.5321425848809864,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,63,620,-0.002540779310760728,-0.009452063349917272,0.4258064516129032,-0.35779458899902633,0.7204970402350939,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,10,640,-0.0007494529761920129,-0.0009298228837359424,0.4765625,-0.4803385265781368,0.6309866981725751,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,21,634,-0.001316154633003485,-0.0033214984603453512,0.47003154574132494,-0.44407248574299013,0.656990178259746,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,42,626,-0.0022545678476699194,-0.00614100515485716,0.426517571884984,-0.47909613956973873,0.6318702359528829,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_60D_NEIGHBOUR,63,623,-0.0018322515803058433,-0.008166725054018498,0.42857142857142855,-0.26081059078476293,0.7942385767786966,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
COUNTRY,RS42_NEIGHBOUR_32,RANK_RS_32,10,670,-0.0014231974683253808,-0.0017991590805699897,0.4701492537313433,-1.196999506704451,0.2313067470215937,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
