module_id,reduction_or_exit_events,whipsaw_count_42_sessions,whipsaw_rate,median_sessions_until_reentry,warning
EXIT_A_50EMA,19,15,0.7894736842105263,12.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_B_21_WARNING_50_FAILURE,42,30,0.7142857142857143,10.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_C_ABSOLUTE_AND_RELATIVE,18,14,0.7777777777777778,11.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EXIT_D_RELATIVE_ONLY,7,5,0.7142857142857143,5.0,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
