subperiod_id,subperiod_start,subperiod_end,analysis_context_id,signal_id,top_tail_definition,forward_horizon_sessions,observation_count,mean_advantage_vs_global,median_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,ci_low,ci_high,dynamic_membership,warning
FULL,,,COUNTRY,MH_LEVEL_EQ,TOP_3,21,80,-0.012739732499221395,-0.0021315748500593257,0.45,-1.686725082134873,0.09165622684036505,-0.02754322189747284,0.0020637568990300482,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_EQ,TOP_3,42,76,-0.019518737587675885,-0.011971270251230182,0.4473684210526316,-1.5456597290254608,0.1221867678747194,-0.04426934859030153,0.0052318734149497635,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_EQ,TOP_3,63,72,-0.022560001549355103,-0.011090153843226758,0.375,-1.554732719581608,0.12000973861548199,-0.0510001250323181,0.005880121933607898,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_RECENCY_TILT,TOP_3,10,83,-0.006878972451911508,-0.0008327907265516243,0.4939759036144578,-1.9373387488324243,0.05270394857787627,-0.013838281072830416,8.033616900740125e-05,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_RECENCY_TILT,TOP_3,21,80,-0.012739732499221395,-0.0021315748500593257,0.45,-1.686725082134873,0.09165622684036505,-0.02754322189747284,0.0020637568990300482,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_RECENCY_TILT,TOP_3,42,76,-0.019518737587675885,-0.011971270251230182,0.4473684210526316,-1.5456597290254608,0.1221867678747194,-0.04426934859030153,0.0052318734149497635,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,MH_LEVEL_RECENCY_TILT,TOP_3,63,72,-0.022560001549355103,-0.011090153843226758,0.375,-1.554732719581608,0.12000973861548199,-0.0510001250323181,0.005880121933607898,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,PAIRWISE_MAJORITY_5H,TOP_3,10,83,-0.006878972451911508,-0.0008327907265516243,0.4939759036144578,-1.9373387488324243,0.05270394857787627,-0.013838281072830416,8.033616900740125e-05,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,PAIRWISE_MAJORITY_5H,TOP_3,21,80,-0.012739732499221395,-0.0021315748500593257,0.45,-1.686725082134873,0.09165622684036505,-0.02754322189747284,0.0020637568990300482,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,PAIRWISE_MAJORITY_5H,TOP_3,42,76,-0.019518737587675885,-0.011971270251230182,0.4473684210526316,-1.5456597290254608,0.1221867678747194,-0.04426934859030153,0.0052318734149497635,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,PAIRWISE_MAJORITY_5H,TOP_3,63,72,-0.022560001549355103,-0.011090153843226758,0.375,-1.554732719581608,0.12000973861548199,-0.0510001250323181,0.005880121933607898,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,RRG_TRANSPARENT_LEVEL,TOP_3,10,147,-0.00037247670391578574,0.0012425931109412147,0.5238095238095238,-0.11518572340113443,0.908297914429165,-0.006710422963217044,0.005965469555385472,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,RRG_TRANSPARENT_LEVEL,TOP_3,21,127,-0.0036022923171200876,0.0014046145824802014,0.5118110236220472,-0.4691291222382281,0.6389773440241422,-0.01865222818478808,0.011447643550547905,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,RRG_TRANSPARENT_LEVEL,TOP_3,42,103,-0.007131811796186674,-0.005489286854663211,0.4854368932038835,-0.4368763150378783,0.6622010496626513,-0.039127353289050294,0.024863729696676946,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,RRG_TRANSPARENT_LEVEL,TOP_3,63,95,-0.010498581492492522,-0.006284468028612045,0.45263157894736844,-0.44269924465356003,0.6579832888771526,-0.056978989721214,0.03598182673622895,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,SHORT_MINUS_LONG_RS,TOP_3,10,83,-0.006878972451911508,-0.0008327907265516243,0.4939759036144578,-1.9373387488324243,0.05270394857787627,-0.013838281072830416,8.033616900740125e-05,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,SHORT_MINUS_LONG_RS,TOP_3,21,80,-0.012739732499221395,-0.0021315748500593257,0.45,-1.686725082134873,0.09165622684036505,-0.02754322189747284,0.0020637568990300482,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,SHORT_MINUS_LONG_RS,TOP_3,42,76,-0.019518737587675885,-0.011971270251230182,0.4473684210526316,-1.5456597290254608,0.1221867678747194,-0.04426934859030153,0.0052318734149497635,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
FULL,,,COUNTRY,SHORT_MINUS_LONG_RS,TOP_3,63,72,-0.0225600015493551,-0.011090153843226758,0.375,-1.5547327195816076,0.12000973861548209,-0.0510001250323181,0.005880121933607905,CONTEMPORANEOUS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
