selection_rule,weighting_method,friction_bps_one_way,fixed_fee_per_trade_leg_gbp,sleeve_size_gbp,net_cagr,maximum_drawdown,sharpe_zero_cash_hurdle,annual_turnover_traded_notional,trade_legs,total_transaction_cost_rate,warning
TOP_2,EQUAL,10,3.99,500000,0.2178059521030924,-0.3023358836893447,0.7356050748246252,9.75390301137643,168,0.04939681183854593,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,20,3.99,100000,0.2052112524330072,-0.30235239212027487,0.6933636128168764,9.75390301137643,168,0.10120683739931978,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,20,3.99,250000,0.20576319045575242,-0.3023440819637181,0.695225511263215,9.75390301137643,168,0.09892499946048958,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,20,3.99,500000,0.20594556330045877,-0.3023413406586213,0.6958406884656961,9.753903011376428,168,0.09817123637908312,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,40,3.99,100000,0.1816541658140629,-0.30236615028306857,0.6140001976352617,9.75390301137643,168,0.19937407010895772,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,40,3.99,250000,0.18230357597847502,-0.3023557770127292,0.6161994851735347,9.75390301137643,168,0.19664131337167326,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,EQUAL,40,3.99,500000,0.18251799756539433,-0.3023523587663962,0.6169256087277861,9.75390301137643,168,0.1957393136712517,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,10,3.99,100000,0.21712862372629127,-0.3023457794104131,0.7333258482011419,9.753903011376432,168,0.052172275657072456,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,10,3.99,250000,0.21763768877754486,-0.3023383391952269,0.7350388912042959,9.75390301137643,168,0.05008616792418318,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
TOP_2,RANK_DECAY,10,3.99,500000,0.21780595210309084,-0.30233588368934494,0.7356050748246199,9.753903011376428,168,0.04939681183854595,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
