signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,date_pair_count,mean_rank_autocorrelation,median_rank_autocorrelation,mean_signal_autocorrelation,average_absolute_rank_change,mean_top_bucket_membership_turnover,mean_top_bucket_duration_observations,median_top_bucket_duration_observations,top_bucket_duration_run_count,status
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8668014147714928,1.0,0.8701427225560912,0.03570459558478037,0.33789905475298737,4.377551020408164,2.5,98,TESTED
ABS_POS_252,ABSOLUTE_MOMENTUM_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7619182792803756,0.9001244091577962,0.7590053101686081,0.06427815733581264,0.5948773448773449,2.3333333333333335,2.0,39,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.7901953773855998,0.8774178985424035,0.7998460579105164,0.060767893374683996,0.4769072658607542,3.040160642570281,2.0,249,TESTED
ABOVE_GBP_CASH_126,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.5882144271645025,0.6404872774721395,0.6257746800578943,0.10932340553216013,0.6802179030120207,1.920353982300885,2.0,113,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8647106355707446,1.0,0.8675939614163981,0.0375194667500795,0.31334168755221387,4.8,3.0,95,TESTED
ABOVE_GBP_CASH_252,CASH_RELATIVE_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7509714743731681,0.8049943142717995,0.7462409502429429,0.0669330770399352,0.5294733044733045,2.638888888888889,2.0,36,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.8093445488003064,1.0,0.8240016932136831,0.04709255299807426,0.3791584677948314,3.8086956521739133,1.0,115,TESTED
TREND_MA_252,TOTAL_RETURN_TREND_QUALIFICATION,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.6438323509735961,0.6741998624632421,0.6975725655651802,0.08874501561842424,0.65570252792475,2.0,1.0,54,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,1372,0.9066940755037701,0.9428571428571428,0.9347956952661882,0.0736084832672717,0.29012437215562215,4.9109947643979055,2.0,382,TESTED
RISK_ADJ_MOM_126_VOL63,RISK_ADJUSTED_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,315,0.7322035737494625,0.8157894736842104,0.769308051716405,0.1397391520666412,0.5253845734977811,2.4510869565217392,2.0,184,TESTED
