candidate_id,pool_id,signal_id,horizons_sessions,horizon_weights,selection_rule,cadence,weighting,test_role,evidence_level,modifiable_in_a4
A4_PRIMARY,INDUSTRY_PLUS_THEME,MH_LEVEL_3_6_12_REFERENCE,63;126;252,0.3333333333333333;0.3333333333333333;0.3333333333333333,TOP_1,MONTHLY,EQUAL,PRIMARY_FALSIFICATION_TARGET,E2,NO
A4_NEIGHBOUR_1,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,63;126;252,0.3333333333333333;0.3333333333333333;0.3333333333333333,TOP_1,MONTHLY,EQUAL,FROZEN_STRUCTURAL_NEIGHBOUR,E2,NO
A4_NEIGHBOUR_2,INDUSTRY,PAIRWISE_MAJORITY_5H,21;42;63;126;252,EQUAL_PAIRWISE_MAJORITY,TOP_1,MONTHLY,EQUAL,FROZEN_STRUCTURAL_NEIGHBOUR,E2,NO
A4_CONCENTRATION_TOP2,INDUSTRY_PLUS_THEME,MH_LEVEL_3_6_12_REFERENCE,63;126;252,0.3333333333333333;0.3333333333333333;0.3333333333333333,TOP_2,MONTHLY,EQUAL,CONCENTRATION_CONTROL,E2,NO
A4_CONCENTRATION_TOP3,INDUSTRY_PLUS_THEME,MH_LEVEL_3_6_12_REFERENCE,63;126;252,0.3333333333333333;0.3333333333333333;0.3333333333333333,TOP_3,MONTHLY,EQUAL,CONCENTRATION_CONTROL,E2,NO
