signal_id,signal_family,criterion_1_top3_positive_3_of_4,criterion_2_top5_same_group,criterion_3_corrected_inference,criterion_4_neighbour_direction,criterion_5_subperiods,criterion_6_dependency,criterion_7_mature_only,criterion_8_persistence,criterion_9_correctness,criteria_passed,criteria_total,qualifying_group_ids,fdr_surviving_cell_count,classification,warning,coverage_status
ACCEL_FAST_COMPOSITE,RELATIVE_STRENGTH_ACCELERATION,True,True,True,False,True,False,False,True,True,6,9,COUNTRY,0,WEAK_OR_REGIME_DEPENDENT,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",SHORT_HORIZON_DIAGNOSTIC_ONLY
DISCRETE_RECENT_CONSISTENCY,DISCRETE_PERIOD_CONSISTENCY,True,True,True,False,True,False,False,True,True,6,9,COUNTRY,0,WEAK_OR_REGIME_DEPENDENT,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",SHORT_HORIZON_DIAGNOSTIC_ONLY
MH_LEVEL_3_6_12_REFERENCE,MULTI_HORIZON_LEVEL,True,False,True,True,False,False,False,True,True,5,9,NOT_ASSESSED_DUE_TO_COVERAGE,3,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
MH_LEVEL_60D_CENTERED,MULTI_HORIZON_LEVEL,True,False,True,True,False,False,False,True,True,5,9,NOT_ASSESSED_DUE_TO_COVERAGE,3,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
MH_LEVEL_EQ,MULTI_HORIZON_LEVEL,True,False,True,True,False,False,False,True,True,5,9,NOT_ASSESSED_DUE_TO_COVERAGE,3,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
MH_LEVEL_RECENCY_TILT,MULTI_HORIZON_LEVEL,True,False,True,True,False,False,False,True,True,5,9,NOT_ASSESSED_DUE_TO_COVERAGE,2,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
PAIRWISE_MAJORITY_5H,PAIRWISE_RELATIVE_STRENGTH,True,False,True,True,False,False,False,True,True,5,9,NOT_ASSESSED_DUE_TO_COVERAGE,3,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
RRG_TRANSPARENT_LEVEL,TRANSPARENT_RRG_LIKE_STATE,False,False,True,False,True,False,False,True,True,4,9,NONE,0,WEAK_OR_REGIME_DEPENDENT,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",SHORT_HORIZON_DIAGNOSTIC_ONLY
SHORT_MINUS_LONG_RS,RELATIVE_STRENGTH_ACCELERATION,True,False,True,False,False,False,False,True,True,4,9,NOT_ASSESSED_DUE_TO_COVERAGE,2,METHOD_BLOCKED,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",METHOD_BLOCKED_POST_2017_COVERAGE
