evaluation_id,signal_id,signal_family,signal_role,registry_class,universe_id,primary_decision_universe,cohort_id,ranking_mode,frequency_id,forward_horizon_sessions,authorised_family_count,scheduled_observation_dates,overlapping_forward_returns,historical_eligibility_warning,status,benchmark_id,top_rank_vs_cross_section_median_observations,top_rank_vs_cross_section_median_hit_rate,top_rank_vs_equal_weight_observations,top_rank_vs_equal_weight_hit_rate,top_rank_vs_benchmark_observations,top_rank_vs_benchmark_hit_rate
A3EVAL-D4656289CDB1C58F,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,1031,0.4510184287099903,1031,0.466537342386033,455,0.4725274725274725
A3EVAL-80A8B598BFD30E75,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,972,0.448559670781893,972,0.4732510288065844,407,0.47665847665847666
A3EVAL-28A3FF625DEDE455,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,919,0.4319912948857454,919,0.455930359085963,367,0.4604904632152589
A3EVAL-812D202571F25DC7,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,867,0.405997693194925,867,0.42675893886966554,331,0.44410876132930516
A3EVAL-42941C824437623A,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,126,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,745,0.4818791946308725,745,0.5275167785234899,241,0.4107883817427386
A3EVAL-F7A6D21112D0A9D5,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,1,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,244,0.45901639344262296,244,0.46311475409836067,112,0.42857142857142855
A3EVAL-0B25BD891ECC6072,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,5,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,238,0.5378151260504201,238,0.5546218487394958,106,0.5094339622641509
A3EVAL-B2D5AAA2BB5208F1,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,21,38,316,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,229,0.4672489082969432,229,0.47161572052401746,100,0.52
A3EVAL-0F01EAEAEF43DF69,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,42,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,215,0.4372093023255814,215,0.4790697674418605,89,0.48314606741573035
A3EVAL-87406158DDEB86C6,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,63,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,203,0.4187192118226601,203,0.4482758620689655,80,0.4125
A3EVAL-8961302D1625FA13,MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,MONTH_END,126,38,316,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,173,0.5317919075144508,173,0.5606936416184971,55,0.45454545454545453
A3EVAL-760FE287B4FECF7F,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,1,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,920,0.4315217391304348,920,0.4489130434782609,369,0.4959349593495935
A3EVAL-E9246792F84B84D6,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,5,38,1373,False,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,907,0.4288864388092613,907,0.4531422271223815,360,0.4777777777777778
A3EVAL-E8C33AF0EAF402A4,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,21,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,864,0.4050925925925926,864,0.43287037037037035,329,0.44680851063829785
A3EVAL-037741AD9CE00AE1,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,42,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,816,0.4375,816,0.46691176470588236,291,0.47766323024054985
A3EVAL-61DF9B9A441EA24B,MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,CONTINUOUS_RANK,PRIMARY,CORE,True,GLOBAL,GLOBAL,WEEKLY_WEDNESDAY,63,38,1373,True,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,TESTED,GLOBAL_ALL_WORLD,791,0.43994943109987356,791,0.45764854614412137,273,0.45787545787545786
