signal_id,signal_family,registry_class,universe_id,cohort_id,frequency_id,authorised_family_count,historical_eligibility_warning,persistence_horizon_sessions,date_pair_count,rank_autocorrelation_mean,rank_autocorrelation_median,rank_autocorrelation_valid_dates,mean_comparable_family_count,leader_observation_count,probability_leader_remains_above_median,probability_leader_remains_top_bucket,average_signed_rank_change,average_absolute_rank_change,status
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.7327446738994977,0.8253246753246753,112,5.920382165605096,389,0.87146529562982,0.699228791773779,-0.0013989705110146813,0.1384052279176756,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.5470773962002499,0.6171873274273088,102,5.2300319488817895,340,0.7970588235294118,0.6,-0.0018995921611165833,0.18570717069632858,TESTED
MOM_126,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.38250980451203437,0.505898338323358,92,4.55448717948718,292,0.708904109589041,0.5068493150684932,-0.0031687335639147044,0.21993525883878806,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.8737190171446793,0.921516778078688,338,4.097881665449233,1097,0.9416590701914311,0.8067456700091158,-0.0004615160435014412,0.08424716810004305,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.7859373310180817,0.8692827589798797,330,4.016849816849817,1074,0.9068901303538175,0.7355679702048417,-0.00027608596871937715,0.11927216141464914,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.681320737841442,0.7585807696314767,321,3.925,1049,0.8570066730219257,0.67302192564347,0.0009140884753931936,0.14498092742218624,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.8786173981729076,0.9112487100103199,78,4.089171974522293,249,0.9437751004016064,0.8112449799196787,-0.0010945025135514412,0.09024017278064471,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.7936385528605678,0.866759715404943,76,4.003194888178914,244,0.9098360655737705,0.7377049180327869,-0.0005144810947108345,0.11619624068743087,TESTED
MOM_252,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.6831754902512894,0.7574171661743969,74,3.9166666666666665,239,0.8535564853556485,0.6485355648535565,-7.781743174667409e-06,0.1462445335954986,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.8729681510118835,0.9101001319110518,338,4.097881665449233,1099,0.9408553230209281,0.8043676069153776,-0.0009989883110775152,0.08904952070011424,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.7723787834613669,0.8441331911035839,330,4.016849816849817,1078,0.885899814471243,0.7207792207792207,-0.000634251006806991,0.12212132695904943,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,1360,0.6682061040622285,0.7578947368421052,321,3.925,1052,0.8393536121673004,0.6492395437262357,0.0003296773273150366,0.14871830554503823,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,314,0.8836658197043138,0.9269339356295876,78,4.089171974522293,250,0.952,0.804,-0.0010501838326192365,0.08877161248964004,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,313,0.774763865584202,0.8460024742162311,76,4.003194888178914,245,0.8979591836734694,0.7306122448979592,-0.0015119870977268327,0.12284076042541794,TESTED
MOM_12_1,TWELVE_MINUS_ONE_MOMENTUM,PRIMARY,CORE,GLOBAL,MONTH_END,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,63,312,0.6709007355112488,0.78163389757817,74,3.9166666666666665,240,0.85,0.6458333333333334,-0.00046135367095778153,0.1524394204701826,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,21,1369,0.47195267227273585,0.5411914172783737,474,5.591672753834916,1593,0.7627118644067796,0.5392341494036409,6.412667234706079e-05,0.2136915585838175,TESTED
MULTI_Z_21_63_126,MULTI_HORIZON_RELATIVE_STRENGTH,PRIMARY,CORE,GLOBAL,WEEKLY_WEDNESDAY,38,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED,42,1365,0.3868616320860506,0.42857142857142855,425,4.819047619047619,1347,0.718634001484781,0.48478099480326653,-0.00046721061301902125,0.23328378696205992,TESTED
