module_id,date,normalised_value,drawdown
A4_BASELINE_MONTHLY,2021-09-01,1.0,0.0
A4_BASELINE_MONTHLY,2021-09-02,1.0091504627222627,0.0
A4_BASELINE_MONTHLY,2021-09-03,1.0133097639596549,0.0
A4_BASELINE_MONTHLY,2021-09-06,1.0219403140272438,0.0
A4_BASELINE_MONTHLY,2021-09-07,1.0106062181553503,-0.011090761090761014
A4_BASELINE_MONTHLY,2021-09-08,1.0056150566704798,-0.015974765974765992
A4_BASELINE_MONTHLY,2021-09-09,1.0020796506186966,-0.01943426943426929
A4_BASELINE_MONTHLY,2021-09-10,0.9912654674014773,-0.03001628001627976
A4_BASELINE_MONTHLY,2021-09-13,0.9739003847353651,-0.04700854700854673
A4_BASELINE_MONTHLY,2021-09-14,0.9836747426432367,-0.037444037444037015
A4_BASELINE_MONTHLY,2021-09-15,0.9792034938130402,-0.04181929181929145
A4_BASELINE_MONTHLY,2021-09-16,0.987730061349694,-0.03347578347578317
A4_BASELINE_MONTHLY,2021-09-17,0.987730061349694,-0.03347578347578317
A4_BASELINE_MONTHLY,2021-09-20,0.9789955287511706,-0.04202279202279169
A4_BASELINE_MONTHLY,2021-09-21,0.9805552667151927,-0.04049654049654006
A4_BASELINE_MONTHLY,2021-09-22,0.9858583757928676,-0.035307285307284886
A4_BASELINE_MONTHLY,2021-09-23,0.9897057294374556,-0.03154253154253084
A4_BASELINE_MONTHLY,2021-09-24,0.9940729957367175,-0.02726902726902647
A4_BASELINE_MONTHLY,2021-09-27,0.9832588125194978,-0.03785103785103727
A4_BASELINE_MONTHLY,2021-09-28,0.9683893105958209,-0.05240130240130181
A4_BASELINE_MONTHLY,2021-09-29,0.9740043672663001,-0.046906796906796444
A4_BASELINE_MONTHLY,2021-09-30,0.9728605594260175,-0.048026048026047374
A4_BASELINE_MONTHLY,2021-10-01,0.9630338364626514,-0.057641798406459666
A4_BASELINE_MONTHLY,2021-10-04,1.0026848703197269,-0.018842043359298954
A4_BASELINE_MONTHLY,2021-10-05,1.0191437900339846,-0.0027364846604776005
A4_BASELINE_MONTHLY,2021-10-06,0.9937072777483136,-0.027626893558656107
A4_BASELINE_MONTHLY,2021-10-07,1.0049292684625803,-0.016645830809459583
A4_BASELINE_MONTHLY,2021-10-08,1.0357897429268135,0.0
A4_BASELINE_MONTHLY,2021-10-11,1.0571115252839203,0.0
A4_BASELINE_MONTHLY,2021-10-12,1.036350842462527,-0.019639065817409707
A4_BASELINE_MONTHLY,2021-10-13,1.0249418185696892,-0.030431705590941216
A4_BASELINE_MONTHLY,2021-10-14,1.030739847105394,-0.024946921443736447
A4_BASELINE_MONTHLY,2021-10-15,1.0436451364268005,-0.012738853503184489
