analysis_context_id,analysis_context_type,signal_id,maturity_scope,top_tail_definition,forward_horizon_sessions,observation_frequency,aggregation,portfolio_weighting_optimised,warning,first_signal_date,last_signal_date,mean_signal_cohort_count,minimum_signal_cohort_count,maximum_signal_cohort_count,mean_selected_count,top_return_observation_count,top_return_mean,top_return_median,top_return_positive_frequency,top_return_hac_standard_error,top_return_hac_t_statistic,top_return_hac_p_value,top_return_ci_low,top_return_ci_high,advantage_vs_median_observation_count,advantage_vs_median_mean,advantage_vs_median_median,advantage_vs_median_positive_frequency,advantage_vs_median_hac_standard_error,advantage_vs_median_hac_t_statistic,advantage_vs_median_hac_p_value,advantage_vs_median_ci_low,advantage_vs_median_ci_high,advantage_vs_equal_pool_observation_count,advantage_vs_equal_pool_mean,advantage_vs_equal_pool_median,advantage_vs_equal_pool_positive_frequency,advantage_vs_equal_pool_hac_standard_error,advantage_vs_equal_pool_hac_t_statistic,advantage_vs_equal_pool_hac_p_value,advantage_vs_equal_pool_ci_low,advantage_vs_equal_pool_ci_high,advantage_vs_global_observation_count,advantage_vs_global_mean,advantage_vs_global_median,advantage_vs_global_positive_frequency,advantage_vs_global_hac_standard_error,advantage_vs_global_hac_t_statistic,advantage_vs_global_hac_p_value,advantage_vs_global_ci_low,advantage_vs_global_ci_high,advantage_vs_parent_observation_count,advantage_vs_parent_mean,advantage_vs_parent_median,advantage_vs_parent_positive_frequency,advantage_vs_parent_hac_standard_error,advantage_vs_parent_hac_t_statistic,advantage_vs_parent_hac_p_value,advantage_vs_parent_ci_low,advantage_vs_parent_ci_high,primary_fdr_family,advantage_vs_global_bh_q_value,bootstrap_count,bootstrap_block_length,bootstrap_replications,advantage_vs_global_bootstrap_ci_low,advantage_vs_global_bootstrap_ci_high,formal_inference_minimum_date_observations,formal_inference_eligible
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,5,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-08-18,30.34302325581396,16,41,1.0,172,0.0043983529573654,0.0043696128516215,0.5697674418604651,0.0022274801075515,1.9745868627307968,0.0483150511215053,3.257217028502981e-05,0.0087641337444459,172,0.0018399979243248,0.0,0.4941860465116279,0.0017143674763205,1.073280932903572,0.2831450874784444,-0.0015201005855301,0.0052000964341798,172,0.0018486853101112,0.0003045671701332,0.5116279069767442,0.0016745278173219,1.1040039412828897,0.2695914280122155,-0.0014333289029502,0.0051306995231727,172,0.0012829284305248,9.617988986720948e-05,0.5058139534883721,0.0016895983182781,0.7593097226991967,0.4476673027661701,-0.0020286234216398,0.0045944802826895,171,0.0001525685077624,-0.0001889543993884,0.4970760233918128,0.0014510692832879,0.1051421248589806,0.9162630337252148,-0.0026914750265541,0.0029966120420791,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,10,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-08-11,30.3,16,41,1.0,170,0.0051328488621982,0.0039636647705841,0.5529411764705883,0.0038936759813178,1.3182526966357828,0.1874190702812205,-0.0024986158286533,0.0127643135530498,170,0.0006216631841197,0.0,0.4941176470588235,0.0031175979575109,0.1994045391972601,0.8419463100189725,-0.0054887165308773,0.0067320428991169,170,0.000551150864456,-0.0011278871757338,0.488235294117647,0.0030618465100482,0.1800060397042379,0.8571478266526517,-0.0054499580214281,0.0065522597503401,170,-0.0007274460347862,0.0002182509925952,0.5058823529411764,0.0030859726148029,-0.2357266656537359,0.8136447767040063,-0.0067758412170768,0.0053209491475043,170,-0.0016430668495144,-0.002381682519804,0.4411764705882353,0.0026148943712037,-0.6283492242014045,0.5297751919560021,-0.0067681656404503,0.0034820319414213,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,21,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-07-21,30.2874251497006,16,41,1.0,167,0.0068353998789901,0.0073402011182335,0.5389221556886228,0.0070496010923872,0.9696151299073632,0.3322383684755138,-0.0069815643674631,0.0206523641254435,167,-0.0024801021339486,-0.0016594789801359,0.4491017964071856,0.0056556526071599,-0.4385174101409352,0.6610112522518143,-0.0135649775530521,0.0086047732851549,167,-0.0018375722682073,-0.0024593039675048,0.4790419161676646,0.0053602538167645,-0.3428144134630803,0.7317380819428017,-0.0123434766970591,0.0086683321606444,167,-0.0042028546420399,-0.0037583346238706,0.437125748502994,0.0058856025741106,-0.7140907985407142,0.4751710353633024,-0.015738423714613,0.0073327144305331,164,-0.0038898118802785,-0.0061099259797702,0.3902439024390244,0.004696094899982,-0.8283077670115622,0.4074962252872369,-0.0130939887522256,0.0053143649916685,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,42,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-06-23,30.26993865030675,16,41,1.0,163,0.0129168875055294,0.0160253588095444,0.6196319018404908,0.012567373420496,1.0278112277990687,0.304038633731206,-0.0117147117789087,0.0375484867899676,163,-0.0073831993957519,-0.0061362979716595,0.3987730061349693,0.0086310057033929,-0.8554274727045449,0.3923145399734182,-0.0242996597247619,0.009533260933258,163,-0.0055200029056282,-0.0058465285642971,0.4539877300613497,0.0077473538088109,-0.712501718890185,0.4761541474225035,-0.0207045373463868,0.0096645315351304,163,-0.0111580331725873,-0.0088993043993265,0.3926380368098159,0.0093956013353514,-1.1875805256449867,0.2349987140249256,-0.0295730734029725,0.0072570070577978,156,-0.0043002298981176,-0.0066095548954561,0.4230769230769231,0.0063987218624437,-0.6720451350381657,0.5015549629165823,-0.0168414942955965,0.0082410344993611,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,63,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-05-26,30.251572327044027,16,41,1.0,159,0.0163699455934456,0.0200740022348951,0.6415094339622641,0.0201930500206109,0.8106722648008559,0.4175539049621084,-0.0232077051849676,0.0559475963718588,159,-0.0139329755171658,-0.0130344511739467,0.4088050314465409,0.011510464688011,-1.2104616012312712,0.2261018165834293,-0.0364930717509876,0.0086271207166558,159,-0.0119209721060824,-0.013490322935821,0.4150943396226415,0.010338679406637,-1.1530459198134777,0.248891537113429,-0.032184411390797,0.008342467178632,159,-0.0212269754426019,-0.0207399384108699,0.3270440251572327,0.0125824992571708,-1.6870237787222233,0.0915987797542669,-0.0458882208221589,0.0034342699369549,149,-0.0093265356673236,-0.0111175655078821,0.436241610738255,0.0066443497396847,-1.4036792211010538,0.1604143927113765,-0.0223492218577938,0.0036961505231465,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,RANK_1,126,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-02-24,30.18493150684932,16,41,1.0,146,0.0224893281412812,0.0287450804741144,0.636986301369863,0.0390780199696956,0.5754981485428715,0.5649544424550771,-0.0541021835864592,0.0990808398690217,146,-0.0371730230086949,-0.014680531111679,0.3904109589041096,0.0148802649898502,-2.4981425420884995,0.0124845981972855,-0.0663378064692135,-0.0080082395481762,146,-0.0332566906362502,-0.0147881373471779,0.3424657534246575,0.0134495855592898,-2.4726925963364925,0.0134099435337703,-0.0596173939394483,-0.0068959873330521,146,-0.0541007070254501,-0.0382185863310517,0.2602739726027397,0.0178214474140162,-3.035707805803756,0.0023997179527327,-0.0890301021092963,-0.0191713119416039,133,-0.0278652355609888,-0.0147185673310444,0.4060150375939849,0.012489543253469,-2.231085236303503,0.0256754835046087,-0.0523442905211434,-0.0033861806008342,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,TOP_10_PERCENT,5,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-08-18,30.24117647058824,16,41,3.5352941176470587,170,0.0022541211114951,0.0026547833602246,0.5705882352941176,0.0016886116078723,1.3348961365576228,0.1819103424364619,-0.0010554968238109,0.0055637390468012,170,1.0492274935070644e-06,0.0010458938178811,0.5647058823529412,0.0009738930769481,0.0010773538885757,0.9991403961320736,-0.0019077461281177,0.0019098445831047,170,1.2083739451430793e-05,0.000786096804997,0.5411764705882353,0.0009347668335182,0.0129270091943152,0.9896860262044764,-0.0018200255881868,0.0018441930670896,170,-0.0005750150008112,-0.0004907688002991,0.488235294117647,0.0010299309498783,-0.5583044192226523,0.5766365277667158,-0.0025936425691358,0.0014436125675133,162,0.0001482499955298,0.0004993974280409,0.5432098765432098,0.0007867461197016,0.1884343523499425,0.8505361727222128,-0.001393744064062,0.0016902440551216,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,TOP_10_PERCENT,10,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-08-11,30.09036144578313,16,41,3.5180722891566263,166,0.0037324950609928,0.0053125098007531,0.5843373493975904,0.0026634393065215,1.40138168414563,0.1610999663825592,-0.0014877500547977,0.0089527401767834,166,2.4706214736957308e-05,-0.0008503203941035,0.4819277108433735,0.0015157210608093,0.0162999745637666,0.986995077834472,-0.0029460524750581,0.002995464904532,166,-0.000105838502196,0.0003338185687297,0.5060240963855421,0.001470328881108,-0.0719828764543443,0.9426155351062055,-0.0029876301545969,0.0027759531502048,166,-0.001282755163254,-0.0026414968557222,0.4337349397590361,0.0015763591591702,-0.8137454943511742,0.4157907657546519,-0.0043723623419276,0.0018068520154195,159,-0.0001821813506254,-0.0015220203595894,0.4654088050314465,0.0013036206864838,-0.1397502759156245,0.8888573017037752,-0.0027372309456352,0.0023728682443843,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,TOP_10_PERCENT,21,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-07-21,29.803797468354432,16,38,3.481012658227848,158,0.0064676681367977,0.008619428988265,0.6139240506329114,0.0050906691014261,1.2704947047109842,0.2039084678853242,-0.0035098599592084,0.0164451962328039,158,-0.0002261631760147,0.0009129012805505,0.5316455696202531,0.0027851020045281,-0.0812046293626066,0.9352792179784674,-0.0056848627981603,0.0052325364461308,158,0.0004183701635587,0.0003601781378993,0.5063291139240507,0.0025883410594154,0.1616364126500641,0.8715921811939842,-0.0046546850926016,0.0054914254197192,158,-0.0019615703623805,-0.0017868230985114,0.4746835443037974,0.0031280352685782,-0.6270934289280322,0.5305979942209117,-0.008092406831165,0.0041692661064039,152,-0.0004775850892868,-0.0010608001115558,0.4671052631578947,0.0024830398290788,-0.1923388757980582,0.8474767683627066,-0.0053442537264598,0.0043890835478862,NO,,,,,,,24,NO
ALL_EQUITY_OPPORTUNITIES,ALL_EQUITY,MH_LEVEL_EQ,FULL_DYNAMIC,TOP_10_PERCENT,42,WEEKLY_LAST_ELIGIBLE_XLON_SESSION,EQUAL_WEIGHT_SIGNAL_DIAGNOSTIC_ONLY,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",2014-05-02,2017-06-23,29.60927152317881,16,38,3.456953642384106,151,0.0132376624295989,0.0170974125709948,0.6490066225165563,0.0093172892539687,1.4207632787573103,0.1553855894374843,-0.0050238889417219,0.0314992138009197,151,-0.0020882603016951,-0.0042432153366462,0.423841059602649,0.0045196234442271,-0.4620429837716754,0.6440504962713118,-0.0109465594760632,0.006770038872673,151,-4.824402984656056e-05,-0.002638053792988,0.4503311258278146,0.0039650307268148,-0.0121673785578242,0.9902920760389564,-0.0078195614519982,0.0077230733923051,151,-0.0061266585786068,-0.0052167519195501,0.4105960264900662,0.0055643085167247,-1.1010637818143612,0.2708688986873535,-0.0170325028702568,0.0047791857130432,144,-0.0007208693647554,-0.0014273077626118,0.4583333333333333,0.0034989215963208,-0.2060261554627109,0.8367704804550602,-0.0075786296782737,0.0061368909487628,NO,,,,,,,24,NO
