module_id,starter_episode_count,emerging_to_confirming_conversion_rate,emerging_to_slow_leader_conversion_rate,false_start_rate,mean_time_saved_calendar_days,warning
SCALE_IN_STARTER_A_MONTHLY,4,0.25,0.0,0.75,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_A_WEEKLY,14,0.35714285714285715,0.0,0.9285714285714286,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_MONTHLY,2,0.0,0.0,0.5,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
SCALE_IN_STARTER_B_WEEKLY,5,0.2,0.0,0.6,,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
