signal_id,signal_family,registry_class,cohort_id,frequency_id,forward_horizon_sessions,primary_ic_mean,all_ready_ic_mean,experimental_only_ic_mean,ic_mean_change_with_experimental,primary_spread_mean,all_ready_spread_mean,experimental_only_spread_mean,spread_mean_change_with_experimental,primary_monotonicity,all_ready_monotonicity,experimental_effect,primary_decision_affected,primary_status,all_ready_status,experimental_only_status,historical_eligibility_warning
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,1,-0.017988897302160984,-0.0029360303557265733,0.01782486960924502,0.015052866946434412,-0.0008481684314104115,-0.0006326756390149084,-0.00011349030449455542,0.00021549279239550302,0.4959807073954984,0.4915014164305949,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,5,-0.0012365668258337457,0.006609664403734217,0.06886266630839068,0.007846231229567964,-0.0005654408995381952,-0.0006068611192898592,0.003445181301071949,-4.142021975166404e-05,0.5069901315789473,0.5057803468208093,DESTABILISES,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,21,-0.022786000186687576,0.002626715165408178,0.021517726218018212,0.025412715352095754,-0.0009918515428756526,-0.0017483771654160877,0.0031116855189680997,-0.0007565256225404351,0.5026595744680851,0.5,DESTABILISES,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,42,-0.05655432280978285,-0.025724604860504388,-0.032251131981696636,0.03082971794927846,-0.0025184750602396484,-0.00020892209350820837,0.0045637888052834745,0.00230955296673144,0.47264150943396227,0.48155737704918034,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,63,-0.05408361922866138,-0.021051475192290357,0.008813839974039435,0.033032144036371024,-0.0031946880423472665,0.00316074725903172,0.034829977054033304,0.006355435301378986,0.4702020202020202,0.4868189806678383,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,WEEKLY_WEDNESDAY,126,0.0033675042805947778,0.047986416156351186,,0.04461891187575641,0.008941131371902908,0.020783356761546256,,0.011842225389643348,0.5127427184466019,0.54,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,1,-0.02956146699459272,-0.0017319719011421929,0.0014726749891327523,0.027829495093450524,-0.0008981339330429986,-0.001193472043272529,-0.004915571686602963,-0.0002953381102295303,0.4931506849315068,0.5030120481927711,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,5,0.04074408807648973,0.06428545233641325,0.023965398663988852,0.023541364259923522,0.0007952806791709815,0.0008142517291721688,0.0005277207880395495,1.8971050001187332e-05,0.5071428571428571,0.50625,STRENGTHENS,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,21,-0.024673674882225997,0.00019853847694150246,0.09616532713237082,0.0248722133591675,-0.00033250180518226534,-0.00022990496902962207,0.015156789843868337,0.00010259683615264326,0.5018656716417911,0.5064935064935064,DESTABILISES,False,TESTED,TESTED,TESTED,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
MOM_63,SIMPLE_TOTAL_RETURN_MOMENTUM,PRIMARY,GLOBAL,MONTH_END,42,-0.03492330406811136,-0.018464399898235843,0.06744161114697841,0.016458904169875516,0.0008969701955779551,0.002834622521268641,0.029240761371198028,0.0019376523256906858,0.484,0.4756944444444444,STRENGTHENS,False,TESTED,TESTED,INSUFFICIENT_DATE_OBSERVATIONS,HISTORICAL ELIGIBILITY REMAINS UNRESOLVED
