analysis_context_id,robustness_variant_id,score_column,forward_horizon_sessions,observation_count,mean_top3_advantage_vs_global,median_top3_advantage_vs_global,positive_frequency,hac_t_statistic,hac_p_value,neighbourhood_not_optimisation_grid,warning
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,10,321,-0.0013753300594835998,-0.002470617876034531,0.4423676012461059,-0.6402558921916703,0.522006251219042,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,21,290,-0.003771763904955704,-0.004525330813697215,0.4413793103448276,-0.8609519503848633,0.38926450753169206,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,42,251,-0.00945815661612722,-0.011446072776889582,0.3904382470119522,-1.3536159490387225,0.17585893590072843,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,RS63_NEIGHBOUR_75,RANK_RS_75,63,218,-0.01358880933220454,-0.015487425768503815,0.3623853211009174,-1.2938975939708954,0.1957007957065635,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,10,168,-0.001984988693593388,-0.0021506860422428886,0.42857142857142855,-1.063132342657798,0.2877219391143707,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,21,161,-0.00491644356437055,-0.0042934477092435586,0.422360248447205,-1.409856946488779,0.15858192757978307,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,42,156,-0.011764585584382927,-0.010397131744848409,0.3269230769230769,-2.16744354859029,0.03020104972286159,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_CENTRAL,MH_LEVEL_RECENCY_TILT,63,150,-0.016165855883195947,-0.013624867027890786,0.35333333333333333,-2.0566001394361892,0.03972470481694393,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,10,168,-0.0018667228661154022,-0.0017943134857242304,0.4107142857142857,-1.0167283317042357,0.3092826840119379,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,21,162,-0.004401248252475319,-0.003534409095400204,0.42592592592592593,-1.290098702712406,0.19701639025587958,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,42,157,-0.012608794374224302,-0.010041205416923993,0.35668789808917195,-2.3283663307408276,0.01989265989504159,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_RECENCY_WHOLE_STRUCTURE_NEIGHBOUR,MH_STRUCTURE_FAST_NEIGHBOUR,63,152,-0.0173613996994712,-0.01712506037621181,0.3684210526315789,-2.2296495507674874,0.025770717538159564,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
ALL_EQUITY_OPPORTUNITIES,MH_60D_CENTRAL,MH_LEVEL_60D_CENTERED,10,167,-0.0020441825716039086,-0.0027597787096317328,0.41916167664670656,-1.264857182806141,0.20592252850372794,YES,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
