persistence_weeks,observation_count,probability_slow_top5_4w,probability_slow_top3_4w,probability_slow_top1_4w,probability_slow_top5_8w,probability_slow_top3_8w,probability_slow_top1_8w,false_positive_rate_not_slow_top3_8w,average_return_before_slow_confirmation_proxy_4w,warning
1,150,0.7,0.4266666666666667,0.14,0.78,0.56,0.20666666666666667,0.43999999999999995,0.0075716635730900695,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
2,64,0.703125,0.421875,0.109375,0.8125,0.59375,0.171875,0.40625,0.0067918328774023325,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
3,27,0.7777777777777778,0.4444444444444444,0.07407407407407407,0.8888888888888888,0.6666666666666666,0.14814814814814814,0.33333333333333337,0.019885685100197063,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
