module_id,date,portfolio_value,invested_fraction,cash_fraction,cash_value,cash_return_contribution,cumulative_cash_return_contribution,data_valid,warning
VOL_TARGET_0_1,2021-09-01,1.0,0.0,1.0,1.0,0.0,0.0,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-02,1.0000013777366694,0.0,1.0,1.0000013777366694,1.3777366694167625e-06,1.3777366694167625e-06,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-03,1.0000027499985191,0.0,1.0,1.0000027499985191,1.3722599590952017e-06,2.7499966285119645e-06,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-06,1.000006850365113,0.0,1.0,1.000006850365113,4.1003553178466875e-06,6.850351946358652e-06,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-07,1.0000082281112204,0.0,1.0,1.0000082281112204,1.37773666942348e-06,8.228088615782132e-06,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-08,1.0000096168127037,0.0,1.0,1.0000096168127037,1.3886900570662132e-06,9.616778672848346e-06,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-09,1.0000110000393747,0.0,1.0,1.0000110000393747,1.3832133688773323e-06,1.0999992041725678e-05,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-10,1.0000123777911991,0.0,1.0,1.0000123777911991,1.3777366692475281e-06,1.2377728710973206e-05,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-13,1.0000165603490048,0.0,1.0,1.0000165603490048,4.182506035467845e-06,1.6560234746441053e-05,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-14,1.000017946323671,0.0,1.0,1.000017946323671,1.3859517143018911e-06,1.7946186460742944e-05,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
VOL_TARGET_0_1,2021-09-15,1.0000193131314374,0.0,1.0,1.0000193131314374,1.3667832377886083e-06,1.9312969698531553e-05,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
