signal_id,forward_horizon_sessions,window_id,date_count,mean_ic,median_ic,positive_ic_frequency,mean_top_quintile_advantage,positive_top_quintile_advantage_frequency,mean_rank1_advantage,warning
M2_INTERMEDIATE_5H,21,LATEST_3Y,152,0.09975089032387484,0.07543760587238849,0.5921052631578947,0.007270390272762894,0.5592105263157895,-0.003861814593282578,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,42,FULL_HISTORY,622,0.021993639531939408,0.02366946778711485,0.5144694533762058,-0.0005098965887657697,0.47106109324758844,0.0042895182460216804,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,42,PRE_2020,284,-0.004454470011459003,-0.004545454545454546,0.4823943661971831,-0.003896957116188631,0.43661971830985913,0.0007530072263095122,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,42,POST_2020,338,0.04421631145597831,0.03483473048690441,0.5414201183431953,0.0023360359254001864,0.5,0.0072610245466082374,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,42,LATEST_5Y,251,0.04276380882008101,0.01826086956521739,0.5219123505976095,0.0022546404247276736,0.49800796812749004,0.010510580729321838,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,42,LATEST_3Y,148,0.09631962195356798,0.08210050818746471,0.5675675675675675,0.006852981688204231,0.527027027027027,0.004374735478300371,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,63,FULL_HISTORY,617,0.051584728922816445,0.055944055944055944,0.5510534846029174,0.0017849262934869921,0.5089141004862237,0.007806364588039183,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,63,PRE_2020,283,0.03345788053596374,0.023809523809523815,0.508833922261484,-0.005096575413139121,0.4452296819787986,-0.004574611612176516,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,63,POST_2020,334,0.06694370525059884,0.0746470920383964,0.5868263473053892,0.007615659775448639,0.562874251497006,0.01829683244630578,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,63,LATEST_5Y,247,0.06944748960052398,0.05714285714285713,0.5748987854251012,0.00973951310156709,0.5789473684210527,0.020382409157421275,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,63,LATEST_3Y,144,0.11357079971371412,0.08307453416149069,0.6180555555555556,0.01296493974760938,0.6111111111111112,0.016147309727765506,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,21,FULL_HISTORY,628,0.02318593703953171,0.02827172827172827,0.535031847133758,0.00011373670700272378,0.4968152866242038,-0.0009994574632643705,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,21,PRE_2020,286,-0.01369873883690978,-0.03571428571428572,0.46153846153846156,-0.0026393345506234784,0.458041958041958,-0.0012090239123328237,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,21,POST_2020,342,0.05403101686602957,0.06212265994874691,0.5964912280701754,0.0024160126709825295,0.5292397660818714,-0.0008242059883123886,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,21,LATEST_5Y,255,0.05337998237457629,0.03444381705251271,0.5764705882352941,0.002498249666632175,0.5294117647058824,0.00027150788702734203,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,21,LATEST_3Y,152,0.09354492119003947,0.08150197628458498,0.5986842105263158,0.006400592833374574,0.5328947368421053,-0.0012358435888442654,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,42,FULL_HISTORY,622,0.019989942531842025,0.02366946778711485,0.5144694533762058,-0.0010927383340012151,0.47106109324758844,0.0014927454149688741,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,42,PRE_2020,284,-0.00399954876216506,0.0,0.49295774647887325,-0.004007046041294542,0.4295774647887324,-0.00115819583784038,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,42,POST_2020,338,0.04014679320491305,0.0296691799249344,0.5325443786982249,0.00135596991709732,0.5059171597633136,0.0037201635090452884,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,42,LATEST_5Y,251,0.03593499244668814,0.015584415584415586,0.5139442231075697,0.0012044680362283406,0.50199203187251,0.0066061664910193295,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,42,LATEST_3Y,148,0.08676239893915622,0.057594579333709775,0.5608108108108109,0.006483780619374356,0.527027027027027,0.000454494031177465,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,63,FULL_HISTORY,617,0.04329936084345811,0.059288537549407126,0.5380875202593193,0.0008965014514853033,0.5121555915721232,0.0051703866562001774,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,63,PRE_2020,283,0.019499927776207255,0.0,0.49823321554770317,-0.006993558097672337,0.4452296819787986,-0.005287954694056958,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,63,POST_2020,334,0.06346474874175748,0.07396950875211745,0.5718562874251497,0.007581791428765579,0.5688622754491018,0.014031795644591703,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,63,LATEST_5Y,247,0.061145995206292526,0.05675954592363261,0.5546558704453441,0.008825978951090179,0.5789473684210527,0.015546042546399663,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M3_STRUCTURAL_DETERIORATION,63,LATEST_3Y,144,0.10235295425385255,0.07396950875211745,0.5833333333333334,0.012769119620896536,0.5902777777777778,0.012884336704327311,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
