strategy_id,control_id,window_id,ii_plan,notional_gbp,one_way_friction_bps,broker_fx_fee,ter_double_deducted,gross_cagr,net_cagr_subscription_reported_separately,net_cagr_full_subscription_deducted,cost_drag_cagr_subscription_reported_separately,cost_drag_cagr_full_subscription,net_incremental_cagr_vs_control,maximum_drawdown,maximum_drawdown_full_subscription,ulcer_index,ulcer_index_full_subscription,annual_turnover,trade_legs,free_trade_legs,paid_trade_legs,started_calendar_months,total_dealing_charges_gbp,total_subscription_gbp,historical_total_market_friction_gbp,annual_dealing_charges_gbp,annual_subscription_gbp,historical_average_annual_market_friction_gbp,current_scale_annual_market_friction_gbp,current_scale_annual_all_in_including_friction_gbp,subscription_attribution,partial_month_subscription_treatment,performance_normalisation
GLOBAL_100,GLOBAL_100,LATEST_FIVE_YEARS,II_PLUS,250000.0,20.0,0.0,False,0.11516454821291444,0.11516454821291378,0.11475437667595667,6.661338147750939e-16,0.00041017153695777075,0.0,-0.18496854651804395,-0.1850341648535525,0.046400443692220586,0.04653317431866888,0.0,0,0,0,60,0.0,899.4,0.0,0.0,179.88,0.0,0.0,179.88,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_75_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,FULL_HISTORY,II_PREMIUM,250000.0,20.0,0.0,False,0.09291969802384759,0.09278399774815949,0.0912525271606075,0.00013570027568809984,0.0016671708632400861,0.0,-0.19550514107421002,-0.19561766714567042,0.03596428050276945,0.036251398027313544,0.14125588705592632,114,114,0,114,0.0,4558.860000000001,790.2567081865068,0.0,479.88,83.4206172658411,70.62794352796315,550.5079435279631,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_75_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LATEST_FIVE_YEARS,II_PREMIUM,250000.0,20.0,0.0,False,0.0958241210599875,0.09570044789618226,0.09446587136908335,0.00012367316380523796,0.0013582496909041453,0.0,-0.13898588889392793,-0.1392038784859645,0.03352213750573257,0.03389044594151953,0.057585700467573525,60,60,0,60,0.0,2399.4,245.71260966827683,0.0,479.88,49.44610900097278,28.792850233786762,508.67285023378673,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_65_M2_10_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,FULL_HISTORY,II_PREMIUM,250000.0,20.0,0.0,False,0.09611386451411885,0.09394878021516617,0.09240113976605979,0.0021650842989526797,0.0037127247480590597,0.0011647824670066864,-0.1910790338417817,-0.19119441545437543,0.03584629568438123,0.03618650827682886,0.6838125098529217,1076,226,850,114,2541.5000000000005,4558.860000000001,4812.966182061639,268.2843392341041,479.88,508.0635262288001,341.90625492646086,1090.070594160565,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_65_M2_10_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LATEST_FIVE_YEARS,II_PREMIUM,250000.0,20.0,0.0,False,0.10013283340331292,0.09776266399738942,0.09650918497729166,0.0023701694059234946,0.003623648426021253,0.0020622161012071594,-0.13516282301923388,-0.13531357513306086,0.03519839460701453,0.03565112378454601,0.7520076519855521,597,120,477,60,1426.2300000000002,2399.4,3280.021757912959,287.0081602066116,479.88,660.0569404487735,376.00382599277606,1142.8919861993877,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_60_M2_15_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,FULL_HISTORY,II_PREMIUM,250000.0,20.0,0.0,False,0.09770082509868461,0.09493346668126468,0.0933828601111002,0.0027673584174199295,0.004317964987584411,0.002149468933105192,-0.18883389909174397,-0.18895041006882307,0.03655664638729357,0.036922181350611205,0.9568724387735823,1076,226,850,114,2541.5000000000005,4558.860000000001,6838.084647561589,268.2843392341041,479.88,721.8378993893103,478.43621938679115,1226.6005586208953,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_60_M2_15_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LATEST_FIVE_YEARS,II_PREMIUM,250000.0,20.0,0.0,False,0.10224675478863032,0.09911041359027761,0.09785455806096799,0.00313634119835271,0.004392196727662334,0.0034099656940953516,-0.13385631933392284,-0.13400783842378183,0.036888826909986044,0.03738042648024062,1.1009697312592834,597,120,477,60,1426.2300000000002,2399.4,4807.4738930481735,287.0081602066116,479.88,967.4345913948471,550.4848656296417,1317.3730258362534,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_50_M2_25_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,FULL_HISTORY,II_PREMIUM,250000.0,20.0,0.0,False,0.10080981435170822,0.09683474056499741,0.09527797957998074,0.003975073786710803,0.005531834771727473,0.004050742816837927,-0.18433820541251966,-0.18445701199655995,0.038691602712163535,0.03914608975951632,1.5024903667854268,1076,226,850,114,2541.5000000000005,4558.860000000001,10878.249232128574,268.2843392341041,479.88,1148.3233945565667,751.2451833927134,1499.4095226268175,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
GLOBAL_50_M2_25_DEFENSIVE_25,GLOBAL_75_DEFENSIVE_25,LATEST_FIVE_YEARS,II_PREMIUM,250000.0,20.0,0.0,False,0.10638547693242262,0.10171113155444966,0.10045016615533031,0.004674345377972955,0.005935310777092306,0.006010683658267402,-0.13149176168433463,-0.13164483510793612,0.041204720753405255,0.04181921805792508,1.7981916195479497,597,120,477,60,1426.2300000000002,2399.4,7857.074963111721,287.0081602066116,479.88,1581.122700944536,899.0958097739749,1665.9839699805866,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
M2_100_DIAGNOSTIC,GLOBAL_100,FULL_HISTORY,II_PREMIUM,250000.0,20.0,0.0,False,0.1448058522929514,0.1318370170095533,0.13030781041932604,0.012968835283398095,0.014498041873625356,0.015826184716298153,-0.2352216037349505,-0.23545469927391682,0.08178273856844208,0.08236139830885172,5.523060844665003,865,198,667,114,1994.3300000000004,4558.860000000001,45347.42087478635,210.52429914017344,479.88,4786.937967878368,2761.5304223325015,3451.934721472675,PLATFORM_MAINTENANCE_REPORTED_SEPARATELY_FROM_M2,FULL_MONTHLY_FEE_ON_FIRST_OBSERVED_SESSION_OF_EACH_STARTED_CALENDAR_MONTH,CANONICAL_A4D_FIRST_POST_COST_OBSERVATION; INCEPTION_COST_INCLUDED_IN_COST_TOTALS_NOT_CAGR
