candidate_id,control_id,diagnostic,period_start,period_end,months,relative_return,m2_allocation,notes,value,unit,ii_plan,notional_gbp,subscription_treatment
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-05-31,3.0,-0.017075780611444102,1.0,Compounded candidate return minus compounded control return,-0.017075780611444102,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-06-30,3.0,-0.027231622563472557,1.0,Compounded candidate return minus compounded control return,-0.027231622563472557,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-07-31,3.0,-0.03179538383061731,1.0,Compounded candidate return minus compounded control return,-0.03179538383061731,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-08-31,3.0,-0.01701818643750852,1.0,Compounded candidate return minus compounded control return,-0.01701818643750852,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-09-30,3.0,-0.023606150261959113,1.0,Compounded candidate return minus compounded control return,-0.023606150261959113,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-10-31,3.0,-0.033503017205543384,1.0,Compounded candidate return minus compounded control return,-0.033503017205543384,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-11-30,3.0,-0.03294107519275802,1.0,Compounded candidate return minus compounded control return,-0.03294107519275802,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2018-12-31,3.0,-0.004595241551888729,1.0,Compounded candidate return minus compounded control return,-0.004595241551888729,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-01-31,3.0,0.02110482426715088,1.0,Compounded candidate return minus compounded control return,0.02110482426715088,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-02-28,3.0,0.021921586197320653,1.0,Compounded candidate return minus compounded control return,0.021921586197320653,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-03-31,3.0,-0.013055189876455264,1.0,Compounded candidate return minus compounded control return,-0.013055189876455264,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-04-30,3.0,-0.035122322187849164,1.0,Compounded candidate return minus compounded control return,-0.035122322187849164,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-05-31,3.0,-0.05676438179830856,1.0,Compounded candidate return minus compounded control return,-0.05676438179830856,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-06-30,3.0,-0.03895976412846158,1.0,Compounded candidate return minus compounded control return,-0.03895976412846158,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-07-31,3.0,-0.02123065941863178,1.0,Compounded candidate return minus compounded control return,-0.02123065941863178,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-08-31,3.0,0.0300267261677587,1.0,Compounded candidate return minus compounded control return,0.0300267261677587,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-09-30,3.0,-0.006233313871133905,1.0,Compounded candidate return minus compounded control return,-0.006233313871133905,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-10-31,3.0,0.002716157605755498,1.0,Compounded candidate return minus compounded control return,0.002716157605755498,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-11-30,3.0,-0.03424725899535663,1.0,Compounded candidate return minus compounded control return,-0.03424725899535663,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2019-12-31,3.0,-0.0012439179508634268,1.0,Compounded candidate return minus compounded control return,-0.0012439179508634268,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-01-31,3.0,-0.04625231134494401,1.0,Compounded candidate return minus compounded control return,-0.04625231134494401,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-02-29,3.0,-0.018114171915259214,1.0,Compounded candidate return minus compounded control return,-0.018114171915259214,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-03-31,3.0,-0.00279334590204261,1.0,Compounded candidate return minus compounded control return,-0.00279334590204261,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-04-30,3.0,0.09964724353142607,1.0,Compounded candidate return minus compounded control return,0.09964724353142607,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-05-31,3.0,0.10589327977236773,1.0,Compounded candidate return minus compounded control return,0.10589327977236773,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-06-30,3.0,0.12848179661143555,1.0,Compounded candidate return minus compounded control return,0.12848179661143555,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-07-31,3.0,0.09306337042948121,1.0,Compounded candidate return minus compounded control return,0.09306337042948121,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-08-31,3.0,0.04540648872170894,1.0,Compounded candidate return minus compounded control return,0.04540648872170894,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-09-30,3.0,0.017039529525661345,1.0,Compounded candidate return minus compounded control return,0.017039529525661345,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-10-31,3.0,-0.006685112854143416,1.0,Compounded candidate return minus compounded control return,-0.006685112854143416,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-11-30,3.0,0.035778089155749315,1.0,Compounded candidate return minus compounded control return,0.035778089155749315,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2020-12-31,3.0,0.036675872668412435,1.0,Compounded candidate return minus compounded control return,0.036675872668412435,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-01-31,3.0,0.043876673793529886,1.0,Compounded candidate return minus compounded control return,0.043876673793529886,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-02-28,3.0,0.09495656813873765,1.0,Compounded candidate return minus compounded control return,0.09495656813873765,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-03-31,3.0,0.07797556450406429,1.0,Compounded candidate return minus compounded control return,0.07797556450406429,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
M2_100_DIAGNOSTIC,GLOBAL_100,ROLLING_3M_RELATIVE_RETURN,,2021-04-30,3.0,0.037200706315195564,1.0,Compounded candidate return minus compounded control return,0.037200706315195564,RETURN,II_PLUS,563000.0,SUBSCRIPTION_REPORTED_SEPARATELY
